,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,22.0,0.9998999834060669,"son, man, child, people, father, reign, servant, build, give, bring",1 Chronicles.txt
1,1,11.0,0.9571999907493591,"man, body, time, call, glory, speak, faith, sin, good, dead",1 Corinthians.txt
2,2,3.0,0.9983999729156494,"law, man, sin, faith, write, love, flesh, child, work, receive",1 John.txt
3,3,2.0,0.6801000237464905,"people, man, bring, land, word, day, son, hand, hear, give",1 Kings.txt
4,4,11.0,0.9991000294685364,"man, body, time, call, glory, speak, faith, sin, good, dead",1 Peter.txt
5,5,2.0,0.46129998564720154,"people, man, bring, land, word, day, son, hand, hear, give",1 Samuel.txt
6,6,3.0,0.9983999729156494,"law, man, sin, faith, write, love, flesh, child, work, receive",1 Thessalonians.txt
7,7,24.0,0.5716999769210815,"man, love, faith, good, work, beloved, give, word, chapter, evil",1 Timothy.txt
8,8,2.0,0.5347999930381775,"people, man, bring, land, word, day, son, hand, hear, give",2 Chronicles.txt
9,9,15.0,0.9994999766349792,"man, glory, mind, write, receive, love, rejoice, chapter, death, heart",2 Corinthians.txt
10,10,3.0,0.9894999861717224,"law, man, sin, faith, write, love, flesh, child, work, receive",2 John.txt
11,11,2.0,0.7386999726295471,"people, man, bring, land, word, day, son, hand, hear, give",2 Kings.txt
12,12,3.0,0.9987000226974487,"law, man, sin, faith, write, love, flesh, child, work, receive",2 Peter.txt
13,13,2.0,0.6014999747276306,"people, man, bring, land, word, day, son, hand, hear, give",2 Samuel.txt
14,14,3.0,0.588100016117096,"law, man, sin, faith, write, love, flesh, child, work, receive",2 Thessalonians.txt
15,15,24.0,0.8360999822616577,"man, love, faith, good, work, beloved, give, word, chapter, evil",2 Timothy.txt
16,16,3.0,0.9922999739646912,"law, man, sin, faith, write, love, flesh, child, work, receive",3 John.txt
17,17,20.0,0.9952999949455261,"man, hear, answer, give, day, call, people, bring, disciple, word",Acts.txt
18,18,2.0,0.7993000149726868,"people, man, bring, land, word, day, son, hand, hear, give",Amos.txt
19,19,11.0,0.5935999751091003,"man, body, time, call, glory, speak, faith, sin, good, dead",Colossians.txt
20,20,10.0,0.6614000201225281,"great, man, hear, beast, stand, earth, angel, time, give, king",Daniel.txt
21,21,2.0,0.5633999705314636,"people, man, bring, land, word, day, son, hand, hear, give",Deuteronomy.txt
22,22,1.0,0.5838000178337097,"man, heart, praise, hand, word, soul, wicked, work, mercy, earth",Ecclesiastes.txt
23,23,24.0,0.5404999852180481,"man, love, faith, good, work, beloved, give, word, chapter, evil",Ephesians.txt
24,24,5.0,0.6951000094413757,"king, day, province, month, people, write, esther, destroy, woman, commandment",Esther.txt
25,25,13.0,0.7915999889373779,"offer, child, bring, people, burn, put, offering, day, sin, land",Exodus.txt
26,26,2.0,0.5612999796867371,"people, man, bring, land, word, day, son, hand, hear, give",Ezekiel.txt
27,27,14.0,0.9995999932289124,"child, priest, son, people, levite, build, repair, offer, man, work",Ezra.txt
28,28,3.0,0.9990000128746033,"law, man, sin, faith, write, love, flesh, child, work, receive",Galatians.txt
29,29,2.0,0.9280999898910522,"people, man, bring, land, word, day, son, hand, hear, give",Genesis.txt
30,30,2.0,0.44780001044273376,"people, man, bring, land, word, day, son, hand, hear, give",Habakkuk.txt
31,31,2.0,0.7483999729156494,"people, man, bring, land, word, day, son, hand, hear, give",Haggai.txt
32,32,11.0,0.8460999727249146,"man, body, time, call, glory, speak, faith, sin, good, dead",Hebrews.txt
33,33,2.0,0.679099977016449,"people, man, bring, land, word, day, son, hand, hear, give",Hosea.txt
34,34,2.0,0.6653000116348267,"people, man, bring, land, word, day, son, hand, hear, give",Isaiah.txt
35,35,24.0,0.9990000128746033,"man, love, faith, good, work, beloved, give, word, chapter, evil",James.txt
36,36,2.0,0.9175000190734863,"people, man, bring, land, word, day, son, hand, hear, give",Jeremiah.txt
37,37,1.0,0.6011999845504761,"man, heart, praise, hand, word, soul, wicked, work, mercy, earth",Job.txt
38,38,2.0,0.7103999853134155,"people, man, bring, land, word, day, son, hand, hear, give",Joel.txt
39,39,20.0,0.9866999983787537,"man, hear, answer, give, day, call, people, bring, disciple, word",John.txt
40,40,2.0,0.5170999765396118,"people, man, bring, land, word, day, son, hand, hear, give",Jonah.txt
41,41,18.0,0.9998000264167786,"child, man, people, give, land, pass, city, day, hand, family",Joshua.txt
42,42,3.0,0.4278999865055084,"law, man, sin, faith, write, love, flesh, child, work, receive",Jude.txt
43,43,18.0,0.6559000015258789,"child, man, people, give, land, pass, city, day, hand, family",Judges.txt
44,44,2.0,0.6245999932289124,"people, man, bring, land, word, day, son, hand, hear, give",Lamentations.txt
45,45,13.0,0.9998999834060669,"offer, child, bring, people, burn, put, offering, day, sin, land",Leviticus.txt
46,46,20.0,0.7053999900817871,"man, hear, answer, give, day, call, people, bring, disciple, word",Luke.txt
47,47,2.0,0.7138000130653381,"people, man, bring, land, word, day, son, hand, hear, give",Malachi.txt
48,48,20.0,0.9426000118255615,"man, hear, answer, give, day, call, people, bring, disciple, word",Mark.txt
49,49,20.0,0.7429999709129333,"man, hear, answer, give, day, call, people, bring, disciple, word",Matthew.txt
50,50,2.0,0.5986999869346619,"people, man, bring, land, word, day, son, hand, hear, give",Micah.txt
51,51,2.0,0.5160999894142151,"people, man, bring, land, word, day, son, hand, hear, give",Nahum.txt
52,52,2.0,0.545199990272522,"people, man, bring, land, word, day, son, hand, hear, give",Nehemiah.txt
53,53,13.0,0.7146999835968018,"offer, child, bring, people, burn, put, offering, day, sin, land",Numbers.txt
54,54,2.0,0.6736000180244446,"people, man, bring, land, word, day, son, hand, hear, give",Obadiah.txt
55,55,24.0,0.3598000109195709,"man, love, faith, good, work, beloved, give, word, chapter, evil",Philemon.txt
56,56,15.0,0.9986000061035156,"man, glory, mind, write, receive, love, rejoice, chapter, death, heart",Philippians.txt
57,57,1.0,0.9998999834060669,"man, heart, praise, hand, word, soul, wicked, work, mercy, earth",Proverbs.txt
58,58,1.0,0.7896000146865845,"man, heart, praise, hand, word, soul, wicked, work, mercy, earth",Psalms.txt
59,59,10.0,0.9998000264167786,"great, man, hear, beast, stand, earth, angel, time, give, king",Revelation.txt
60,60,3.0,0.9997000098228455,"law, man, sin, faith, write, love, flesh, child, work, receive",Romans.txt
61,61,20.0,0.544700026512146,"man, hear, answer, give, day, call, people, bring, disciple, word",Ruth.txt
62,62,2.0,0.41040000319480896,"people, man, bring, land, word, day, son, hand, hear, give",SongofSolomon.txt
63,63,24.0,0.9980999827384949,"man, love, faith, good, work, beloved, give, word, chapter, evil",Titus.txt
64,64,2.0,0.9003999829292297,"people, man, bring, land, word, day, son, hand, hear, give",Zechariah.txt
65,65,2.0,0.673799991607666,"people, man, bring, land, word, day, son, hand, hear, give",Zephaniah.txt
