,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0,1.0,"man, heart, praise, hand, word, soul, wicked, work, mercy, earth",4,6.0606060606060606
1,2.0,"people, man, bring, land, word, day, son, hand, hear, give",25,37.878787878787875
2,3.0,"law, man, sin, faith, write, love, flesh, child, work, receive",9,13.636363636363635
3,5.0,"king, day, province, month, people, write, esther, destroy, woman, commandment",1,1.5151515151515151
4,10.0,"great, man, hear, beast, stand, earth, angel, time, give, king",2,3.0303030303030303
5,11.0,"man, body, time, call, glory, speak, faith, sin, good, dead",4,6.0606060606060606
6,13.0,"offer, child, bring, people, burn, put, offering, day, sin, land",3,4.545454545454546
7,14.0,"child, priest, son, people, levite, build, repair, offer, man, work",1,1.5151515151515151
8,15.0,"man, glory, mind, write, receive, love, rejoice, chapter, death, heart",2,3.0303030303030303
9,18.0,"child, man, people, give, land, pass, city, day, hand, family",2,3.0303030303030303
10,20.0,"man, hear, answer, give, day, call, people, bring, disciple, word",6,9.090909090909092
11,22.0,"son, man, child, people, father, reign, servant, build, give, bring",1,1.5151515151515151
12,24.0,"man, love, faith, good, work, beloved, give, word, chapter, evil",6,9.090909090909092
