,term,score
0,christ,40.085970821119375
1,jesus,20.997413287253007
2,conversation,16.840784079555572
3,suffered,13.253762075021852
4,grace,12.750197653973933
5,corruptible,11.455194774813226
6,suffer,10.820971426372864
7,evildoers,10.785764120870597
8,souls,10.568250830163251
9,lusts,10.558973047717718
10,sober,10.238799450488735
11,sufferings,9.776347411006958
12,precious,9.732980406847421
13,revealed,9.72841558860474
14,faith,9.544278766933186
15,preached,9.485917101339
16,guile,9.37575323313339
17,adorning,9.023090877662042
18,subject,8.706322579190761
19,disobedient,8.706322579190761
20,gospel,8.640680726670173
21,conscience,8.420392039777786
22,fadeth,8.212160661445711
23,disallowed,8.212160661445711
24,incorruptible,8.212160661445711
25,husbands,8.159357908808897
26,charity,7.919229785788288
27,railing,7.636796516542151
28,excess,7.636796516542151
29,hope,7.213980950915243
30,patiently,7.190509413913731
31,lively,7.190509413913731
32,trial,6.825866300325822
33,reviled,6.825866300325822
34,ignorance,6.825866300325822
35,mind,6.713328379099218
36,manifold,6.517564940671305
37,stone,6.484694723739424
38,honour,6.375098826986966
39,ready,6.375098826986966
40,spiritual,6.25050215542226
41,priesthood,6.25050215542226
42,grass,6.207595210385449
43,sins,6.06325266110812
44,subjection,6.014936084109493
45,peter,6.014936084109493
46,judgeth,6.014936084109493
47,flower,5.804215052793841
48,submit,5.804215052793841
49,praise,5.617464327647286
50,glorify,5.613594693185191
51,strange,5.512190368213476
52,minister,5.512190368213476
53,obtained,5.439571939205932
54,elder,5.439571939205932
55,elect,5.439571939205932
56,resurrection,5.279486523858859
57,amen,5.216870149773719
58,humble,5.131270579551415
59,salvation,5.124555173773458
60,happy,4.993284836577512
61,putting,4.993284836577512
62,acceptable,4.993284836577512
63,prayers,4.86420779430237
64,glorified,4.7429585506695
65,shepherd,4.628641722989602
66,rejoice,4.623392919783958
67,whereunto,4.520507280449051
68,supreme,4.511545438831021
69,envies,4.511545438831021
70,hypocrisies,4.511545438831021
71,thankworthy,4.511545438831021
72,foreordained,4.511545438831021
73,banquetings,4.511545438831021
74,plaiting,4.511545438831021
75,authorities,4.511545438831021
76,rendering,4.511545438831021
77,newborn,4.511545438831021
78,constraint,4.511545438831021
79,fashioning,4.511545438831021
80,courteous,4.511545438831021
81,ensue,4.511545438831021
82,idolatries,4.511545438831021
83,busybody,4.511545438831021
84,speakings,4.511545438831021
85,eschew,4.511545438831021
86,elected,4.511545438831021
87,grudging,4.511545438831021
88,angels,4.417920691673951
89,mercy,4.401069003322793
90,gold,4.330477511092211
91,corner,4.320340363335086
92,knowing,4.138396806923633
93,dominion,4.138396806923633
94,cappadocia,4.106080330722856
95,signify,4.106080330722856
96,hereunto,4.106080330722856
97,fervently,4.106080330722856
98,bithynia,4.106080330722856
99,sprinkling,4.106080330722856
100,sincere,4.106080330722856
101,unspeakable,4.106080330722856
102,preparing,4.106080330722856
103,foreknowledge,4.106080330722856
104,christian,4.106080330722856
105,vigilant,4.106080330722856
106,weaker,4.106080330722856
107,revellings,4.106080330722856
108,briefly,4.106080330722856
109,evildoer,4.106080330722856
110,pontus,4.106080330722856
111,amazement,4.106080330722856
112,threatened,4.106080330722856
113,maliciousness,4.106080330722856
114,coupled,4.106080330722856
115,brotherhood,4.106080330722856
116,scarcely,4.106080330722856
117,pilgrims,4.106080330722856
118,forasmuch,4.053277578086041
119,ensamples,3.8183982582710754
120,stumbling,3.8183982582710754
121,obeying,3.8183982582710754
122,exhorting,3.8183982582710754
123,marcus,3.8183982582710754
124,buffeted,3.8183982582710754
125,fleshly,3.8183982582710754
126,sojourning,3.8183982582710754
127,stewards,3.8183982582710754
128,testifying,3.8183982582710754
129,saluteth,3.8183982582710754
130,pitiful,3.8183982582710754
131,sara,3.8183982582710754
132,riot,3.8183982582710754
133,resisteth,3.8183982582710754
134,wearing,3.8183982582710754
135,chaste,3.8183982582710754
