,term,score
0,saul,928.1995700802056
1,david,536.5198625061116
2,samuel,396.9857815512265
3,philistines,271.23043682694305
4,jonathan,219.5451670699965
5,philistine,131.39457058313138
6,eli,122.18874426467441
7,ark,88.358413833479
8,nabal,82.12160661445711
9,achish,78.01552628373426
10,answered,77.20327635964101
11,jesse,68.63332481016516
12,hannah,58.650090704803276
13,beth,58.324594905023666
14,told,54.84872608826031
15,arose,52.30136189413551
16,keilah,50.33356589739612
17,abner,46.738311190439255
18,battle,43.90368232789265
19,ramah,43.51657551364745
20,armourbearer,43.14305648348239
21,ahimelech,43.14305648348239
22,abigail,42.00238084098183
23,smote,41.194738402746765
24,dagon,39.547801776525525
25,amalekites,39.10538964402783
26,lad,39.10538964402783
27,michal,38.183982582710755
28,fled,38.17711506773274
29,handmaid,36.956405667012014
30,messengers,36.722893088348236
31,priest,36.51809104841603
32,gilgal,36.48836550570374
33,gibeah,36.08961650465696
34,garrison,35.95254706956866
35,young,35.44601238501035
36,sheep,35.2449739902709
37,liveth,35.038729464650714
38,mizpeh,34.36558432443968
39,spear,34.31666240508258
40,jabesh,34.12933150162911
41,gath,33.681568159111144
42,sword,33.200327585040284
43,slew,33.09213338328123
44,woman,32.909235652956184
45,side,32.455516100565234
46,bread,32.363750438487706
47,anointed,31.704752490489753
48,spake,31.313531606419822
49,shiloh,31.2525107771113
50,offering,31.235745419876366
51,thousands,30.82923057935175
52,thousand,30.802299937762264
53,morrow,30.399581835645307
54,gathered,30.28171942818809
55,sacrifice,29.775022733627026
56,wife,29.28148849196507
57,elkanah,28.762037655654925
58,emerods,28.742562315059992
59,agag,28.742562315059992
60,wilderness,28.687944721441347
61,pitched,28.22198818753278
62,send,28.207916273962446
63,deliver,27.873437021044356
64,morning,27.74035751870375
65,soul,27.426357570250673
66,surely,27.330960926791775
67,asses,27.123043682694306
68,naioth,27.069272632986127
69,bolster,27.069272632986127
70,ephod,27.06721237849272
71,fell,26.853313516396874
72,michmash,26.72878780789753
73,host,26.346304257559265
74,fight,26.346304257559265
75,knew,25.938778894957697
76,hebrews,25.00200862168904
77,lords,24.86279004246978
78,javelin,24.636481984337134
79,armies,24.32103897151185
80,departed,23.914590810942805
81,enemies,23.906620601201123
82,ziklag,23.89053205114038
83,cart,23.89053205114038
84,abiathar,23.89053205114038
85,captain,23.143208614948012
86,judah,23.090823810621735
87,burnt,22.906269040639643
88,die,22.696431533087985
89,child,22.606437315686115
90,hophni,22.557727194155106
91,stood,22.312845894454384
92,benjamin,22.293026679473225
93,abode,22.08960345836975
94,camp,22.08960345836975
95,rejected,21.758287756823727
96,field,21.441479252720182
97,cried,21.24846497886984
98,sore,21.24846497886984
99,ekron,21.052276294383226
100,phinehas,21.052276294383226
101,shemesh,21.052276294383226
102,hill,20.82888775345321
103,doeg,20.530401653614277
104,kish,20.47759890097747
105,ashdod,20.314752684778444
106,oxen,20.266387890430202
107,afraid,20.208895051763655
108,returned,20.139985137297657
109,master,19.858167945227652
110,spoil,19.838447615016918
111,slay,19.838447615016918
112,priests,19.79213469481863
113,south,19.465960813694842
114,slaughter,19.441531635007888
115,abishai,19.091991291355377
116,armour,19.03850178722076
117,egypt,18.790035637169346
118,left,18.76540254806625
119,belial,18.75150646626678
120,company,18.622785631156347
121,prophesied,18.51456689195841
122,return,18.46165304252285
123,loved,18.37396789404492
124,smite,18.37396789404492
125,valley,18.239749101387183
126,ground,18.14279013691708
127,mice,18.046181755324085
128,cave,18.04480825232848
129,ziph,17.97627353478433
130,enquired,17.959447028429953
131,sin,17.8934466322399
132,cut,17.8934466322399
133,save,17.8934466322399
134,thither,17.872351150704887
135,hide,17.872351150704887
136,early,17.872351150704887
137,escaped,17.872351150704887
138,stone,17.832910490283417
139,wilt,17.832910490283417
140,smitten,17.671682766695803
141,ten,17.53152177421416
142,covenant,17.389567165912396
143,army,17.281361453340345
144,seer,17.064665750814555
145,kine,17.064665750814555
146,ahitub,17.064665750814555
147,meet,16.952440705874515
148,asked,16.9092013282612
149,daughter,16.493445579015525
150,jeshimon,16.424321322891423
