,term,score
0,jesus,32.45054780757283
1,christ,26.723980547412918
2,faith,15.270846027093096
3,gospel,12.961021090005259
4,thessalonians,11.455194774813226
5,ceasing,10.238799450488735
6,sleep,9.544278766933186
7,macedonia,9.02240412616424
8,timotheus,8.706322579190761
9,comfort,7.786384325477936
10,joy,7.705654866306597
11,athens,7.636796516542151
12,hope,7.213980950915243
13,sanctification,7.190509413913731
14,abstain,7.190509413913731
15,paul,7.1144378260042505
16,labour,7.08282165962328
17,coming,6.832740231697944
18,achaia,6.825866300325822
19,sober,6.825866300325822
20,followers,6.517564940671305
21,despiseth,6.517564940671305
22,abound,6.25050215542226
23,epistle,6.207595210385449
24,received,6.06325266110812
25,exhort,5.613594693185191
26,asleep,5.439571939205932
27,beseech,5.216870149773719
28,travail,5.131270579551415
29,forbear,5.131270579551415
30,longer,4.993284836577512
31,drunken,4.7429585506695
32,uncleanness,4.7429585506695
33,thief,4.628641722989602
34,comforted,4.628641722989602
35,unblameably,4.511545438831021
36,allowed,4.511545438831021
37,affectionately,4.511545438831021
38,feebleminded,4.511545438831021
39,holily,4.511545438831021
40,prophesyings,4.511545438831021
41,forewarned,4.511545438831021
42,holiness,4.417920691673951
43,suffered,4.417920691673951
44,wrath,4.401069003322793
45,ghost,4.320340363335086
46,render,4.320340363335086
47,support,4.106080330722856
48,cherisheth,4.106080330722856
49,exhorted,4.106080330722856
50,imparted,4.106080330722856
51,unblameable,4.106080330722856
52,tempter,4.106080330722856
53,archangel,4.106080330722856
54,countrymen,4.106080330722856
55,effectually,4.106080330722856
56,fellowlabourer,4.106080330722856
57,endeavoured,4.106080330722856
58,remembering,4.106080330722856
59,trump,4.106080330722856
60,unruly,3.8183982582710754
61,study,3.8183982582710754
62,election,3.8183982582710754
63,sudden,3.8183982582710754
64,ensamples,3.8183982582710754
65,justly,3.8183982582710754
66,edify,3.8183982582710754
67,honestly,3.8183982582710754
68,concupiscence,3.8183982582710754
69,admonish,3.8183982582710754
70,wake,3.8183982582710754
71,burdensome,3.8183982582710754
72,alive,3.817711506773274
73,remain,3.7449762184315243
74,gentiles,3.7449762184315243
75,increase,3.674793578808984
76,affliction,3.674793578808984
77,defraud,3.5952547069568657
78,prevent,3.5952547069568657
79,labouring,3.5952547069568657
80,forbidding,3.5952547069568657
81,shamefully,3.5952547069568657
82,silvanus,3.5952547069568657
83,trieth,3.5952547069568657
84,died,3.54141082981164
85,write,3.54141082981164
86,fast,3.54141082981164
87,salvation,3.416370115848972
88,perfectly,3.412933150162911
89,warn,3.412933150162911
90,behaved,3.412933150162911
91,helmet,3.412933150162911
92,avenger,3.412933150162911
93,chargeable,3.412933150162911
94,pleasing,3.412933150162911
95,flattering,3.412933150162911
