,term,score
0,faith,36.2682593143461
1,godliness,32.357292362611794
2,christ,30.541692054186193
3,jesus,26.723980547412918
4,doctrine,17.671682766695803
5,timothy,17.064665750814555
6,widows,12.48321209144378
7,younger,11.227189386370382
8,conscience,11.227189386370382
9,charge,10.820971426372864
10,thyself,10.610692156939209
11,worthy,10.568250830163251
12,teach,10.433740299547438
13,learn,10.26254115910283
14,faithful,9.36244054607881
15,deacon,9.023090877662042
16,purity,9.023090877662042
17,sobriety,9.023090877662042
18,acceptation,9.023090877662042
19,marry,8.706322579190761
20,profane,8.420392039777786
21,professing,8.212160661445711
22,deacons,8.212160661445711
23,blameless,8.159357908808897
24,elder,8.159357908808897
25,honour,7.968873533733708
26,charity,7.919229785788288
27,office,7.489927254866268
28,apostle,7.296311691453555
29,greedy,7.190509413913731
30,relieve,7.190509413913731
31,lucre,7.190509413913731
32,fables,7.190509413913731
33,bishop,7.190509413913731
34,trust,6.9558268663649585
35,eternal,6.942962584484404
36,saviour,6.942962584484404
37,specially,6.825866300325822
38,mothers,6.825866300325822
39,sober,6.825866300325822
40,idle,6.825866300325822
41,whereunto,6.780760920673576
42,world,6.713328379099218
43,widow,6.4805105450026295
44,church,6.4805105450026295
45,woman,6.268425838658321
46,exercise,6.25050215542226
47,murderers,6.25050215542226
48,laying,6.014936084109493
49,mystery,6.014936084109493
50,supplications,6.014936084109493
51,erred,6.014936084109493
52,subjection,6.014936084109493
53,questions,6.014936084109493
54,holding,6.014936084109493
55,works,5.868092004430391
56,rich,5.726567260159911
57,exhort,5.613594693185191
58,adam,5.613594693185191
59,pure,5.512190368213476
60,obtained,5.439571939205932
61,refuse,5.439571939205932
62,filthy,5.279486523858859
63,thanksgiving,5.279486523858859
64,authority,5.279486523858859
65,amen,5.216870149773719
66,mightest,5.131270579551415
67,heed,5.124555173773458
68,acceptable,4.993284836577512
69,devil,4.993284836577512
70,masters,4.86420779430237
71,prayers,4.86420779430237
72,silence,4.86420779430237
73,grace,4.781324120240225
74,living,4.781324120240225
75,satan,4.7429585506695
76,gain,4.7429585506695
77,paul,4.7429585506695
78,sinners,4.628641722989602
79,wife,4.623392919783958
80,received,4.54743949583109
81,manifest,4.520507280449051
82,profiting,4.511545438831021
83,blasphemer,4.511545438831021
84,stomach,4.511545438831021
85,potentate,4.511545438831021
86,novice,4.511545438831021
87,immortal,4.511545438831021
88,manslayers,4.511545438831021
89,tattlers,4.511545438831021
90,jangling,4.511545438831021
91,lawless,4.511545438831021
92,usurp,4.511545438831021
93,broided,4.511545438831021
94,shamefacedness,4.511545438831021
95,surmisings,4.511545438831021
96,piety,4.511545438831021
97,seducing,4.511545438831021
98,injurious,4.511545438831021
99,slanderers,4.511545438831021
100,doubletongued,4.511545438831021
101,contentment,4.511545438831021
102,swerved,4.511545438831021
103,seared,4.511545438831021
104,doting,4.511545438831021
105,intercessions,4.511545438831021
106,modest,4.511545438831021
107,enabled,4.511545438831021
108,relieved,4.511545438831021
109,honesty,4.511545438831021
110,childbearing,4.511545438831021
111,oppositions,4.511545438831021
112,perjured,4.511545438831021
113,railings,4.511545438831021
114,unrebukeable,4.511545438831021
115,persecutor,4.511545438831021
116,brawler,4.511545438831021
117,presbytery,4.511545438831021
118,menstealers,4.511545438831021
119,pacatiana,4.511545438831021
120,commandment,4.473361658059975
121,angels,4.417920691673951
122,witnesses,4.417920691673951
123,snare,4.417920691673951
124,lay,4.401069003322793
125,fall,4.401069003322793
126,mercy,4.401069003322793
127,counted,4.2273003320653
128,deceived,4.2273003320653
129,giving,4.138396806923633
130,reproach,4.138396806923633
131,knowing,4.138396806923633
132,grave,4.138396806923633
133,lawfully,4.106080330722856
134,phrygia,4.106080330722856
135,adorn,4.106080330722856
136,endless,4.106080330722856
137,verity,4.106080330722856
138,infidel,4.106080330722856
139,wholesome,4.106080330722856
140,nephews,4.106080330722856
141,believers,4.106080330722856
142,vigilant,4.106080330722856
143,science,4.106080330722856
144,partiality,4.106080330722856
145,gravity,4.106080330722856
146,avoiding,4.106080330722856
147,richly,4.106080330722856
148,drown,4.106080330722856
149,shipwreck,4.106080330722856
150,prophecies,4.106080330722856
151,uncertain,4.106080330722856
152,hymenaeus,4.106080330722856
153,preferring,4.106080330722856
154,reproachfully,4.106080330722856
155,disputings,4.106080330722856
156,babblings,4.106080330722856
157,hoping,4.106080330722856
158,profession,4.106080330722856
159,striker,4.106080330722856
160,busybodies,4.106080330722856
161,labourer,4.106080330722856
162,professed,4.106080330722856
163,fight,4.053277578086041
164,despise,4.053277578086041
165,rebuke,4.053277578086041
166,continue,3.9716335890455308
167,liveth,3.893192162738968
168,hurtful,3.8183982582710754
169,wanton,3.8183982582710754
170,quickeneth,3.8183982582710754
171,expressly,3.8183982582710754
172,doubting,3.8183982582710754
173,mediator,3.8183982582710754
174,muzzle,3.8183982582710754
175,laodicea,3.8183982582710754
176,affirm,3.8183982582710754
177,ruling,3.8183982582710754
178,eve,3.8183982582710754
179,highminded,3.8183982582710754
180,whoremongers,3.8183982582710754
181,neglect,3.8183982582710754
182,coveted,3.8183982582710754
183,costly,3.8183982582710754
184,rule,3.817711506773274
185,speaking,3.817711506773274
186,everlasting,3.7449762184315243
187,gentiles,3.7449762184315243
188,minister,3.674793578808984
189,suffer,3.6069904754576214
190,wives,3.6069904754576214
191,whereof,3.6069904754576214
192,hospitality,3.5952547069568657
193,oughtest,3.5952547069568657
194,pontius,3.5952547069568657
195,bodily,3.5952547069568657
196,behaviour,3.5952547069568657
197,strifes,3.5952547069568657
198,abstain,3.5952547069568657
199,genealogies,3.5952547069568657
200,communicate,3.5952547069568657
201,witnessed,3.5952547069568657
202,alexander,3.5952547069568657
203,forbidding,3.5952547069568657
204,attendance,3.5952547069568657
205,edifying,3.5952547069568657
206,unholy,3.5952547069568657
207,invisible,3.5952547069568657
208,commanding,3.5952547069568657
209,unfeigned,3.5952547069568657
210,pearls,3.5952547069568657
211,apt,3.5952547069568657
212,appearing,3.5952547069568657
213,immortality,3.5952547069568657
214,purchase,3.5952547069568657
215,ignorantly,3.5952547069568657
216,follow,3.54141082981164
217,labour,3.54141082981164
218,committed,3.4779134331824793
219,benefit,3.412933150162911
220,unbelief,3.412933150162911
221,continueth,3.412933150162911
222,distribute,3.412933150162911
223,reading,3.412933150162911
224,warfare,3.412933150162911
225,preacher,3.412933150162911
226,degree,3.412933150162911
227,mankind,3.412933150162911
228,supposing,3.412933150162911
229,doctrines,3.412933150162911
230,kings,3.298689115803105
231,saved,3.298689115803105
232,vain,3.298689115803105
233,believing,3.2587824703356527
234,attained,3.2587824703356527
235,profiteth,3.2587824703356527
236,wandering,3.2587824703356527
237,confession,3.2587824703356527
238,infirmities,3.2587824703356527
239,behave,3.2587824703356527
240,partaker,3.2587824703356527
241,teacher,3.2587824703356527
242,hypocrisy,3.2587824703356527
243,chiefest,3.2587824703356527
244,pilate,3.2587824703356527
245,meditate,3.2587824703356527
246,ephesus,3.2587824703356527
247,meats,3.2587824703356527
248,perdition,3.12525107771113
249,destitute,3.12525107771113
250,trusteth,3.12525107771113
251,patient,3.12525107771113
252,covetous,3.12525107771113
253,liars,3.12525107771113
254,pierced,3.12525107771113
255,requite,3.12525107771113
256,desiring,3.12525107771113
257,lifting,3.12525107771113
258,times,3.082261946522639
259,sins,3.03162633055406
260,treadeth,3.0074680420547466
261,boldness,3.0074680420547466
262,begun,3.0074680420547466
263,condemnation,3.0074680420547466
264,exhortation,3.0074680420547466
265,controversy,3.0074680420547466
266,damnation,3.0074680420547466
267,abundant,3.0074680420547466
268,peaceable,3.0074680420547466
269,ruleth,3.0074680420547466
270,nourished,3.0074680420547466
271,blaspheme,3.0074680420547466
272,macedonia,3.0074680420547466
273,withdraw,3.0074680420547466
274,save,2.9822411053733164
275,hold,2.9340460022151955
276,blessed,2.9340460022151955
277,approach,2.9021075263969207
278,reported,2.9021075263969207
279,accusation,2.9021075263969207
280,enjoy,2.9021075263969207
281,pattern,2.9021075263969207
282,godly,2.9021075263969207
283,ransom,2.9021075263969207
284,disobedient,2.9021075263969207
285,proved,2.8067973465925955
286,spot,2.8067973465925955
287,provide,2.8067973465925955
288,blasphemed,2.8067973465925955
289,denied,2.8067973465925955
290,ungodly,2.8067973465925955
291,sisters,2.8067973465925955
292,prophecy,2.8067973465925955
293,intreat,2.8067973465925955
294,profitable,2.8067973465925955
295,conversation,2.8067973465925955
296,becometh,2.8067973465925955
297,temptation,2.8067973465925955
298,desireth,2.8067973465925955
299,elect,2.719785969602966
300,lodged,2.719785969602966
301,perverse,2.719785969602966
302,guide,2.719785969602966
303,teachers,2.719785969602966
304,devils,2.719785969602966
305,creature,2.719785969602966
306,falsely,2.719785969602966
307,parents,2.719785969602966
308,husbands,2.719785969602966
309,minds,2.719785969602966
310,care,2.6397432619294294
311,partakers,2.6397432619294294
312,ministry,2.6397432619294294
313,formed,2.6397432619294294
314,sorrows,2.6397432619294294
315,meekness,2.6397432619294294
316,contrary,2.6397432619294294
317,believeth,2.6397432619294294
318,lusts,2.6397432619294294
319,array,2.6397432619294294
320,scripture,2.6397432619294294
321,occasion,2.5656352897757073
322,envy,2.5656352897757073
323,double,2.5656352897757073
324,shortly,2.5656352897757073
325,defile,2.5656352897757073
326,consent,2.5656352897757073
327,wax,2.5656352897757073
328,created,2.5656352897757073
329,longsuffering,2.5656352897757073
330,content,2.496642418288756
331,proud,2.496642418288756
332,putting,2.496642418288756
333,adversary,2.496642418288756
334,patience,2.496642418288756
335,longer,2.496642418288756
336,justified,2.496642418288756
337,apparel,2.432103897151185
338,count,2.432103897151185
339,pillar,2.432103897151185
340,wholly,2.432103897151185
341,hot,2.432103897151185
342,food,2.432103897151185
343,store,2.432103897151185
344,promise,2.432103897151185
345,quiet,2.37147927533475
346,worse,2.37147927533475
347,due,2.37147927533475
348,preached,2.37147927533475
349,testified,2.37147927533475
350,lies,2.37147927533475
351,suddenly,2.314320861494801
352,pride,2.314320861494801
353,besought,2.314320861494801
354,corrupt,2.314320861494801
355,ox,2.314320861494801
356,lords,2.2602536402245255
357,therewith,2.2602536402245255
358,holiness,2.2089603458369753
359,spirits,2.2089603458369753
360,foolish,2.2089603458369753
361,strife,2.2089603458369753
362,yoke,2.2089603458369753
363,glorious,2.2089603458369753
364,diligently,2.2089603458369753
365,root,2.2089603458369753
366,refused,2.2089603458369753
367,gospel,2.160170181667543
368,report,2.160170181667543
369,transgression,2.160170181667543
370,observe,2.160170181667543
371,withal,2.11365016603265
372,sanctified,2.11365016603265
373,afflicted,2.11365016603265
374,service,2.11365016603265
375,ordained,2.0691984034618165
376,charged,2.0691984034618165
377,epistle,2.0691984034618165
378,tarry,2.0266387890430204
