,term,score
0,judah,265.54447382214994
1,solomon,206.72883125785071
2,jerusalem,202.4093877568362
3,levites,147.0317150707545
4,david,135.9673624159324
5,jehoshaphat,133.61008128376176
6,priests,113.80477449520711
7,hezekiah,112.27189386370382
8,rehoboam,106.91515123159012
9,asa,98.97506135472443
10,reigned,97.2841558860474
11,thousand,94.02807349422164
12,years,76.5051026959624
13,cities,76.5011859238436
14,burnt,70.62766287530557
15,amaziah,68.30983943218045
16,gold,67.84414767377798
17,offerings,66.729323795966
18,twenty,65.53708382255168
19,reign,64.30888762915723
20,jehoiada,62.5050215542226
21,built,62.09828750666777
22,congregation,62.0759521038545
23,jeroboam,61.9168669363774
24,began,61.56032063020573
25,abijah,53.928820604352985
26,josiah,53.12926832108921
27,cubits,53.01504830008741
28,kings,51.12968129494813
29,jehoram,49.63917735752398
30,ahab,47.78106410228076
31,manasseh,47.436205947486364
32,ahaziah,46.738311190439255
33,year,46.12099656396112
34,captains,45.363573815018405
35,huram,45.166883637951415
36,book,44.532303063341914
37,altar,44.2676353726455
38,passover,43.777870148721334
39,joash,43.75351508795582
40,princes,39.676895230033836
41,azariah,39.097084546711706
42,vessels,38.585332577494334
43,incense,38.424311883816934
44,stood,38.2505929619218
45,acts,38.07700357444152
46,abundance,38.0457029885877
47,uzziah,37.72739784315997
48,altars,37.44963627433134
49,micaiah,36.9547229765057
50,gathered,36.656818255175054
51,priest,36.51809104841603
52,gods,36.2682593143461
53,stead,36.16405824359241
54,inhabitants,36.069904754576214
55,buried,35.17637285885088
56,ephraim,34.56272290668069
57,ark,33.13440518755463
58,slew,33.09213338328123
59,courses,32.587824703356524
60,war,32.46291427911859
61,assyria,32.45635143775383
62,egypt,32.455516100565234
63,slept,31.923182790366127
64,prepared,31.872697468304757
65,kingdom,31.756835081342885
66,left,31.756835081342885
67,build,30.802299937762264
68,host,30.399581835645307
69,silver,30.31334257764548
70,images,30.086171199432414
71,syria,29.959709019465073
72,humbled,29.917645665632623
73,offering,29.398348630471872
74,strengthened,29.383297322918832
75,ahaz,29.329042233020875
76,zechariah,29.329042233020875
77,trumpets,29.037175881223725
78,groves,29.02107526396921
79,shaphan,28.762037655654925
80,athaliah,28.762037655654925
81,jehoahaz,28.742562315059992
82,benjamin,28.372943046602288
83,month,28.372943046602288
84,valour,28.12725969940017
85,smote,28.087321638236432
86,covenant,27.823307465459834
87,carried,27.559952575892552
88,service,27.47745215842445
89,sanctified,27.47745215842445
90,fenced,27.463066601176315
91,seer,27.30346520130329
92,ten,27.09417001469461
93,spake,26.840169948359847
94,battle,26.723980547412918
95,places,26.640809814297864
96,prophet,26.38951292642484
97,chief,26.38951292642484
98,oxen,26.346304257559265
99,commanded,26.19922654544243
100,shemaiah,26.07025976268522
101,overlaid,26.07025976268522
102,commandment,25.34904939567319
103,hilkiah,25.00200862168904
104,shields,24.478073726426693
105,talents,24.059744336437973
106,ramoth,24.059744336437973
107,sought,23.906620601201123
108,chariots,23.829801534273184
109,returned,23.496649326847265
110,daughter,23.090823810621735
111,gate,23.090823810621735
112,wall,23.01917039377566
113,burn,22.906269040639643
114,ways,22.737197479155448
115,prayer,22.469857310589145
116,fight,22.293026679473225
117,side,22.206405753018316
118,brake,22.08960345836975
119,wrath,22.005345016613965
120,chariot,21.888935074360667
121,walked,21.81831723207246
122,forsaken,21.60170181667543
123,wing,21.571528241741195
124,lebanon,21.34331347801275
125,temple,21.24846497886984
126,dwelt,21.24846497886984
127,doors,21.136501660326502
128,chosen,21.07525785215313
129,singers,21.052276294383226
130,babylon,20.82888775345321
131,overseers,20.530401653614277
132,shishak,20.530401653614277
133,cherubims,20.52508231820566
134,captives,20.52508231820566
135,moses,20.49822069509383
136,jehu,20.47759890097747
137,edomites,20.47759890097747
138,instruments,20.34228276202073
139,stones,20.139985137297657
140,court,19.97313934631005
141,spoil,19.838447615016918
142,sepulchres,19.552694822013915
143,towers,19.552694822013915
144,samaria,19.45683117720948
145,army,19.441531635007888
146,beth,19.441531635007888
147,sennacherib,19.091991291355377
148,deliver,19.07129901439877
149,mother,18.805277515974964
150,counsel,18.790035637169346
151,trees,18.790035637169346
152,jotham,18.75150646626678
153,asaph,18.75150646626678
154,throne,18.72488109215762
155,treasures,18.51456689195841
156,answered,18.46165304252285
157,offered,18.37396789404492
158,killed,18.239749101387183
159,valley,18.239749101387183
160,finished,18.082029121796204
161,ethiopians,18.04480825232848
162,sixteen,18.04480825232848
163,amon,18.04480825232848
164,wives,18.034952377288107
165,repair,17.97627353478433
166,cut,17.8934466322399
167,died,17.707054149058198
168,dedicated,17.412645158381522
169,seir,17.412645158381522
170,hundreds,17.412645158381522
171,feast,17.389567165912396
172,gilead,17.281361453340345
173,carry,17.179701780479732
174,threescore,17.179701780479732
175,porters,17.064665750814555
176,lands,17.024727280058293
177,trespass,17.024727280058293
178,praise,16.852392982941858
179,return,16.783320947748045
180,sheep,16.783320947748045
181,sheba,16.60035492734325
182,aaron,16.60035492734325
183,wisdom,16.53657110464043
184,prophets,16.493445579015525
185,chest,16.424321322891423
186,sin,16.40232607955324
187,timber,16.318715817617793
188,baalim,16.293912351678262
189,present,16.21173680934856
190,multitude,15.937747067467416
191,destroyed,15.937747067467416
192,brass,15.886534356182123
193,bullocks,15.838459571576577
194,cunning,15.838459571576577
195,philistines,15.821775481571677
196,conspired,15.62625538855565
197,fourscore,15.462722420858828
198,yoke,15.462722420858828
199,pillars,15.462722420858828
200,entering,15.462722420858828
201,charges,15.273593033084301
202,arabians,15.273593033084301
203,jeiel,15.273593033084301
204,jehiel,15.273593033084301
205,nebat,15.273593033084301
206,horsemen,15.121191271672803
207,sprinkled,15.037340210273733
208,fifty,14.79555116222855
209,sanctuary,14.59262338290711
210,sacrificed,14.59262338290711
211,store,14.59262338290711
212,mount,14.590563128413704
213,small,14.427961901830486
214,brim,14.381018827827463
215,mareshah,14.381018827827463
216,oracle,14.381018827827463
217,baasha,14.381018827827463
