,term,score
0,christ,93.53393191594522
1,jesus,38.17711506773274
2,perils,36.09236351064817
3,titus,35.95254706956866
4,macedonia,27.06721237849272
5,boasting,26.72878780789753
6,churches,24.059744336437973
7,absent,23.89053205114038
8,grace,20.71907118770764
9,gospel,19.441531635007888
10,ministration,19.091991291355377
11,weak,18.51456689195841
12,measure,17.519364732325357
13,abound,15.62625538855565
14,bold,15.62625538855565
15,accepted,15.393811738654243
16,boast,15.037340210273733
17,vail,15.037340210273733
18,present,14.590563128413704
19,body,14.590563128413704
20,consolation,14.510537631984604
21,godly,14.510537631984604
22,earnest,13.651732600651645
23,comfort,13.626172569586387
24,fool,13.59892984801483
25,confidence,13.561521841347153
26,manifest,13.561521841347153
27,reprobates,13.534636316493064
28,faith,13.361990273706459
29,glorious,13.253762075021852
30,infirmities,13.03512988134261
31,ministers,12.828176448878537
32,trust,12.172697016138677
33,sufficient,12.029872168218986
34,abundant,12.029872168218986
35,comforted,11.571604307474006
36,receive,11.54794002957923
37,corinthians,11.455194774813226
38,proof,11.455194774813226
39,burdensome,11.455194774813226
40,behalf,11.227189386370382
41,commend,10.785764120870597
42,gladly,10.785764120870597
43,abundance,10.568250830163251
44,savour,10.558973047717718
45,letters,10.558973047717718
46,righteousness,10.437843868806608
47,epistle,10.345992017309083
48,occasion,10.26254115910283
49,apostles,10.26254115910283
50,forgave,10.238799450488735
51,enlarged,10.238799450488735
52,sincerity,10.238799450488735
53,approved,10.238799450488735
54,confident,10.238799450488735
55,achaia,10.238799450488735
56,saints,9.929083972613826
57,obedience,9.776347411006958
58,sufferings,9.776347411006958
59,knowledge,9.727042085609137
60,ready,9.56264824048045
61,forgive,9.257283445979205
62,abundantly,9.257283445979205
63,worketh,9.041014560898102
64,watchings,9.023090877662042
65,sparingly,9.023090877662042
66,burdened,9.023090877662042
67,revelations,9.023090877662042
68,equality,9.023090877662042
69,commendation,9.023090877662042
70,administered,9.023090877662042
71,sorrowed,9.023090877662042
72,forwardness,9.023090877662042
73,thrice,9.02240412616424
74,write,8.853527074529099
75,nay,8.835841383347901
76,stripes,8.706322579190761
77,beseech,8.694783582956198
78,salvation,8.540925289622429
79,labours,8.420392039777786
80,mind,8.391660473874023
81,knowing,8.276793613847266
82,communion,8.212160661445711
83,supply,8.212160661445711
84,bountifully,8.212160661445711
85,sufficiency,8.212160661445711
86,transformed,8.212160661445711
87,bounty,8.212160661445711
88,glorying,8.212160661445711
89,readiness,8.212160661445711
90,unspeakable,8.212160661445711
91,necessities,8.212160661445711
