,term,score
0,elisha,225.83441818975706
1,judah,156.68773300064748
2,jehu,143.34319230684227
3,hezekiah,123.49908325007421
4,assyria,119.8388360778603
5,samaria,119.17309096040806
6,reigned,116.74098706325688
7,jerusalem,100.40780652504472
8,ahab,92.1491950543986
9,kings,82.46722789507763
10,elijah,81.91039560390988
11,jeroboam,78.21077928805566
12,jehoash,76.69627246012736
13,year,75.16014254867738
14,syria,74.89927254866268
15,babylon,74.05826756783364
16,ahaziah,71.90509413913732
17,chronicles,71.69321434738436
18,joram,71.67159615342113
19,reign,69.8210779973707
20,began,67.51777101377402
21,years,66.40065517008057
22,jehoahaz,65.69728529156569
23,baal,65.54735556651124
24,hazael,64.71458472522359
25,acts,62.55507730086821
26,ahaz,61.9168669363774
27,book,59.376404084455885
28,stead,56.50634100561314
29,joash,56.25451939880034
30,gehazi,54.138545265972255
31,amaziah,53.928820604352985
32,master,51.6312366575919
33,syrians,51.12695671493069
34,isaiah,49.63917735752398
35,slew,48.6649020342371
36,answered,46.99329865369453
37,captain,46.286417229896024
38,nebat,45.8207790992529
39,fifty,44.38665348668565
40,priest,43.47391791478099
41,smote,43.06722651196253
42,places,42.311874410943666
43,guard,40.796789544044486
44,jezreel,40.62950536955689
45,slept,40.62950536955689
46,josiah,40.62826401024469
47,host,40.532775780860405
48,departed,39.288256332263174
49,jehoshaphat,39.10538964402783
50,chariot,38.91366235441896
51,naaman,37.542264651792024
52,burnt,36.2682593143461
53,money,36.2682593143461
54,menahem,36.09236351064817
55,shaphan,35.95254706956866
56,mother,34.47634211262076
57,hilkiah,34.37776185482243
58,pekah,34.36558432443968
59,jehoram,34.36558432443968
60,horses,33.704785965883715
61,altar,33.64340288321058
62,david,33.07314220928086
63,priests,32.98689115803105
64,prophets,32.98689115803105
65,told,32.909235652956184
66,rabshakeh,32.848642645782846
67,carried,32.42347361869712
68,stood,31.875494134934833
69,buried,31.03797605192725
70,gods,30.541692054186193
71,silver,30.31334257764548
72,left,30.31334257764548
73,sin,29.822411053733163
74,hoshea,28.762037655654925
75,brake,28.716484495880678
