,term,score
0,church,6.4805105450026295
1,doeth,5.617464327647286
2,beloved,5.124555173773458
3,record,4.7429585506695
4,friends,4.628641722989602
5,malicious,4.511545438831021
6,diotrephes,4.511545438831021
7,forbiddeth,4.511545438831021
8,fellowhelpers,4.511545438831021
9,doest,4.2273003320653
10,prating,4.106080330722856
11,demetrius,4.106080330722856
12,preeminence,3.8183982582710754
13,ink,3.5952547069568657
14,prospereth,3.5952547069568657
15,gaius,3.5952547069568657
16,write,3.54141082981164
17,wellbeloved,3.412933150162911
18,faithfully,3.412933150162911
19,walkest,3.2587824703356527
20,pen,3.2587824703356527
21,health,3.0074680420547466
22,godly,2.9021075263969207
23,receive,2.8869850073948076
24,john,2.8067973465925955
25,greet,2.719785969602966
26,elder,2.719785969602966
27,casteth,2.719785969602966
28,charity,2.6397432619294294
29,receiveth,2.5656352897757073
30,shortly,2.5656352897757073
31,sort,2.496642418288756
32,content,2.496642418288756
33,testified,2.37147927533475
34,salute,2.314320861494801
35,borne,2.314320861494801
36,therewith,2.2602536402245255
37,prosper,2.2602536402245255
38,deeds,2.2089603458369753
39,loveth,2.2089603458369753
40,report,2.160170181667543
41,epistle,2.0691984034618165
42,journey,2.0266387890430204
43,wrote,1.946596081369484
44,strangers,1.908855753386637
45,rejoiced,1.908855753386637
46,gentiles,1.8724881092157621
47,greater,1.837396789404492
48,mayest,1.77070541490582
49,follow,1.77070541490582
50,whatsoever,1.77070541490582
51,trust,1.7389567165912396
52,true,1.708185057924486
53,witness,1.708185057924486
54,greatly,1.708185057924486
55,sake,1.5411309732613194
56,joy,1.5411309732613194
57,soul,1.4434925036974038
58,phrygia,0.0
59,philosophy,0.0
60,pisidia,0.0
61,pierceth,0.0
62,pison,0.0
63,pispah,0.0
64,philologus,0.0
65,pierced,0.0
66,pierce,0.0
67,philosophers,0.0
68,pieces,0.0
69,pitchers,0.0
70,piss,0.0
71,pisseth,0.0
72,piece,0.0
73,pictures,0.0
74,phurah,0.0
75,pick,0.0
76,pi,0.0
77,pit,0.0
78,physicians,0.0
79,phinehas,0.0
80,phlegon,0.0
81,pitch,0.0
82,phylacteries,0.0
83,phygellus,0.0
84,pitched,0.0
85,pitcher,0.0
86,phuvah,0.0
87,phut,0.0
88,physician,0.0
89,piercing,0.0
90,pisgah,0.0
91,pining,0.0
92,pipers,0.0
93,piped,0.0
94,philistines,0.0
95,pillow,0.0
96,pillows,0.0
97,pilneser,0.0
98,pilots,0.0
99,piltai,0.0
100,pipe,0.0
101,pins,0.0
102,pinon,0.0
103,pin,0.0
104,pinnacle,0.0
105,pine,0.0
106,pineth,0.0
107,pilled,0.0
108,pipes,0.0
109,pillars,0.0
110,pile,0.0
111,piercings,0.0
112,piety,0.0
113,pigeon,0.0
114,pigeons,0.0
115,pilate,0.0
116,pildash,0.0
117,pileha,0.0
118,pillar,0.0
119,pileser,0.0
120,pilgrimage,0.0
121,pilgrims,0.0
122,pirathonite,0.0
123,pirathon,0.0
124,piram,0.0
125,100,0.0
126,pherah,0.0
127,philistine,0.0
128,persis,0.0
129,persecuting,0.0
130,persecution,0.0
131,persecutions,0.0
132,persecutor,0.0
133,persecutors,0.0
134,perseverance,0.0
135,persia,0.0
136,persian,0.0
137,persians,0.0
138,person,0.0
139,persecuted,0.0
140,persons,0.0
141,persuade,0.0
142,persuaded,0.0
143,persuadest,0.0
144,persuadeth,0.0
145,persuading,0.0
146,persuasion,0.0
147,pertain,0.0
148,pertained,0.0
149,persecutest,0.0
150,persecute,0.0
151,pertaining,0.0
152,perishing,0.0
153,perga,0.0
154,pergamos,0.0
155,perida,0.0
156,peril,0.0
157,perilous,0.0
158,perils,0.0
159,perish,0.0
160,perished,0.0
161,perisheth,0.0
162,perizzite,0.0
163,perplexity,0.0
164,perizzites,0.0
165,perjured,0.0
166,permission,0.0
