,term,score
0,paul,313.035264344187
1,peter,174.4331464391753
2,jews,156.83618455442524
3,jesus,131.71104698367796
4,ghost,97.20765817503944
5,jerusalem,95.62648240480449
6,barnabas,86.28611296696478
7,disciples,84.72834422872697
8,saul,81.25652802048938
9,apostles,79.53469398304692
10,john,67.36313631822229
11,antioch,64.91277039060829
12,chief,64.32443775816054
13,ship,63.846365580732254
14,baptized,63.15682888314968
15,christ,59.174528354985746
16,synagogue,58.65808446604175
17,silas,58.650090704803276
18,festus,58.650090704803276
19,philip,58.01986355276949
20,sailed,57.485124630119984
21,caesarea,57.27597387406613
22,gentiles,56.174643276472864
23,agrippa,54.138545265972255
24,believed,51.24555173773458
25,preached,49.80106478202975
26,ananias,49.62699982714123
27,council,48.88173705503479
28,asia,48.88173705503479
29,captain,48.600738091390824
30,prison,48.600738091390824
31,departed,47.82918162188561
32,spake,46.2247371332864
33,cornelius,45.11545438831021
34,temple,44.2676353726455
35,stood,43.031917082162025
36,simon,42.364172114363484
37,named,41.97024657090253
38,accord,40.95519780195494
39,felix,40.60390894947919
40,angel,40.532775780860405
41,commanded,40.0694053047943
42,centurion,39.547801776525525
43,received,39.41114229720278
44,church,38.883063270015775
45,answered,38.601638179820505
46,judaea,37.72739784315997
47,prayed,37.55232587922858
48,immediately,37.50301293253356
49,cyprus,36.09236351064817
50,joppa,35.95254706956866
51,caesar,35.84660717369218
52,fell,35.2449739902709
53,soldiers,34.825290316763045
54,28,33.200327585040284
55,devout,32.848642645782846
56,moses,32.455516100565234
57,greeks,32.357292362611794
58,herod,32.357292362611794
59,hour,31.923182790366127
60,damascus,31.617350662965407
61,stephen,31.58081807181715
62,sirs,31.58081807181715
63,30,31.342129193291605
64,elders,30.747331042640745
65,entered,30.541692054186193
66,multitude,30.28171942818809
67,macedonia,30.074680420547466
68,prophets,29.688202042227942
69,raised,29.398348630471872
70,29,29.340460022151955
71,ephesus,29.329042233020875
72,arose,28.85592380366097
73,cilicia,28.742562315059992
74,31,28.687944721441347
75,faith,28.632836300799557
76,34,27.823307465459834
77,opened,27.56095184106738
78,32,27.559952575892552
79,judas,27.30346520130329
80,persecutest,27.069272632986127
81,33,26.853313516396874
82,alms,26.72878780789753
83,send,26.640809814297864
84,resurrection,26.397432619294293
85,determined,26.397432619294293
86,space,26.397432619294293
87,priest,26.084350748868594
88,35,26.084350748868594
89,bound,26.084350748868594
90,tarried,25.656352897757074
91,shewed,25.500395307947866
92,feet,25.34904939567319
93,preaching,25.26117611933336
94,37,24.78987580868148
95,36,24.345394032277355
96,morrow,24.319665468516245
97,desired,24.319665468516245
98,part,24.31760521402284
99,egypt,23.914590810942805
100,nazareth,23.89053205114038
101,jew,23.216860211175366
102,years,23.09588005915846
103,receive,23.09588005915846
104,38,23.01917039377566
105,castle,22.91038954962645
106,sail,22.91038954962645
107,surname,22.91038954962645
108,roman,22.557727194155106
109,diana,22.557727194155106
110,pamphylia,22.557727194155106
111,disputing,22.557727194155106
112,sect,22.557727194155106
113,tarsus,22.557727194155106
114,vision,22.293026679473225
115,abode,22.08960345836975
116,promise,21.888935074360667
117,drew,21.843984739750418
118,40,21.64194285274573
119,prophet,21.441479252720182
120,continued,21.34331347801275
121,39,21.24846497886984
122,cried,21.24846497886984
123,common,21.117946095435435
124,james,21.052276294383226
125,informed,20.530401653614277
126,iconium,20.530401653614277
127,lystra,20.530401653614277
128,examined,20.530401653614277
129,david,20.21136468344941
130,filled,20.03470265239715
131,sabbath,19.880643112532777
132,witnesses,19.880643112532777
133,rulers,19.858167945227652
134,priests,19.79213469481863
135,sat,19.477759563964018
136,knew,19.454084171218273
137,wonders,19.441531635007888
138,customs,19.091991291355377
139,romans,19.091991291355377
140,eunuch,19.091991291355377
141,accuse,18.75150646626678
142,accused,18.75150646626678
143,daily,18.239749101387183
144,fulfilled,18.239749101387183
145,call,18.18975798332436
146,governor,18.082029121796204
147,appealed,18.046181755324085
148,accompanied,18.046181755324085
149,derbe,18.046181755324085
150,persuaded,18.04480825232848
151,baptism,18.04480825232848
152,rome,18.04480825232848
153,forty,18.034952377288107
