,term,score
0,palaces,33.681568159111144
1,amos,32.848642645782846
2,transgressions,24.96642418288756
3,punishment,20.52508231820566
4,hosts,19.02285149429385
5,plumbline,18.046181755324085
6,el,17.959447028429953
7,captivity,16.231457139559296
8,devour,15.270846027093096
9,beth,15.121191271672803
10,prophesy,13.253762075021852
11,jeroboam,13.03512988134261
12,samaria,12.160519485755925
13,egypt,11.957295405471402
14,poor,11.957295405471402
15,sword,11.54794002957923
16,send,10.969745217652061
17,jacob,10.820971426372864
18,amaziah,10.785764120870597
19,edom,10.568250830163251
20,flood,10.26254115910283
21,lion,9.732980406847421
22,damascus,9.72841558860474
23,wailing,9.37575323313339
24,breaches,9.37575323313339
25,vineyards,9.041014560898102
26,captive,9.041014560898102
27,growth,9.023090877662042
28,needy,9.02240412616424
29,offerings,9.017476188644054
30,wall,8.853527074529099
31,fruit,8.802138006645587
32,midst,8.802138006645587
33,surely,8.540925289622429
34,gilgal,8.420392039777786
35,lamentation,8.420392039777786
36,returned,8.391660473874023
37,nazarites,8.212160661445711
38,die,8.10586840467428
39,rise,7.968873533733708
40,songs,7.6969058693271215
41,pair,7.636796516542151
42,hate,7.635423013546548
43,summer,7.489927254866268
44,cut,7.455602763433291
45,deliver,7.335115005537989
46,fall,7.335115005537989
47,raise,7.213980950915243
48,kir,7.190509413913731
49,drowned,7.190509413913731
50,flee,6.832740231697944
51,tyrus,6.825866300325822
52,poureth,6.825866300325822
53,philistines,6.780760920673576
54,piece,6.780760920673576
55,sworn,6.780760920673576
56,spoiled,6.626881037510926
57,lo,6.59737823160621
58,judah,6.59737823160621
59,gardens,6.517564940671305
60,inhabitant,6.517564940671305
61,holdeth,6.517564940671305
62,mourning,6.4805105450026295
63,shewed,6.375098826986966
64,mourn,6.34095049809795
65,rained,6.25050215542226
66,ivory,6.25050215542226
67,roar,6.25050215542226
68,young,6.164523893045278
69,joseph,6.079916367129061
70,moab,6.079916367129061
71,command,6.079916367129061
72,publish,6.014936084109493
73,amorite,6.014936084109493
74,border,5.957450383568296
75,remnant,5.839788244108452
76,ashdod,5.804215052793841
77,shouting,5.804215052793841
78,sceptre,5.804215052793841
79,drop,5.804215052793841
80,years,5.773970014789615
81,wheat,5.617464327647286
82,maketh,5.617464327647286
83,rain,5.617464327647286
84,basket,5.613594693185191
85,pressed,5.613594693185191
86,abhor,5.613594693185191
87,alas,5.613594693185191
88,melt,5.613594693185191
89,smite,5.512190368213476
90,gaza,5.439571939205932
91,overtake,5.439571939205932
92,carmel,5.439571939205932
93,small,5.410485713186432
94,run,5.410485713186432
95,slay,5.410485713186432
96,caused,5.31211624471746
97,altar,5.31211624471746
98,shoes,5.279486523858859
99,excellency,5.131270579551415
100,swift,5.131270579551415
101,beer,5.131270579551415
102,waters,5.034996284324414
103,perish,5.034996284324414
104,visit,4.993284836577512
105,gate,4.948033673704657
106,prophets,4.948033673704657
107,wholly,4.86420779430237
108,horns,4.86420779430237
109,silence,4.86420779430237
110,repented,4.86420779430237
111,mountains,4.781324120240225
112,wilderness,4.781324120240225
113,houses,4.781324120240225
114,cities,4.781324120240225
115,plant,4.7429585506695
116,sheba,4.7429585506695
117,zion,4.7429585506695
118,places,4.701319378993741
119,afflict,4.628641722989602
120,nought,4.628641722989602
121,famine,4.628641722989602
122,serpent,4.628641722989602
123,calleth,4.628641722989602
124,morning,4.623392919783958
125,bread,4.623392919783958
126,darkness,4.54743949583109
127,leave,4.54743949583109
128,sell,4.520507280449051
129,height,4.520507280449051
130,thirst,4.520507280449051
131,instruments,4.520507280449051
132,sifted,4.511545438831021
133,chiun,4.511545438831021
134,herdman,4.511545438831021
135,fishhooks,4.511545438831021
136,howlings,4.511545438831021
137,reaper,4.511545438831021
138,pant,4.511545438831021
139,invent,4.511545438831021
140,falsifying,4.511545438831021
141,gatherer,4.511545438831021
142,treader,4.511545438831021
143,createth,4.511545438831021
144,chant,4.511545438831021
145,chapel,4.511545438831021
146,mowings,4.511545438831021
147,darken,4.511545438831021
148,righteousness,4.473361658059975
149,seest,4.417920691673951
150,snare,4.417920691673951
151,dwell,4.330477511092211
152,gilead,4.320340363335086
153,waste,4.2273003320653
154,violence,4.2273003320653
155,dark,4.2273003320653
156,isaac,4.2273003320653
157,devoured,4.2273003320653
158,orion,4.106080330722856
159,camps,4.106080330722856
160,palmerworm,4.106080330722856
161,calneh,4.106080330722856
162,plowman,4.106080330722856
163,bribe,4.106080330722856
164,shooting,4.106080330722856
165,hemlock,4.106080330722856
166,viols,4.106080330722856
167,formeth,4.106080330722856
168,moloch,4.106080330722856
169,firebrand,4.106080330722856
170,couches,4.106080330722856
171,sieve,4.106080330722856
172,viol,4.106080330722856
173,lime,4.106080330722856
174,tumults,4.106080330722856
175,hemath,4.106080330722856
176,tabernacle,4.053277578086041
177,trumpet,4.053277578086041
178,possess,4.053277578086041
179,woe,4.053277578086041
180,liveth,3.893192162738968
181,treading,3.8183982582710754
182,crush,3.8183982582710754
183,liketh,3.8183982582710754
184,melody,3.8183982582710754
185,sift,3.8183982582710754
186,threshed,3.8183982582710754
187,lintel,3.8183982582710754
188,herdmen,3.8183982582710754
189,rebuketh,3.8183982582710754
190,climb,3.8183982582710754
191,gin,3.8183982582710754
192,stall,3.8183982582710754
193,bit,3.8183982582710754
194,revealeth,3.8183982582710754
195,ruins,3.8183982582710754
196,handleth,3.8183982582710754
197,cleanness,3.8183982582710754
198,perpetually,3.8183982582710754
199,caphtor,3.8183982582710754
