,term,score
0,daniel,237.51908190604587
1,nebuchadnezzar,96.23897734575189
2,interpretation,84.20392039777786
3,kingdom,80.83558020705462
4,shadrach,67.67318158246532
5,nego,67.67318158246532
6,meshach,67.67318158246532
7,abed,67.67318158246532
8,dream,59.009611664841266
9,belteshazzar,45.11545438831021
10,vision,44.58605335894645
11,decree,41.05016463641132
12,babylon,39.34345464541162
13,iron,38.931921627389684
14,dominion,37.245571262312694
15,belshazzar,36.09236351064817
16,chaldeans,35.84660717369218
17,prince,34.452859413731346
18,spake,34.29577271179314
19,princes,32.46291427911859
20,fiery,30.074680420547466
21,den,30.074680420547466
22,image,29.959809747452194
23,visions,29.02107526396921
24,astrologers,28.742562315059992
25,gods,28.632836300799557
26,answered,28.53164561117168
27,darius,27.30346520130329
28,furnace,26.397432619294293
29,writing,26.397432619294293
30,changed,25.922042180010518
31,sawest,25.00200862168904
32,times,24.65809557218111
33,languages,24.636481984337134
34,clay,24.478073726426693
35,horns,24.32103897151185
36,wise,24.25301064443248
37,eunuchs,23.89053205114038
38,pieces,23.35915297643381
39,kings,23.090823810621735
40,magicians,22.91038954962645
41,province,22.81147729234957
42,presidents,22.557727194155106
43,stood,22.312845894454384
44,beasts,22.312845894454384
45,burning,22.08960345836975
46,horn,21.888935074360667
47,ram,21.758287756823727
48,south,21.412556895064323
49,understanding,21.24846497886984
50,understand,20.997413287253007
51,lions,20.82888775345321
52,wet,20.530401653614277
53,arioch,20.530401653614277
54,persia,20.47759890097747
55,wisdom,20.21136468344941
56,gold,20.208895051763655
57,commanded,20.03470265239715
58,brass,19.858167945227652
59,diverse,19.091991291355377
60,counsellors,18.75150646626678
61,weeks,18.75150646626678
62,golden,18.082029121796204
63,sackbut,18.046181755324085
64,flute,18.046181755324085
65,signed,18.046181755324085
66,mishael,17.97627353478433
67,ten,17.53152177421416
68,persians,16.424321322891423
69,hananiah,16.293912351678262
70,part,16.21173680934856
71,midst,16.137253012183574
72,jerusalem,15.937747067467416
73,north,15.886534356182123
74,medes,15.62625538855565
75,troubled,15.572768650955872
76,brake,15.462722420858828
77,palace,15.462722420858828
78,year,15.373665521320373
79,psaltery,15.273593033084301
80,soothsayers,15.273593033084301
81,realm,15.273593033084301
82,river,15.270846027093096
83,strength,15.1581316527703
84,army,15.121191271672803
85,return,15.104988852973241
86,musick,15.037340210273733
87,azariah,15.037340210273733
88,worship,14.979904873726097
89,matter,14.979904873726097
90,secret,14.79555116222855
91,deliver,14.670230011075978
92,sanctuary,14.59262338290711
93,hour,14.510537631984604
94,grass,14.484388824232715
95,fourth,14.484388824232715
96,cornet,14.381018827827463
97,forasmuch,14.186471523301144
98,drank,14.033986732962978
