,term,score
0,possess,105.38521703023706
1,egypt,85.4092528962243
2,command,83.09219035076384
3,giveth,72.5365186286922
4,gods,72.5365186286922
5,commandments,72.1682800753166
6,moses,66.61921725905495
7,statutes,65.54735556651124
8,gates,60.344478522454004
9,mayest,60.203984106797876
10,commanded,60.10410795719146
11,nations,58.15370155477967
12,jordan,54.9549043168489
13,choose,54.54402333269925
14,sware,51.844084360021036
15,mount,50.256384108980534
16,covenant,46.95183134796347
17,stranger,46.71830595286762
18,observe,45.363573815018405
19,cursed,45.363573815018405
20,inheritance,45.31496655891972
21,cities,44.62569178890877
22,serve,42.70462644811215
23,bless,41.702152684978074
24,judgments,41.38396806923633
25,damsel,40.62950536955689
26,die,40.5293420233714
27,wife,40.0694053047943
28,tables,39.9462786926201
29,bashan,38.91366235441896
30,destroyed,38.2505929619218
31,hearken,37.44976218431524
32,enemies,36.656818255175054
33,lend,35.95254706956866
34,neighbour,35.57727407509948
35,fruit,35.208552026582346
36,amorites,34.95299385604258
37,levite,34.37776185482243
38,spake,34.29577271179314
39,elders,34.163701158489715
40,dwelt,33.64340288321058
41,sihon,33.08214846260221
42,og,32.587824703356524
43,blood,32.27450602436715
44,midst,32.27450602436715
45,wilderness,30.28171942818809
46,multiply,29.917645665632623
47,goest,29.383297322918832
48,horeb,29.329042233020875
49,seir,29.02107526396921
50,fatherless,28.22198818753278
51,year,27.330960926791775
52,abomination,27.123043682694306
53,anger,27.09417001469461
54,forty,27.05242856593216
55,prolong,26.07025976268522
56,soul,25.982865066553266
57,stone,25.938778894957697
58,eye,25.3638019923918
59,cattle,25.305749057803293
60,joshua,25.26117611933336
61,river,24.815124794026282
62,blessing,24.815124794026282
63,dwell,24.539372562855863
64,maidservant,23.89053205114038
65,tribes,23.829801534273184
66,widow,23.761871998342976
67,29,23.472368017721564
68,blessed,23.472368017721564
69,heshbon,23.216860211175366
70,likeness,23.216860211175366
71,ox,23.143208614948012
72,28,23.09588005915846
73,daughter,23.090823810621735
74,forget,23.090717607981365
75,curses,22.91038954962645
76,release,22.81147729234957
77,nation,22.696431533087985
78,teach,22.606437315686115
79,increase,22.048761472853904
80,possession,21.888935074360667
81,thither,21.843984739750418
82,sheep,21.81831723207246
83,utterly,21.64194285274573
84,foot,21.64194285274573
85,husband,21.64194285274573
86,offerings,21.64194285274573
87,floweth,21.571528241741195
88,manservant,21.571528241741195
89,mountain,21.24846497886984
90,promised,21.136501660326502
91,pledge,21.052276294383226
92,amen,20.867480599094876
93,corn,20.867480599094876
94,congregation,20.691984034618166
95,plain,20.691984034618166
96,hated,20.691984034618166
97,anakims,20.530401653614277
98,surely,20.49822069509383
99,woman,20.372383975639544
100,stones,20.139985137297657
101,rejoice,20.03470265239715
102,diligently,19.880643112532777
103,rock,19.858167945227652
104,jacob,19.838447615016918
105,field,19.79213469481863
106,thyself,19.70557114860139
107,graven,19.45683117720948
108,sin,19.384567184926556
109,betrothed,19.091991291355377
110,battle,19.08855753386637
111,burnt,19.08855753386637
112,obey,19.08855753386637
113,deliver,19.07129901439877
114,usury,19.03850178722076
115,generation,19.02285149429385
116,levites,18.971834202678
117,wast,18.971834202678
118,side,18.790035637169346
119,years,18.76540254806625
120,kadesh,18.75150646626678
121,arnon,18.75150646626678
122,cleave,18.51456689195841
123,bread,18.493571679135833
124,valley,18.239749101387183
125,inherit,18.239749101387183
126,moab,18.239749101387183
127,ways,18.18975798332436
128,call,18.18975798332436
129,milk,18.082029121796204
130,roebuck,18.046181755324085
131,war,18.034952377288107
132,giants,17.97627353478433
133,learn,17.959447028429953
134,ark,17.671682766695803
135,rise,17.53152177421416
136,unclean,17.519364732325357
137,esau,17.412645158381522
138,oil,17.389567165912396
139,left,17.321910044368845
140,afraid,17.321910044368845
141,gilead,17.281361453340345
142,30,17.23817105631038
143,mother,17.23817105631038
144,hate,17.179701780479732
145,money,17.179701780479732
146,heed,17.081850579244858
147,witness,17.081850579244858
148,peor,17.064665750814555
149,kine,17.064665750814555
150,officers,17.024727280058293
151,eaten,16.852392982941858
152,rain,16.852392982941858
153,return,16.783320947748045
154,honey,16.553587227694532
155,smite,16.53657110464043
156,book,16.493445579015525
157,prophet,16.493445579015525
158,cud,16.424321322891423
159,levi,16.20024603046361
160,pharaoh,16.20024603046361
161,write,15.936348734152379
162,coast,15.838459571576577
163,gather,15.671064596645802
164,wood,15.650610449321157
165,rebellious,15.62625538855565
166,camp,15.462722420858828
167,comest,15.393811738654243
168,trees,15.373665521320373
169,poor,15.373665521320373
170,bondman,15.273593033084301
171,lusteth,15.273593033084301
172,barnea,15.273593033084301
173,pisgah,15.273593033084301
174,presumptuously,15.273593033084301
175,hoof,15.273593033084301
176,nigh,15.270846027093096
177,arm,15.121191271672803
178,beneath,14.979854509732537
179,forsake,14.79555116222855
180,isaac,14.79555116222855
181,lay,14.670230011075978
182,vineyard,14.59262338290711
183,song,14.59262338290711
184,bondage,14.59262338290711
185,32,14.590563128413704
186,nights,14.510537631984604
187,mightier,14.510537631984604
188,curse,14.427961901830486
189,hart,14.381018827827463
190,gadites,14.381018827827463
191,plaister,14.381018827827463
192,firstling,14.381018827827463
193,slayer,14.381018827827463
194,31,14.343972360720674
195,grapes,14.228875652008501
196,journey,14.186471523301144
197,judges,14.186471523301144
198,fight,14.186471523301144
199,flocks,14.186471523301144
200,whatsoever,14.16564331924656
201,altar,14.16564331924656
202,slain,14.16564331924656
203,feast,13.911653732729917
204,hide,13.900717561659357
205,quickly,13.885925168968807
206,evils,13.651732600651645
207,reubenites,13.651732600651645
208,iron,13.626172569586387
209,vow,13.59892984801483
210,sworn,13.561521841347153
211,tents,13.561521841347153
212,tribe,13.561521841347153
213,drive,13.561521841347153
214,jeshurun,13.534636316493064
215,zered,13.534636316493064
216,succeeded,13.534636316493064
217,perish,13.426656758198437
218,cut,13.420084974179924
219,priests,13.19475646321242
220,wherewith,13.19475646321242
221,image,13.107416764510335
222,abraham,13.107416764510335
223,maketh,13.107416764510335
224,freewill,13.03512988134261
225,waxen,13.03512988134261
226,stroke,13.03512988134261
227,signs,12.961021090005259
228,hearkened,12.961021090005259
229,redeemed,12.961021090005259
230,captains,12.961021090005259
231,ass,12.961021090005259
232,taketh,12.961021090005259
233,innocent,12.828176448878537
234,pity,12.828176448878537
235,sun,12.750197653973933
236,fat,12.6819009961959
237,send,12.536851677316642
238,weeks,12.50100431084452
239,besiege,12.50100431084452
240,tithe,12.50100431084452
241,manasseh,12.48321209144378
242,abominations,12.48321209144378
243,greatness,12.48321209144378
244,consume,12.415190420770898
245,kindled,12.415190420770898
246,hills,12.415190420770898
247,goeth,12.39493790434074
248,offer,12.39493790434074
249,young,12.329047786090555
250,massah,12.318240992168567
251,dreamer,12.318240992168567
252,daughters,12.172697016138677
253,priest,12.172697016138677
254,firstborn,12.159832734258122
255,wise,12.12650532221624
256,nun,12.029872168218986
257,sentence,12.029872168218986
258,controversy,12.029872168218986
259,enter,11.957295405471402
260,clean,11.914900767136592
261,kill,11.914900767136592
262,thousands,11.85739637667375
263,number,11.748324663423633
264,33,11.748324663423633
265,raiment,11.679576488216904
266,hateth,11.608430105587683
267,vows,11.608430105587683
268,heifer,11.608430105587683
269,siege,11.608430105587683
270,provoke,11.571604307474006
271,provoked,11.571604307474006
272,terrible,11.571604307474006
273,sword,11.54794002957923
274,ground,11.545411905310868
275,straitness,11.455194774813226
276,argob,11.455194774813226
277,ar,11.455194774813226
278,settest,11.455194774813226
279,flieth,11.455194774813226
280,tall,11.455194774813226
281,edrei,11.455194774813226
282,dam,11.455194774813226
283,alive,11.453134520319821
284,burn,11.453134520319821
285,stead,11.301268201122628
286,ammon,11.301268201122628
287,plagues,11.227189386370382
288,basket,11.227189386370382
289,distress,11.044801729184876
290,witnesses,11.044801729184876
291,greater,11.024380736426952
292,sacrifice,10.969745217652061
293,tree,10.969745217652061
294,canaanites,10.879143878411863
295,overtake,10.879143878411863
296,humbled,10.879143878411863
297,spoil,10.820971426372864
298,small,10.820971426372864
299,wonders,10.800850908337715
300,assembly,10.800850908337715
301,judge,10.787916812829236
302,stiffnecked,10.785764120870597
303,heave,10.785764120870597
304,owl,10.785764120870597
305,tokens,10.785764120870597
306,ebal,10.785764120870597
307,firstlings,10.785764120870597
308,ears,10.62423248943492
309,sign,10.568250830163251
310,olive,10.568250830163251
311,worthy,10.568250830163251
312,34,10.433740299547438
313,wrath,10.269161007753183
314,eagle,10.26254115910283
315,beareth,10.26254115910283
316,jealousy,10.26254115910283
317,naphtali,10.26254115910283
318,flee,10.249110347546916
319,find,10.249110347546916
320,wickedness,10.249110347546916
321,virginity,10.238799450488735
322,case,10.238799450488735
323,perform,10.133193945215101
324,month,10.133193945215101
325,host,10.133193945215101
326,lift,10.133193945215101
327,waters,10.069992568648829
328,kind,9.986569673155024
329,herds,9.986569673155024
330,stretched,9.929083972613826
331,dread,9.776347411006958
332,temptations,9.776347411006958
333,hermon,9.776347411006958
334,shoe,9.776347411006958
335,wrote,9.732980406847421
336,precious,9.732980406847421
337,camest,9.72841558860474
338,virgin,9.72841558860474
339,passover,9.72841558860474
340,fetch,9.72841558860474
341,chosen,9.727042085609137
342,knew,9.727042085609137
343,body,9.727042085609137
344,part,9.727042085609137
345,shewed,9.56264824048045
346,ten,9.56264824048045
347,speaking,9.544278766933186
348,flock,9.544278766933186
349,sacrifices,9.544278766933186
350,shouldest,9.544278766933186
351,aaron,9.485917101339
352,brook,9.485917101339
353,dan,9.485917101339
