,term,score
0,vanity,82.38919980352895
1,sun,55.78211473613596
2,wisdom,51.44711010332578
3,labour,40.726224542833855
4,vexation,38.183982582710755
5,fool,38.07700357444152
6,wise,37.89532913192575
7,preacher,27.30346520130329
8,happeneth,27.069272632986127
9,travail,20.52508231820566
10,find,18.790035637169346
11,folly,17.47649692802129
12,knoweth,17.081850579244858
13,madness,17.064665750814555
14,fools,15.838459571576577
15,portion,15.572768650955872
16,sinner,15.037340210273733
17,laughter,14.381018827827463
18,profit,13.885925168968807
19,laboured,13.59892984801483
20,applied,13.534636316493064
21,befalleth,13.534636316493064
22,event,13.534636316493064
23,wicked,13.19475646321242
24,vanities,12.50100431084452
25,poor,11.957295405471402
26,considered,11.608430105587683
27,mirth,11.608430105587683
28,enjoy,11.608430105587683
29,giveth,11.453134520319821
30,knowledge,11.348215766543992
31,riches,11.234928655294572
32,living,11.156422947227192
33,works,10.269161007753183
34,hasty,10.238799450488735
35,whoso,9.72841558860474
36,shouldest,9.544278766933186
37,maketh,9.36244054607881
38,doeth,9.36244054607881
39,rejoice,9.246785839567917
40,darkness,9.09487899166218
41,feareth,9.02240412616424
42,goeth,8.853527074529099
43,child,8.694783582956198
44,return,8.391660473874023
45,excelleth,8.212160661445711
46,vow,8.159357908808897
47,sorrow,8.106555156172082
48,jerusalem,7.968873533733708
49,youth,7.9432671780910615
50,righteous,7.705654866306597
51,ointment,7.6969058693271215
52,comforter,7.636796516542151
53,dieth,7.489927254866268
54,merry,7.489927254866268
55,wind,7.349587157617968
56,falleth,7.296311691453555
57,forgotten,7.296311691453555
58,satisfied,7.296311691453555
59,soul,7.217462518487019
60,years,7.217462518487019
61,sacrificeth,7.190509413913731
62,owners,7.190509413913731
63,destroyeth,7.190509413913731
64,cord,7.190509413913731
65,pleaseth,7.190509413913731
66,admonished,7.190509413913731
67,exercised,7.190509413913731
68,eateth,7.1144378260042505
69,knowest,7.08282165962328
70,whatsoever,7.08282165962328
71,sore,7.08282165962328
72,planted,6.942962584484404
73,pay,6.942962584484404
74,surely,6.832740231697944
75,wickedness,6.832740231697944
76,therewith,6.780760920673576
77,purpose,6.626881037510926
78,foolish,6.626881037510926
79,broken,6.59737823160621
80,bite,6.517564940671305
81,foolishness,6.517564940671305
82,taketh,6.4805105450026295
83,hurt,6.4805105450026295
84,sought,6.375098826986966
85,clouds,6.34095049809795
86,alike,6.25050215542226
87,joy,6.164523893045278
88,gift,6.079916367129061
89,regardeth,6.014936084109493
90,answereth,6.014936084109493
91,singers,6.014936084109493
92,increaseth,6.014936084109493
93,hatred,6.014936084109493
94,ruleth,6.014936084109493
95,remembrance,5.839788244108452
96,defence,5.804215052793841
97,crooked,5.804215052793841
98,oppression,5.804215052793841
99,silver,5.773970014789615
100,rich,5.726567260159911
101,sleep,5.726567260159911
102,matter,5.617464327647286
103,pleasure,5.512190368213476
104,increase,5.512190368213476
105,estate,5.439571939205932
106,error,5.439571939205932
107,curse,5.410485713186432
108,war,5.410485713186432
109,princes,5.410485713186432
110,dust,5.31211624471746
111,mad,5.279486523858859
112,birth,5.131270579551415
113,darkened,5.131270579551415
114,bird,5.131270579551415
115,born,5.034996284324414
116,returned,5.034996284324414
117,stones,5.034996284324414
118,grief,4.993284836577512
119,higher,4.993284836577512
120,wealth,4.86420779430237
121,straight,4.86420779430237
122,die,4.863521042804568
123,beginning,4.863521042804568
124,multitude,4.781324120240225
125,tree,4.701319378993741
126,serpent,4.628641722989602
127,business,4.628641722989602
128,upright,4.628641722989602
129,sow,4.628641722989602
130,filled,4.623392919783958
131,bread,4.623392919783958
132,thyself,4.54743949583109
133,strength,4.54743949583109
134,leave,4.54743949583109
135,utter,4.520507280449051
136,goest,4.520507280449051
137,walketh,4.520507280449051
138,counting,4.511545438831021
139,orchards,4.511545438831021
140,blunt,4.511545438831021
141,circuits,4.511545438831021
142,discharge,4.511545438831021
143,discerneth,4.511545438831021
144,grinders,4.511545438831021
145,droppeth,4.511545438831021
146,sadness,4.511545438831021
147,ecclesiastes,4.511545438831021
148,conclusion,4.511545438831021
149,whirleth,4.511545438831021
150,stinking,4.511545438831021
151,crackling,4.511545438831021
152,observeth,4.511545438831021
153,acquainting,4.511545438831021
154,endangered,4.511545438831021
155,foldeth,4.511545438831021
156,threefold,4.511545438831021
157,loveth,4.417920691673951
158,streets,4.417920691673951
159,perceived,4.417920691673951
160,fall,4.401069003322793
161,mourning,4.320340363335086
162,rivers,4.320340363335086
163,womb,4.2273003320653
164,eye,4.2273003320653
165,abundance,4.2273003320653
166,generation,4.2273003320653
167,hated,4.138396806923633
168,search,4.138396806923633
169,wearieth,4.106080330722856
170,vowest,4.106080330722856
171,almond,4.106080330722856
172,perverting,4.106080330722856
173,babbler,4.106080330722856
174,apothecary,4.106080330722856
175,slothfulness,4.106080330722856
176,childhood,4.106080330722856
177,diggeth,4.106080330722856
178,sew,4.106080330722856
179,prolongeth,4.106080330722856
180,embracing,4.106080330722856
181,spendeth,4.106080330722856
182,points,4.106080330722856
183,begetteth,4.106080330722856
184,requireth,4.106080330722856
185,goads,4.106080330722856
186,hereunto,4.106080330722856
187,pacifieth,4.106080330722856
188,rash,4.106080330722856
189,shadow,4.053277578086041
190,woe,4.053277578086041
191,north,3.9716335890455308
192,angry,3.9716335890455308
193,sweet,3.893192162738968
194,ruler,3.893192162738968
195,increased,3.893192162738968
196,south,3.893192162738968
197,experience,3.8183982582710754
198,despair,3.8183982582710754
199,preeminence,3.8183982582710754
200,joyfully,3.8183982582710754
201,weariness,3.8183982582710754
202,musical,3.8183982582710754
203,grasshopper,3.8183982582710754
204,idleness,3.8183982582710754
205,whet,3.8183982582710754
206,defer,3.8183982582710754
207,withheld,3.8183982582710754
208,study,3.8183982582710754
209,yielding,3.8183982582710754
210,inventions,3.8183982582710754
211,flies,3.8183982582710754
212,enchantment,3.8183982582710754
213,grinding,3.8183982582710754
214,oppressions,3.8183982582710754
215,decayeth,3.8183982582710754
216,carry,3.817711506773274
217,beast,3.817711506773274
218,money,3.817711506773274
219,oath,3.817711506773274
220,rain,3.7449762184315243
221,suffer,3.6069904754576214
222,envied,3.5952547069568657
223,creator,3.5952547069568657
224,resteth,3.5952547069568657
225,bowl,3.5952547069568657
226,downward,3.5952547069568657
227,mischievous,3.5952547069568657
228,mourners,3.5952547069568657
229,cistern,3.5952547069568657
230,removeth,3.5952547069568657
231,race,3.5952547069568657
232,accepteth,3.5952547069568657
233,labouring,3.5952547069568657
234,laboureth,3.5952547069568657
235,oppressors,3.5952547069568657
236,reputation,3.5952547069568657
237,pitcher,3.5952547069568657
238,skill,3.5952547069568657
239,untimely,3.5952547069568657
240,dignity,3.5952547069568657
241,pools,3.5952547069568657
242,feasting,3.5952547069568657
243,offences,3.5952547069568657
244,bereave,3.5952547069568657
245,wanteth,3.5952547069568657
246,appetite,3.5952547069568657
247,fears,3.5952547069568657
248,season,3.54141082981164
249,wood,3.4779134331824793
250,heed,3.416370115848972
251,reward,3.416370115848972
252,trees,3.416370115848972
253,violent,3.412933150162911
254,bulwarks,3.412933150162911
255,warm,3.412933150162911
256,bedchamber,3.412933150162911
257,assemblies,3.412933150162911
258,snared,3.412933150162911
259,sorts,3.412933150162911
260,memory,3.412933150162911
261,delights,3.412933150162911
262,lo,3.298689115803105
263,flourish,3.2587824703356527
264,commended,3.2587824703356527
265,laugh,3.2587824703356527
266,equity,3.2587824703356527
267,handful,3.2587824703356527
268,hasteth,3.2587824703356527
269,hasten,3.2587824703356527
270,chance,3.2587824703356527
271,peculiar,3.2587824703356527
