,term,score
0,christ,87.8073646557853
1,jesus,40.085970821119375
2,church,19.441531635007888
3,grace,19.1252964809609
4,mystery,18.04480825232848
5,saints,17.872351150704887
6,faith,15.270846027093096
7,body,14.590563128413704
8,ages,12.318240992168567
9,heavenly,12.029872168218986
10,world,11.748324663423633
11,edifying,10.785764120870597
12,fulness,10.558973047717718
13,working,10.558973047717718
14,promise,9.72841558860474
15,spiritual,9.37575323313339
16,gentiles,9.36244054607881
17,riches,9.36244054607881
18,predestinated,9.023090877662042
19,gospel,8.640680726670173
20,redemption,8.420392039777786
21,ascended,8.420392039777786
22,access,8.212160661445711
23,unity,8.212160661445711
24,husbands,8.159357908808897
25,places,7.835532298322901
26,wife,7.705654866306597
27,created,7.6969058693271215
28,apostles,7.6969058693271215
29,fitly,7.636796516542151
30,ephesians,7.636796516542151
31,dispensation,7.636796516542151
32,wrath,7.335115005537989
33,wives,7.213980950915243
34,forbearing,7.190509413913731
35,paul,7.1144378260042505
36,tychicus,6.825866300325822
37,principalities,6.825866300325822
38,disobedience,6.825866300325822
39,quickened,6.825866300325822
40,effectual,6.825866300325822
41,worketh,6.780760920673576
42,inheritance,6.713328379099218
43,named,6.626881037510926
44,purpose,6.626881037510926
45,affairs,6.517564940671305
46,enmity,6.517564940671305
47,revelation,6.517564940671305
48,knowledge,6.484694723739424
49,boldly,6.25050215542226
50,prisoner,6.25050215542226
51,gift,6.079916367129061
52,members,6.014936084109493
53,measure,5.839788244108452
54,fellowship,5.804215052793841
55,purposed,5.804215052793841
56,descended,5.804215052793841
57,powers,5.804215052793841
58,speaking,5.726567260159911
59,making,5.726567260159911
60,praise,5.617464327647286
61,exceeding,5.617464327647286
62,bond,5.613594693185191
63,conversation,5.613594693185191
64,wisdom,5.512190368213476
65,loved,5.512190368213476
66,minister,5.512190368213476
67,armour,5.439571939205932
68,hope,5.410485713186432
69,understanding,5.31211624471746
70,trusted,5.279486523858859
71,lusts,5.279486523858859
72,partakers,5.279486523858859
73,supplication,5.131270579551415
74,mind,5.034996284324414
75,sealed,4.993284836577512
76,devil,4.993284836577512
77,prophets,4.948033673704657
78,wherewith,4.948033673704657
79,apostle,4.86420779430237
80,deceive,4.86420779430237
81,masters,4.86420779430237
82,calling,4.7429585506695
83,uncleanness,4.7429585506695
84,corrupt,4.628641722989602
85,ward,4.628641722989602
86,sins,4.54743949583109
87,darkness,4.54743949583109
88,manifest,4.520507280449051
89,fellowcitizens,4.511545438831021
90,vocation,4.511545438831021
91,endeavouring,4.511545438831021
92,clamour,4.511545438831021
93,threatening,4.511545438831021
94,evangelists,4.511545438831021
95,commonwealth,4.511545438831021
96,wrinkle,4.511545438831021
97,fellowheirs,4.511545438831021
98,perseverance,4.511545438831021
99,whoremonger,4.511545438831021
100,compacted,4.511545438831021
101,circumspectly,4.511545438831021
102,submitting,4.511545438831021
103,sweetsmelling,4.511545438831021
104,greediness,4.511545438831021
105,nourisheth,4.511545438831021
106,wrestle,4.511545438831021
107,nurture,4.511545438831021
108,jesting,4.511545438831021
109,sleight,4.511545438831021
110,righteousness,4.473361658059975
111,loveth,4.417920691673951
112,blood,4.401069003322793
113,works,4.401069003322793
114,henceforth,4.2273003320653
115,joined,4.138396806923633
116,knowing,4.138396806923633
117,giving,4.138396806923633
118,supplieth,4.106080330722856
119,desires,4.106080330722856
120,cherisheth,4.106080330722856
121,lowliness,4.106080330722856
122,feeling,4.106080330722856
123,pastors,4.106080330722856
124,perfecting,4.106080330722856
125,wiles,4.106080330722856
126,comprehend,4.106080330722856
127,proving,4.106080330722856
128,tenderhearted,4.106080330722856
129,foreigners,4.106080330722856
130,hymns,4.106080330722856
131,eyeservice,4.106080330722856
132,principality,4.106080330722856
133,partition,4.106080330722856
134,idolater,4.106080330722856
135,menpleasers,4.106080330722856
136,foundation,3.9716335890455308
137,redeeming,3.8183982582710754
138,abounded,3.8183982582710754
139,singleness,3.8183982582710754
140,excess,3.8183982582710754
141,framed,3.8183982582710754
142,fulfilling,3.8183982582710754
143,filleth,3.8183982582710754
144,melody,3.8183982582710754
145,blame,3.8183982582710754
146,prudence,3.8183982582710754
147,covenants,3.8183982582710754
148,aliens,3.8183982582710754
149,admonition,3.8183982582710754
150,alienated,3.8183982582710754
151,adoption,3.8183982582710754
152,grounded,3.8183982582710754
153,nigh,3.817711506773274
154,strangers,3.817711506773274
155,faithful,3.7449762184315243
156,raised,3.674793578808984
157,pleasure,3.674793578808984
158,husband,3.6069904754576214
159,shod,3.5952547069568657
160,darts,3.5952547069568657
161,contained,3.5952547069568657
162,tribulations,3.5952547069568657
163,girt,3.5952547069568657
164,unwise,3.5952547069568657
165,forgiving,3.5952547069568657
166,sleepest,3.5952547069568657
167,hearers,3.5952547069568657
168,ambassador,3.5952547069568657
169,whatsoever,3.54141082981164
170,amen,3.4779134331824793
171,salvation,3.416370115848972
172,beloved,3.416370115848972
173,ignorance,3.412933150162911
174,joint,3.412933150162911
175,finally,3.412933150162911
176,reconcile,3.412933150162911
177,grieve,3.412933150162911
178,uncircumcision,3.412933150162911
179,craftiness,3.412933150162911
180,breastplate,3.412933150162911
181,earnest,3.412933150162911
182,enlightened,3.412933150162911
183,malice,3.412933150162911
184,helmet,3.412933150162911
185,sincerity,3.412933150162911
186,workmanship,3.412933150162911
187,forgiveness,3.412933150162911
188,utterance,3.412933150162911
189,unsearchable,3.412933150162911
190,abolished,3.412933150162911
191,saved,3.298689115803105
192,watching,3.2587824703356527
193,unfruitful,3.2587824703356527
194,blindness,3.2587824703356527
195,manifold,3.2587824703356527
196,needeth,3.2587824703356527
197,lasciviousness,3.2587824703356527
198,followers,3.2587824703356527
199,thereunto,3.2587824703356527
200,communication,3.2587824703356527
201,renewed,3.2587824703356527
202,dear,3.2587824703356527
203,ephesus,3.2587824703356527
204,stole,3.2587824703356527
205,afore,3.2587824703356527
206,purchased,3.2587824703356527
207,32,3.242347361869712
208,31,3.187549413493483
209,mother,3.1342129193291606
210,30,3.1342129193291606
211,preparation,3.12525107771113
212,tossed,3.12525107771113
213,nature,3.12525107771113
214,withstand,3.12525107771113
215,psalms,3.12525107771113
216,rooted,3.12525107771113
217,covetous,3.12525107771113
218,blessings,3.12525107771113
219,times,3.082261946522639
220,filled,3.082261946522639
221,hearts,3.03162633055406
222,washing,3.0074680420547466
223,rome,3.0074680420547466
224,fiery,3.0074680420547466
225,boast,3.0074680420547466
226,trespasses,3.0074680420547466
227,convenient,3.0074680420547466
228,baptism,3.0074680420547466
229,deceitful,3.0074680420547466
230,twain,3.0074680420547466
231,boldness,3.0074680420547466
232,feet,2.9822411053733164
233,blessed,2.9340460022151955
234,29,2.9340460022151955
235,quench,2.9021075263969207
