,term,score
0,moses,497.0818518560254
1,aaron,275.091595938831
2,pharaoh,266.1468990719021
3,egypt,208.39857706678728
4,sockets,187.1015146552827
5,tabernacle,184.42412980291485
6,gold,138.57528035495076
7,egyptians,128.9015065490128
8,rings,123.8337338727548
9,blue,110.7986039914122
10,boards,107.53982152107653
11,altar,104.47161947944338
12,congregation,101.39072176962901
13,twined,94.74245421545145
14,ephod,93.23150930369715
15,cubits,90.56737417931599
16,side,90.53380806999776
17,offering,90.03244268082011
18,shittim,84.72834422872697
19,curtain,82.69085826000791
20,breastplate,78.49746245374696
21,linen,77.76612654003155
22,board,76.69627246012736
23,staves,73.43422117928007
24,pillars,70.68673106678321
25,court,69.90598771208516
26,tent,69.90598771208516
27,fine,68.28354731423994
28,commanded,67.80976282349806
29,mount,66.46812091832909
30,curtains,66.16429692520443
31,purple,64.91270287550766
32,brass,63.54613742472849
33,scarlet,63.234701325930814
34,ark,61.85088968343531
35,loops,58.650090704803276
36,pure,56.95930047153925
37,spake,55.171460449406354
38,vail,54.13442475698544
39,breadth,53.50628573732607
40,ox,53.22937981438043
41,length,52.42949078406388
42,bread,52.39845309088486
43,cubit,52.237935475144575
44,candlestick,51.31270579551415
45,sides,51.31270579551415
46,morning,50.85732211762354
47,hangings,50.33356589739612
48,rod,49.80106478202975
49,hanging,49.63917735752398
50,overlay,49.27296396867427
51,wood,48.69078806455471
52,surely,47.82918162188561
53,hail,47.715554892074124
54,hooks,46.738311190439255
55,silver,46.19176011831692
56,river,45.812538081279286
57,overlaid,45.62295458469914
58,testimony,45.363573815018405
59,coupled,45.166883637951415
60,knop,45.11545438831021
61,coupling,45.11545438831021
62,jethro,45.11545438831021
63,taches,45.11545438831021
64,service,44.38665348668565
65,skins,43.14305648348239
66,incense,42.944819164265986
67,serve,42.70462644811215
68,anointing,42.364172114363484
69,fifty,42.273003320653004
70,frogs,42.00238084098183
71,branches,41.97024657090253
72,door,41.95830236937012
73,twenty,41.194738402746765
74,firstborn,40.532775780860405
75,generations,40.31514768069075
76,gods,40.085970821119375
77,oil,39.99600448159851
