,term,score
0,side,230.6049828198056
1,cubits,170.0899466294471
2,gate,141.8436319795335
3,midst,137.9001621041142
4,sword,118.36638530318712
5,court,107.35562398641652
6,east,107.06278447532162
7,abominations,104.85898156812776
8,chambers,97.49414101147688
9,offering,93.7072362596291
10,breadth,89.98784419459385
11,measured,89.75293699689787
12,heathen,87.8073646557853
13,desolate,85.6502275802573
14,sanctuary,82.6915325031403
15,egypt,81.99288278037533
16,idols,80.69873773501084
17,north,79.43267178091061
18,appearance,78.19416909342341
19,blood,76.28519605759509
20,fury,76.15400714888304
21,length,74.89927254866268
22,iniquity,73.65400360423527
23,border,73.47522139734232
24,prophesy,70.68673106678321
25,arches,67.67318158246532
26,wheels,66.16429692520443
27,twenty,65.53708382255168
28,thousand,64.84694723739425
29,slain,63.745394936609515
30,month,62.825802460333634
31,whoredoms,62.5050215542226
32,judgments,62.0759521038545
33,posts,61.749541625037104
34,countries,61.57524695461697
35,prince,58.772524882247595
36,fall,58.68092004430391
37,nations,58.15370155477967
38,waters,57.06329122234336
39,wast,56.915502608034004
40,west,56.50634100561314
41,south,56.451286359715034
42,lifted,55.64661493091967
43,oblation,55.3993019957061
44,die,55.119905151785105
45,wicked,54.42837041075123
46,mountains,54.18834002938922
47,daughters,53.90765821432843
48,rebellious,53.12926832108921
49,multitude,52.594565322642474
50,possession,51.07418184017489
51,wall,49.57975161736296
52,reed,49.33582794874765
53,cherubims,48.74707050573844
54,trees,47.82918162188561
55,tyrus,47.78106410228076
56,statutes,47.46532644471503
57,broad,46.18143521596273
58,porch,44.90875754548153
59,ephah,44.8756354528003
60,flock,43.90368232789265
61,door,43.63663446414492
62,likeness,43.53161289595381
63,cubit,43.53161289595381
64,wings,43.45316647269814
65,rivers,43.20340363335086
66,gog,42.00238084098183
67,committed,41.73496119818975
68,jerusalem,41.43814237541528
69,field,41.233613947538814
70,surely,40.99644139018766
71,uncircumcised,39.9462786926201
72,branches,39.761286225065554
73,babylon,39.34345464541162
74,portion,38.931921627389684
75,polluted,37.943668405356
76,captivity,37.873399992305025
77,lewdness,37.542264651792024
78,burnt,36.2682593143461
79,chebar,36.09236351064817
80,cherub,36.08961650465696
81,meat,35.44601238501035
82,caused,35.414108298116396
83,living,35.06304354842832
84,prepare,35.038729464650714
85,ways,34.86370280137169
86,sabbaths,34.825290316763045
87,merchants,34.825290316763045
88,defiled,34.56272290668069
89,river,34.359403560959464
90,profaned,34.12933150162911
91,lay,33.74152902547475
92,stood,33.469268841681576
93,palm,32.45635143775383
94,year,32.455516100565234
95,judge,32.363750438487706
96,creatures,32.357292362611794
97,blemish,31.923182790366127
98,dwell,31.756835081342885
99,windows,31.676919143153153
100,utter,31.643550963143355
101,prey,31.643550963143355
102,lo,31.337546600129496
103,sin,31.313531606419822
104,gates,31.145537301911745
105,young,30.82261946522639
106,scatter,30.787623477308486
107,pestilence,30.787623477308486
108,beauty,30.787623477308486
109,threshold,30.7163983514662
110,stick,30.7163983514662
111,scattered,30.541692054186193
112,cities,30.28171942818809
113,inheritance,30.209977705946482
114,offer,30.101992053398938
115,altar,30.101992053398938
116,pharaoh,30.086171199432414
117,famine,30.086171199432414
118,cut,29.822411053733163
119,faces,29.78725191784148
120,waste,29.5911023244571
121,cover,29.5911023244571
122,souls,29.5911023244571
123,fifty,29.5911023244571
124,covenant,29.562264182051074
125,pit,29.383297322918832
126,bread,29.28148849196507
127,bullock,29.037175881223725
128,terror,29.037175881223725
129,company,28.96877764846543
130,measuring,28.762037655654925
131,broidered,28.742562315059992
132,heads,28.632836300799557
133,defile,28.22198818753278
134,places,28.207916273962446
135,tree,28.207916273962446
136,sister,28.087321638236432
137,linen,28.08221236167806
138,priests,28.038857484326392
139,broken,28.038857484326392
140,oil,27.823307465459834
141,building,27.463066601176315
142,28,27.426357570250673
143,measure,27.252345139172775
144,aholibah,27.069272632986127
145,doted,27.069272632986127
146,prospect,27.069272632986127
147,fairs,27.069272632986127
148,isles,27.06721237849272
149,merchandise,27.06721237849272
150,reeds,26.72878780789753
151,shame,26.723980547412918
152,vision,26.346304257559265
153,inhabited,26.118967737572287
154,measures,26.08627202868225
155,break,26.084350748868594
156,whoredom,26.07025976268522
157,wheel,26.07025976268522
158,part,25.938778894957697
159,clothed,25.922042180010518
160,shepherds,25.656352897757074
161,enter,25.62277586886729
162,feet,25.34904939567319
163,lamentation,25.26117611933336
164,bones,25.24893332820335
165,princes,25.24893332820335
166,settle,25.16678294869806
167,homer,25.16678294869806
168,pollute,25.16678294869806
169,execute,24.96642418288756
170,deliver,24.939391018829163
171,height,24.86279004246978
172,cease,24.815124794026282
173,beast,24.815124794026282
174,judah,24.740168368523285
175,daubed,24.636481984337134
176,left,24.539372562855863
177,graves,24.478073726426693
178,seas,24.478073726426693
179,discovered,24.478073726426693
180,walls,24.29856380420673
181,wilderness,23.906620601201123
182,ten,23.906620601201123
183,beasts,23.906620601201123
184,31,23.906620601201123
185,warn,23.89053205114038
186,thick,23.7147927533475
187,30,23.506596894968705
188,gather,23.506596894968705
189,return,23.496649326847265
190,29,23.472368017721564
191,offerings,23.44543809047454
192,boughs,23.216860211175366
193,righteous,23.116964598919793
194,ground,23.090823810621735
195,looketh,23.090717607981365
196,jealousy,23.090717607981365
197,sides,23.090717607981365
198,residue,23.090717607981365
199,disperse,22.91038954962645
200,warning,22.91038954962645
201,tenth,22.602536402245256
202,untempered,22.557727194155106
203,furbished,22.557727194155106
204,scum,22.557727194155106
205,aholah,22.557727194155106
206,horses,22.469857310589145
207,transgressions,22.469781764598807
208,tables,22.469781764598807
209,doings,22.469781764598807
210,recompense,22.469781764598807
211,cleanse,22.469781764598807
212,profane,22.454378772740764
213,bands,22.08960345836975
214,colour,21.87675754397791
215,eden,21.87675754397791
216,noise,21.843984739750418
217,ram,21.758287756823727
218,executed,21.758287756823727
219,spoil,21.64194285274573
220,covered,21.64194285274573
221,army,21.60170181667543
222,hin,21.571528241741195
223,harlot,21.34331347801275
224,violence,21.136501660326502
225,eastward,21.117946095435435
226,open,21.07525785215313
227,ammonites,21.052276294383226
228,anger,20.71907118770764
229,detestable,20.530401653614277
230,post,20.47759890097747
231,multiplied,20.34228276202073
232,increase,20.21136468344941
233,feed,20.21136468344941
234,nakedness,19.97313934631005
235,tribes,19.858167945227652
236,shed,19.858167945227652
237,astray,19.647581426148168
238,lawful,19.647581426148168
239,lovers,19.552694822013915
240,entry,19.552694822013915
241,divination,19.552694822013915
242,trespass,19.45683117720948
243,chamber,19.45683117720948
244,32,19.454084171218273
245,righteousness,19.384567184926556
246,meshech,19.091991291355377
247,wastes,19.091991291355377
248,alienated,19.091991291355377
249,burn,19.08855753386637
250,top,19.08855753386637
251,commit,19.08855753386637
252,fruit,19.07129901439877
253,safely,19.03850178722076
254,brightness,19.03850178722076
255,sign,19.02285149429385
256,fill,19.02285149429385
257,devoured,19.02285149429385
258,levites,18.971834202678
259,wickedness,18.790035637169346
260,didst,18.72488109215762
261,poured,18.72488109215762
262,cloud,18.622785631156347
263,equal,18.478202833506007
264,valleys,18.478202833506007
265,walked,18.46165304252285
266,parts,18.37396789404492
267,opened,18.37396789404492
268,woe,18.239749101387183
269,draw,18.239749101387183
270,loins,18.239749101387183
271,looked,18.14279013691708
272,stretch,18.082029121796204
273,eminent,18.046181755324085
274,pilots,18.046181755324085
275,charge,18.034952377288107
276,firmament,17.97627353478433
277,tubal,17.97627353478433
278,pity,17.959447028429953
279,proverb,17.959447028429953
280,swords,17.959447028429953
281,youth,17.872351150704887
282,temple,17.707054149058198
283,upward,17.47649692802129
284,corners,17.47649692802129
285,send,17.23817105631038
286,strangers,17.179701780479732
287,pavement,17.064665750814555
288,assyrians,17.064665750814555
289,ah,17.064665750814555
290,doors,16.9092013282612
291,eye,16.9092013282612
292,fat,16.9092013282612
293,sisters,16.840784079555572
294,filthiness,16.840784079555572
295,rod,16.60035492734325
296,separate,16.60035492734325
297,pour,16.553587227694532
298,wind,16.53657110464043
299,minister,16.53657110464043
300,chaldea,16.424321322891423
301,traded,16.424321322891423
302,passengers,16.424321322891423
303,mariners,16.424321322891423
304,nebuchadrezzar,16.424321322891423
305,northward,16.318715817617793
306,creature,16.318715817617793
307,morter,16.293912351678262
308,stumblingblock,16.293912351678262
309,watchman,16.293912351678262
310,despised,16.231457139559296
311,wilt,16.21173680934856
312,images,16.20024603046361
313,vengeance,16.20024603046361
314,mountain,15.936348734152379
315,ears,15.936348734152379
316,consumed,15.886534356182123
317,soul,15.878417540671443
318,spare,15.821775481571677
319,lambs,15.821775481571677
320,garments,15.650610449321157
321,bath,15.62625538855565
322,stuff,15.62625538855565
323,lion,15.572768650955872
324,cattle,15.572768650955872
325,sixth,15.462722420858828
326,filled,15.411309732613194
327,turneth,15.393811738654243
328,hamath,15.393811738654243
329,pomp,15.273593033084301
330,deal,15.121191271672803
331,33,15.104988852973241
332,fell,15.104988852973241
333,merchant,15.037340210273733
334,riches,14.979904873726097
335,shoulder,14.979854509732537
336,sodom,14.979854509732537
337,arms,14.979854509732537
338,vanity,14.979854509732537
339,require,14.979854509732537
340,kings,14.844101021113971
341,prophet,14.844101021113971
342,sanctified,14.79555116222855
343,smite,14.699174315235936
344,steps,14.59262338290711
345,samaria,14.59262338290711
346,egyptians,14.59262338290711
347,nether,14.510537631984604
348,seir,14.510537631984604
349,siege,14.510537631984604
350,accomplish,14.510537631984604
351,visions,14.510537631984604
352,leaves,14.510537631984604
353,reproach,14.484388824232715
354,fine,14.484388824232715
355,consume,14.484388824232715
356,silver,14.434925036974038
357,market,14.381018827827463
358,mentioned,14.381018827827463
359,occupied,14.381018827827463
