,term,score
0,jerusalem,76.5011859238436
1,cyrus,53.928820604352985
2,ezra,53.45757561579506
3,levites,49.80106478202975
4,artaxerxes,49.27296396867427
5,persia,44.368130952117845
6,priests,42.882958505440364
7,jeshua,39.547801776525525
8,males,36.08961650465696
9,twenty,35.57727407509948
10,babylon,34.71481292242202
11,river,34.359403560959464
12,darius,34.12933150162911
13,thousand,30.802299937762264
14,nethinims,30.547186066168603
15,chief,28.038857484326392
16,month,26.346304257559265
17,silver,25.982865066553266
18,builded,25.922042180010518
19,vessels,25.72355505166289
20,fifty,25.3638019923918
21,judah,24.740168368523285
22,gold,24.539372562855863
23,scribe,24.478073726426693
24,letter,23.090717607981365
25,decree,23.090717607981365
26,companions,22.454378772740764
27,offered,22.048761472853904
28,captivity,21.64194285274573
29,build,21.07525785215313
30,rehum,20.530401653614277
31,zerubbabel,20.47759890097747
32,zechariah,19.552694822013915
33,seventy,18.51456689195841
34,offering,18.37396789404492
35,tatnai,18.046181755324085
36,shimshai,18.046181755324085
37,sheshbazzar,18.046181755324085
38,boznai,18.046181755324085
39,wives,18.034952377288107
40,jews,17.671682766695803
41,burnt,17.179701780479732
42,porters,17.064665750814555
43,kings,16.493445579015525
44,shethar,16.424321322891423
45,bebai,16.424321322891423
46,jozadak,16.424321322891423
47,freewill,16.293912351678262
48,offerings,16.231457139559296
49,temple,15.936348734152379
50,counsellors,15.62625538855565
51,harim,15.273593033084301
52,jehiel,15.273593033084301
53,eliashib,15.273593033084301
54,nebuchadnezzar,15.037340210273733
55,elam,15.037340210273733
56,singers,15.037340210273733
57,matter,14.979904873726097
58,trespass,14.59262338290711
59,forty,14.427961901830486
60,bani,14.381018827827463
61,copy,14.381018827827463
62,priest,13.911653732729917
63,side,13.665480463395888
64,year,13.665480463395888
65,mattaniah,13.651732600651645
66,maaseiah,13.651732600651645
67,governor,13.561521841347153
68,ahava,13.534636316493064
69,toll,13.534636316493064
70,chancellor,13.534636316493064
71,threescore,13.361990273706459
72,iddo,13.03512988134261
73,shallum,13.03512988134261
74,shemaiah,13.03512988134261
75,province,13.03512988134261
76,benaiah,13.03512988134261
77,eliezer,13.03512988134261
78,reign,12.861777525831444
79,strange,12.861777525831444
80,building,12.48321209144378
81,bigvai,12.318240992168567
82,binnui,12.318240992168567
83,pahath,12.318240992168567
84,separated,12.160519485755925
85,talents,12.029872168218986
86,elders,11.957295405471402
