,term,score
0,christ,78.26308588885212
1,faith,41.994826574506014
2,jesus,32.45054780757283
3,gospel,25.922042180010518
4,promise,21.888935074360667
5,circumcision,19.647581426148168
6,justified,17.47649692802129
7,abraham,16.852392982941858
8,bondwoman,16.424321322891423
9,circumcised,16.318715817617793
10,peter,15.037340210273733
11,bondage,14.59262338290711
12,freewoman,13.534636316493064
13,galatians,13.534636316493064
14,jews,13.253762075021852
15,gentiles,13.107416764510335
16,preach,11.85739637667375
17,mediator,11.455194774813226
18,crucified,11.227189386370382
19,grace,11.156422947227192
20,barnabas,10.785764120870597
21,works,10.269161007753183
22,uncircumcision,10.238799450488735
23,vain,9.896067347409314
24,liberty,9.72841558860474
25,preached,9.485917101339
26,soweth,9.37575323313339
27,affect,9.023090877662042
28,zealously,9.023090877662042
29,agar,9.023090877662042
30,schoolmaster,9.023090877662042
31,james,9.02240412616424
32,reap,8.835841383347901
33,cross,8.420392039777786
34,elements,8.212160661445711
35,heir,8.159357908808897
36,jerusalem,7.968873533733708
37,free,7.9432671780910615
38,persecuted,7.919229785788288
39,scripture,7.919229785788288
40,religion,7.636796516542151
41,availeth,7.636796516542151
42,forbid,7.489927254866268
43,desire,7.455602763433291
44,titus,7.190509413913731
45,paul,7.1144378260042505
46,promises,6.825866300325822
47,world,6.713328379099218
48,arabia,6.517564940671305
49,revelation,6.517564940671305
50,persecution,6.25050215542226
51,nature,6.25050215542226
52,accursed,6.25050215542226
53,received,6.06325266110812
54,greek,6.014936084109493
55,churches,6.014936084109493
56,added,6.014936084109493
57,sinai,6.014936084109493
58,righteousness,5.964482210746633
59,jew,5.804215052793841
60,years,5.773970014789615
61,heathen,5.726567260159911
62,trouble,5.617464327647286
63,confirmed,5.613594693185191
64,effect,5.439571939205932
65,run,5.410485713186432
66,curse,5.410485713186432
67,meekness,5.279486523858859
68,apostles,5.131270579551415
69,born,5.034996284324414
70,separated,4.86420779430237
71,apostle,4.86420779430237
72,present,4.863521042804568
73,fulfil,4.7429585506695
74,sinners,4.628641722989602
75,worketh,4.520507280449051
76,disannulleth,4.511545438831021
77,exclude,4.511545438831021
78,travailest,4.511545438831021
79,constrain,4.511545438831021
80,equals,4.511545438831021
81,beggarly,4.511545438831021
82,compellest,4.511545438831021
83,tutors,4.511545438831021
84,emulations,4.511545438831021
85,seditions,4.511545438831021
86,conference,4.511545438831021
87,allegory,4.511545438831021
88,persuasion,4.511545438831021
89,injured,4.511545438831021
90,foreseeing,4.511545438831021
91,hearing,4.417920691673951
92,foolish,4.417920691673951
93,cursed,4.320340363335086
94,evidently,4.106080330722856
95,communicated,4.106080330722856
96,bondmaid,4.106080330722856
97,leaveneth,4.106080330722856
98,frustrate,4.106080330722856
99,overtaken,4.106080330722856
100,envyings,4.106080330722856
101,ministereth,4.106080330722856
102,differeth,4.106080330722856
103,dissimulation,4.106080330722856
104,gendereth,4.106080330722856
105,bewitched,4.106080330722856
106,traditions,4.106080330722856
107,marks,4.106080330722856
108,hangeth,4.106080330722856
109,effectually,4.106080330722856
110,variance,4.106080330722856
111,cilicia,4.106080330722856
112,affections,4.106080330722856
113,revellings,4.106080330722856
114,blessedness,4.106080330722856
115,blamed,4.106080330722856
116,affected,4.106080330722856
117,angel,4.053277578086041
118,witchcraft,3.8183982582710754
119,addeth,3.8183982582710754
120,abba,3.8183982582710754
121,concluded,3.8183982582710754
122,covenants,3.8183982582710754
