,term,score
0,jacob,326.43263802891477
1,joseph,318.1822898797542
2,abraham,250.91340663491212
3,abram,225.28549723799344
4,laban,221.7283378590342
5,esau,220.56017200616597
6,pharaoh,217.5461609805113
7,isaac,169.09201328261202
8,years,163.11465291780664
9,wife,160.2776212191772
10,rachel,158.1912071061021
11,begat,155.05949772015168
12,sarah,141.28073555602978
13,leah,135.50065091385423
14,rebekah,135.34636316493064
15,egypt,131.53024946018542
16,duke,131.39457058313138
17,noah,118.98640858227375
18,canaan,118.01922332968253
19,daughters,109.55427314524809
20,cattle,103.16959231258265
21,bare,99.15950323472592
22,lived,92.41994809174503
23,abimelech,81.91039560390988
24,daughter,80.81788333717607
25,sarai,76.69627246012736
26,field,75.86984966347141
27,dream,74.40342340349551
28,blessed,70.41710405316469
29,nahor,65.69728529156569
30,lot,64.80510545002629
31,cain,61.4327967029324
32,money,61.083384108372385
33,spake,59.644822107466325
34,master,59.57450383568296
35,lad,58.65808446604175
36,died,58.433278691892056
37,shem,57.485124630119984
38,ark,57.432968991761356
39,camels,55.938389634477254
40,famine,55.54370067587523
41,ishmael,55.3993019957061
42,tent,54.92613320235263
43,hagar,54.138545265972255
44,waters,53.70662703279375
45,heth,53.37904429939712
46,told,53.28161962859573
47,sodom,52.42949078406388
48,food,51.07418184017489
49,adam,50.52235223866672
50,born,50.349962843244136
51,dreamed,50.33356589739612
52,padan,49.62699982714123
53,shechem,49.33582794874765
54,ephron,49.27296396867427
55,multiply,48.956147452853386
56,flocks,48.63933093703249
57,conceived,48.59712760841346
58,fowl,46.43372042235073
59,judah,46.18164762124347
60,dwelt,46.03834078755132
61,covenant,45.21287463137223
62,sack,45.166883637951415
63,mamre,45.11545438831021
64,sister,44.93971462117829
65,peradventure,44.90875754548153
66,mother,43.878980870608245
67,die,43.77168938524111
68,bless,43.687969479500836
69,28,43.304775110922115
70,generations,42.6866269560255
71,29,42.54366703212033
72,kind,42.442921110908856
73,haran,42.364172114363484
74,30,42.311874410943666
75,hamor,42.00238084098183
76,wives,41.480390467762646
77,31,41.43814237541528
78,el,41.05016463641132
79,kine,40.95519780195494
80,bury,40.796789544044486
81,circumcised,40.796789544044486
82,aram,40.62826401024469
83,firstborn,40.532775780860405
84,ground,39.58426938963726
85,dukes,39.547801776525525
86,favoured,39.547801776525525
87,younger,39.295162852296336
88,fruitful,39.295162852296336
89,bread,38.528274331532984
90,ham,38.183982582710755
91,goshen,38.183982582710755
92,lamech,38.183982582710755
93,beast,38.17711506773274
94,reuben,37.72739784315997
95,left,37.5308050961325
96,32,37.28699466150169
97,bethuel,36.9547229765057
98,japheth,36.9547229765057
99,anah,36.9547229765057
100,bilhah,36.9547229765057
101,sacks,36.9547229765057
102,dinah,36.09236351064817
103,venison,36.09236351064817
104,butler,36.09236351064817
105,adah,36.09236351064817
106,dwell,36.0873125924351
107,rose,35.871886216414204
108,youngest,35.84660717369218
109,bowed,34.56272290668069
110,tree,34.47634211262076
111,benjamin,34.452859413731346
112,speckled,34.36558432443968
113,terah,34.36558432443968
114,surely,34.163701158489715
115,garden,34.04945456011659
116,asses,33.90380460336788
117,sheba,33.2007098546865
118,cave,33.08214846260221
119,woman,32.909235652956184
120,gerar,32.848642645782846
121,betwixt,32.587824703356524
122,beth,32.402552725013145
123,enoch,32.357292362611794
124,pitcher,32.357292362611794
125,firmament,32.357292362611794
126,33,31.888309800721288
127,egyptians,31.617350662965407
128,zilpah,31.58081807181715
129,ringstraked,31.58081807181715
130,morning,30.82261946522639
131,flood,30.787623477308486
132,beer,30.787623477308486
133,male,30.787623477308486
134,creepeth,30.547186066168603
135,returned,30.209977705946482
136,country,29.959809747452194
137,maid,29.959709019465073
138,corn,29.562264182051074
139,child,29.562264182051074
140,34,29.562264182051074
141,gomorrah,29.329042233020875
142,pillar,29.18524676581422
143,possession,29.18524676581422
144,wept,28.96877764846543
145,seth,28.742562315059992
146,aholibamah,28.742562315059992
147,ten,28.687944721441347
148,river,28.632836300799557
149,sheep,28.53164561117168
150,answered,28.53164561117168
151,nations,28.331290501046507
152,created,28.22198818753278
153,lifted,27.823307465459834
154,commanded,27.74035751870375
155,knew,27.559952575892552
156,manasseh,27.463066601176315
157,herds,27.463066601176315
158,east,27.252345139172775
159,kindred,27.19785969602966
160,bought,27.123043682694306
161,stood,27.09417001469461
162,salah,27.069272632986127
163,savoury,27.069272632986127
164,machpelah,27.069272632986127
165,bashemath,27.069272632986127
166,forty,27.05242856593216
167,buried,26.899579245003615
168,digged,26.753142868663033
169,milcah,26.72878780789753
170,eliphaz,26.72878780789753
171,flock,26.723980547412918
172,simeon,26.397432619294293
173,seir,26.118967737572287
174,damsel,26.118967737572287
175,stolen,26.07025976268522
176,wilt,25.938778894957697
177,living,25.500395307947866
178,creeping,25.26117611933336
179,eber,25.16678294869806
180,zoar,25.16678294869806
181,send,25.073703354633285
182,female,25.00200862168904
183,buy,24.830380841541796
184,plain,24.830380841541796
185,blessing,24.815124794026282
186,ears,24.78987580868148
187,looked,24.740168368523285
188,zibeon,24.636481984337134
189,enos,24.636481984337134
190,spotted,24.636481984337134
191,baker,24.636481984337134
192,buryingplace,24.636481984337134
193,abel,24.478073726426693
194,reigned,24.32103897151185
195,month,24.319665468516245
196,journeyed,24.059744336437973
197,hittite,24.059744336437973
198,gathered,23.906620601201123
199,ephraim,23.761871998342976
200,edom,23.25015182635915
201,thigh,23.216860211175366
202,prison,23.143208614948012
203,chief,23.090823810621735
204,altar,23.01917039377566
205,herdmen,22.91038954962645
206,birthright,22.91038954962645
207,arphaxad,22.91038954962645
208,alive,22.906269040639643
209,age,22.602536402245256
210,cup,22.602536402245256
211,goats,22.602536402245256
212,chedorlaomer,22.557727194155106
213,coat,22.454378772740764
214,angel,22.293026679473225
215,opened,22.048761472853904
216,herb,21.87675754397791
217,creature,21.758287756823727
218,slay,21.64194285274573
219,lo,21.441479252720182
220,families,21.34331347801275
221,names,21.136501660326502
222,spies,21.052276294383226
223,fled,20.997413287253007
224,35,20.867480599094876
225,captain,20.82888775345321
226,arise,20.71907118770764
227,appeared,20.691984034618166
228,twenty,20.597369201373382
229,methuselah,20.530401653614277
230,cainan,20.530401653614277
231,mandrakes,20.530401653614277
232,peleg,20.530401653614277
233,jared,20.530401653614277
234,kissed,20.52508231820566
235,departed,20.49822069509383
236,find,20.49822069509383
237,rods,20.47759890097747
238,stead,20.34228276202073
239,ill,20.314752684778444
240,egyptian,20.314752684778444
241,lift,20.266387890430202
242,door,20.139985137297657
243,fell,20.139985137297657
244,ran,19.880643112532777
245,bow,19.838447615016918
246,grew,19.647581426148168
247,sixty,19.552694822013915
248,sold,19.465960813694842
249,stone,19.454084171218273
250,sware,19.441531635007888
251,onan,19.091991291355377
252,shelah,19.091991291355377
253,yielding,19.091991291355377
254,mahalaleel,19.091991291355377
255,lay,19.07129901439877
256,canaanites,19.03850178722076
257,souls,19.02285149429385
258,asked,19.02285149429385
259,fifty,19.02285149429385
260,soul,18.76540254806625
261,eden,18.75150646626678
262,tamar,18.75150646626678
