,term,score
0,habakkuk,13.534636316493064
1,violence,12.6819009961959
2,selah,11.455194774813226
3,didst,11.234928655294572
4,woe,10.133193945215101
5,drag,9.023090877662042
6,trembled,7.919229785788288
7,net,7.296311691453555
8,march,7.190509413913731
9,salvation,6.832740231697944
10,rivers,6.4805105450026295
11,maker,6.014936084109493
12,nations,5.964482210746633
13,everlasting,5.617464327647286
14,horses,5.617464327647286
15,makest,5.439571939205932
16,dumb,5.131270579551415
17,wicked,4.948033673704657
18,graven,4.86420779430237
19,awake,4.7429585506695
20,iniquity,4.701319378993741
21,cry,4.701319378993741
22,scoff,4.511545438831021
23,discovering,4.511545438831021
24,shigionoth,4.511545438831021
25,slacked,4.511545438831021
26,ladeth,4.511545438831021
27,woundedst,4.511545438831021
28,taunting,4.511545438831021
29,cushan,4.511545438831021
30,quivered,4.511545438831021
31,spewing,4.511545438831021
32,deride,4.511545438831021
33,booties,4.511545438831021
34,grievance,4.511545438831021
35,feet,4.473361658059975
36,heap,4.417920691673951
37,midst,4.401069003322793
38,blood,4.401069003322793
39,horsemen,4.320340363335086
40,cover,4.2273003320653
41,singer,4.106080330722856
42,stablisheth,4.106080330722856
43,leopards,4.106080330722856
44,purer,4.106080330722856
45,shameful,4.106080330722856
46,coveteth,4.106080330722856
47,angle,4.106080330722856
48,heapeth,4.106080330722856
49,invade,4.106080330722856
50,imputing,4.106080330722856
51,lookest,4.106080330722856
52,tarry,4.053277578086041
53,vision,4.053277578086041
54,stringed,3.8183982582710754
55,enlargeth,3.8183982582710754
56,blossom,3.8183982582710754
57,marvellously,3.8183982582710754
58,dwellingplaces,3.8183982582710754
59,oaths,3.8183982582710754
60,stalls,3.8183982582710754
61,shame,3.817711506773274
62,watch,3.817711506773274
63,heathen,3.817711506773274
64,image,3.7449762184315243
65,bow,3.6069904754576214
66,spoil,3.6069904754576214
67,raise,3.6069904754576214
68,rottenness,3.5952547069568657
69,readeth,3.5952547069568657
70,thresh,3.5952547069568657
71,dignity,3.5952547069568657
72,transgresseth,3.5952547069568657
73,cutting,3.5952547069568657
74,hiding,3.5952547069568657
75,labour,3.54141082981164
76,lifted,3.4779134331824793
77,hinds,3.412933150162911
78,revive,3.412933150162911
79,foreskin,3.412933150162911
80,glittering,3.412933150162911
81,spoiling,3.412933150162911
82,troops,3.412933150162911
83,overflowing,3.412933150162911
84,swifter,3.412933150162911
85,hasty,3.412933150162911
86,waters,3.356664189549609
87,prophet,3.298689115803105
88,bite,3.2587824703356527
89,paran,3.2587824703356527
90,chaldeans,3.2587824703356527
91,dreadful,3.2587824703356527
92,puttest,3.2587824703356527
93,wolves,3.2587824703356527
94,profiteth,3.2587824703356527
95,contention,3.2587824703356527
96,teacher,3.2587824703356527
97,holdest,3.2587824703356527
98,hasteth,3.2587824703356527
99,correction,3.2587824703356527
100,fold,3.2587824703356527
101,wilt,3.242347361869712
102,stone,3.242347361869712
103,answer,3.242347361869712
104,stood,3.187549413493483
105,anger,3.187549413493483
106,mountains,3.187549413493483
107,gather,3.1342129193291606
108,plenteous,3.12525107771113
109,trusteth,3.12525107771113
110,teman,3.12525107771113
111,treacherously,3.12525107771113
112,bottle,3.12525107771113
113,town,3.12525107771113
114,meat,3.082261946522639
115,filled,3.082261946522639
116,rejoice,3.082261946522639
117,righteous,3.082261946522639
118,drove,3.0074680420547466
119,curtains,3.0074680420547466
120,increaseth,3.0074680420547466
121,strike,3.0074680420547466
122,buildeth,3.0074680420547466
123,devoureth,3.0074680420547466
124,vines,3.0074680420547466
125,wrath,2.9340460022151955
126,perpetual,2.9021075263969207
127,midian,2.9021075263969207
128,shining,2.9021075263969207
129,beam,2.9021075263969207
130,nest,2.9021075263969207
131,wentest,2.9021075263969207
132,gathereth,2.9021075263969207
133,reproved,2.9021075263969207
134,afraid,2.8869850073948076
135,dwell,2.8869850073948076
136,soul,2.8869850073948076
137,years,2.8869850073948076
138,catch,2.8067973465925955
139,uncovered,2.8067973465925955
140,creeping,2.8067973465925955
141,vex,2.719785969602966
142,brightness,2.719785969602966
143,uttered,2.719785969602966
144,measured,2.719785969602966
145,secretly,2.719785969602966
146,consulted,2.719785969602966
147,clay,2.719785969602966
148,proceedeth,2.719785969602966
149,timber,2.719785969602966
150,proceed,2.719785969602966
151,parable,2.719785969602966
152,offend,2.719785969602966
153,staves,2.719785969602966
154,herd,2.6397432619294294
155,scorn,2.6397432619294294
156,coals,2.6397432619294294
157,spear,2.6397432619294294
158,scatter,2.5656352897757073
159,whirlwind,2.5656352897757073
160,pestilence,2.5656352897757073
161,fly,2.5656352897757073
162,eagle,2.5656352897757073
163,fishes,2.5656352897757073
164,proverb,2.5656352897757073
165,weary,2.5656352897757073
166,asunder,2.5656352897757073
167,breath,2.5656352897757073
