,term,score
0,haggai,41.060803307228554
1,hosts,29.5911023244571
2,zerubbabel,23.89053205114038
3,josedech,20.530401653614277
4,shealtiel,19.091991291355377
5,month,16.213110312344163
6,joshua,14.033986732962978
7,twentieth,12.160519485755925
8,darius,10.238799450488735
9,governor,9.041014560898102
10,earneth,9.023090877662042
11,priest,8.694783582956198
12,prophet,8.246722789507762
13,unclean,7.786384325477936
14,shake,7.1144378260042505
15,judah,6.59737823160621
16,skirt,6.517564940671305
17,wages,5.279486523858859
18,overthrow,5.279486523858859
19,year,5.124555173773458
20,answered,5.034996284324414
21,upward,4.993284836577512
22,priests,4.948033673704657
23,ninth,4.86420779430237
24,pressfat,4.511545438831021
25,stayed,4.417920691673951
26,sixth,4.417920691673951
27,waste,4.2273003320653
28,kingdoms,4.138396806923633
29,touch,4.053277578086041
30,remnant,3.893192162738968
31,pottage,3.8183982582710754
32,comparison,3.8183982582710754
33,twenty,3.7449762184315243
34,barn,3.5952547069568657
35,covenanted,3.5952547069568657
36,cieled,3.5952547069568657
37,temple,3.54141082981164
38,oil,3.4779134331824793
39,heavens,3.4779134331824793
40,press,3.412933150162911
41,mildew,3.412933150162911
42,signet,3.412933150162911
43,blasting,3.412933150162911
44,pomegranate,3.412933150162911
45,riders,3.412933150162911
46,warm,3.412933150162911
47,message,3.2587824703356527
48,stone,3.242347361869712
49,tree,3.1342129193291606
50,ways,3.03162633055406
51,drought,3.0074680420547466
52,bag,3.0074680420547466
53,nations,2.9822411053733164
54,holes,2.9021075263969207
55,clothe,2.8067973465925955
56,stirred,2.8067973465925955
57,labours,2.8067973465925955
58,hail,2.8067973465925955
59,residue,2.5656352897757073
60,ride,2.5656352897757073
61,sown,2.37147927533475
62,glorified,2.37147927533475
63,measures,2.37147927533475
64,dew,2.314320861494801
65,blow,2.314320861494801
66,obeyed,2.2602536402245255
67,messenger,2.2602536402245255
68,heap,2.2089603458369753
69,remaineth,2.160170181667543
70,fifty,2.11365016603265
71,fill,2.11365016603265
72,olive,2.11365016603265
73,dry,2.0691984034618165
74,draw,2.0266387890430204
75,bringeth,2.0266387890430204
76,speaketh,1.9858167945227654
