,term,score
0,faith,61.083384108372385
1,priest,45.21287463137223
2,melchisedec,40.60390894947919
3,blood,32.27450602436715
4,angels,28.716484495880678
5,jesus,26.723980547412918
6,christ,24.815124794026282
7,covenant,24.345394032277355
8,offered,23.886158262258398
9,promise,21.888935074360667
10,testament,21.87675754397791
11,obtained,21.758287756823727
12,sins,21.221384313878417
13,promises,20.47759890097747
14,moses,18.790035637169346
15,abraham,18.72488109215762
16,tabernacle,18.239749101387183
17,heavenly,18.04480825232848
18,endured,17.97627353478433
19,sin,17.8934466322399
20,sacrifices,17.179701780479732
21,received,16.673944818047328
22,partakers,15.838459571576577
23,priesthood,15.62625538855565
24,enter,15.373665521320373
25,perfect,15.104988852973241
26,world,15.104988852973241
27,verily,14.484388824232715
28,order,14.484388824232715
29,offer,14.16564331924656
30,tithes,14.033986732962978
31,conscience,14.033986732962978
32,unbelief,13.651732600651645
33,holiest,13.534636316493064
34,works,13.20320700996838
35,tempted,13.198716309647146
36,gifts,12.961021090005259
37,offering,12.861777525831444
38,grace,12.750197653973933
39,sacrifice,12.536851677316642
40,profession,12.318240992168567
41,sprinkling,12.318240992168567
42,subjection,12.029872168218986
43,eternal,11.571604307474006
44,mediator,11.455194774813226
45,oath,11.453134520319821
46,faithful,11.234928655294572
47,suffered,11.044801729184876
48,ghost,10.800850908337715
49,impossible,10.785764120870597
50,chastening,10.785764120870597
51,righteousness,10.437843868806608
52,receiveth,10.26254115910283
53,salvation,10.249110347546916
54,veil,10.238799450488735
55,speaketh,9.929083972613826
56,priests,9.896067347409314
57,pertaining,9.776347411006958
58,sanctuary,9.72841558860474
59,entered,9.544278766933186
60,harden,9.37575323313339
61,purged,9.37575323313339
62,stedfast,9.37575323313339
63,heirs,9.37575323313339
64,necessity,9.37575323313339
65,hearts,9.09487899166218
66,divers,9.041014560898102
67,goats,9.041014560898102
68,principles,9.023090877662042
69,worlds,9.023090877662042
70,contradiction,9.023090877662042
71,testator,9.023090877662042
72,sprinkled,9.02240412616424
73,hope,9.017476188644054
74,spirits,8.835841383347901
75,heavens,8.694783582956198
76,sware,8.640680726670173
77,year,8.540925289622429
78,sanctified,8.4546006641306
79,isaac,8.4546006641306
80,repentance,8.420392039777786
81,author,8.212160661445711
82,descent,8.212160661445711
83,translated,8.212160661445711
84,italy,8.212160661445711
85,sanctifieth,8.212160661445711
86,bonds,8.159357908808897
87,draw,8.106555156172082
88,living,7.968873533733708
89,foundation,7.9432671780910615
90,recompence,7.919229785788288
91,salem,7.636796516542151
92,weakness,7.636796516542151
93,chasteneth,7.636796516542151
94,partly,7.636796516542151
95,throne,7.489952436863049
96,country,7.489952436863049
97,patience,7.489927254866268
98,commandment,7.455602763433291
99,pleasure,7.349587157617968
100,greater,7.349587157617968
101,hold,7.335115005537989
102,blessed,7.335115005537989
103,excellent,7.296311691453555
104,compassed,7.296311691453555
105,receive,7.217462518487019
106,28,7.217462518487019
107,whereof,7.213980950915243
108,sprang,7.190509413913731
109,evident,7.190509413913731
110,carnal,7.190509413913731
111,exercised,7.190509413913731
112,aaron,7.1144378260042505
113,preached,7.1144378260042505
114,begotten,6.942962584484404
115,egypt,6.832740231697944
116,serve,6.832740231697944
117,undefiled,6.825866300325822
118,bulls,6.825866300325822
119,innumerable,6.825866300325822
120,timothy,6.825866300325822
121,confidence,6.780760920673576
122,tasted,6.517564940671305
123,assurance,6.517564940671305
124,figure,6.517564940671305
125,meats,6.517564940671305
126,remission,6.517564940671305
127,ministering,6.517564940671305
128,provocation,6.517564940671305
129,remaineth,6.4805105450026295
130,honour,6.375098826986966
131,counted,6.34095049809795
132,worthy,6.34095049809795
133,service,6.34095049809795
134,promised,6.34095049809795
135,perfection,6.25050215542226
136,hebrews,6.25050215542226
137,mindful,6.25050215542226
138,boldly,6.25050215542226
139,ordained,6.207595210385449
140,daily,6.079916367129061
141,persuaded,6.014936084109493
142,laying,6.014936084109493
143,exhortation,6.014936084109493
144,departing,6.014936084109493
145,afflictions,6.014936084109493
146,wandered,6.014936084109493
147,infirmity,6.014936084109493
148,spake,5.964482210746633
149,fail,5.957450383568296
150,liveth,5.839788244108452
151,fearful,5.804215052793841
152,consecrated,5.804215052793841
153,esau,5.804215052793841
154,saving,5.804215052793841
155,entereth,5.804215052793841
156,sceptre,5.804215052793841
157,years,5.773970014789615
158,soul,5.773970014789615
159,blessing,5.726567260159911
160,continually,5.726567260159911
161,rule,5.726567260159911
162,maketh,5.617464327647286
163,conversation,5.613594693185191
164,calves,5.613594693185191
165,redemption,5.613594693185191
166,reverence,5.613594693185191
167,confirmed,5.613594693185191
168,stoned,5.613594693185191
