,term,score
0,ephraim,79.9262967216991
1,whoredom,26.07025976268522
2,return,25.174981421622068
3,judah,24.740168368523285
4,egypt,22.206405753018316
5,iniquity,21.939490435304123
6,lovers,19.552694822013915
7,whoredoms,18.75150646626678
8,hosea,18.046181755324085
9,altars,14.979854509732537
10,mercy,14.670230011075978
11,samaria,14.59262338290711
12,jezreel,14.510537631984604
13,princes,14.427961901830486
14,aven,13.651732600651645
15,ruhamah,13.534636316493064
16,commit,13.361990273706459
17,fall,13.20320700996838
18,beth,12.961021090005259
19,doings,12.48321209144378
20,assyria,12.48321209144378
21,betroth,12.318240992168567
22,backsliding,12.318240992168567
23,gibeah,12.029872168218986
24,wickedness,11.957295405471402
25,lies,11.85739637667375
26,wind,11.024380736426952
27,sacrifice,10.969745217652061
28,furrows,10.785764120870597
29,sin,10.437843868806608
30,corn,10.433740299547438
31,break,10.433740299547438
32,baalim,9.776347411006958
33,lion,9.732980406847421
34,oven,9.37575323313339
35,images,9.257283445979205
36,call,9.09487899166218
37,jareb,9.023090877662042
38,spouses,9.023090877662042
39,conceived,8.835841383347901
40,fruit,8.802138006645587
41,punish,8.706322579190761
42,covenant,8.694783582956198
43,womb,8.4546006641306
44,calves,8.420392039777786
45,gilgal,8.420392039777786
46,idols,8.276793613847266
47,prophet,8.246722789507762
48,ammi,8.212160661445711
49,revolters,8.212160661445711
50,baker,8.212160661445711
51,anger,7.968873533733708
52,wilderness,7.968873533733708
53,pieces,7.786384325477936
54,morning,7.705654866306597
55,swearing,7.636796516542151
56,battle,7.635423013546548
57,shame,7.635423013546548
58,devour,7.635423013546548
59,visit,7.489927254866268
60,blood,7.335115005537989
61,forgotten,7.296311691453555
62,sword,7.217462518487019
63,silver,7.217462518487019
64,bow,7.213980950915243
65,homer,7.190509413913731
66,dashed,7.190509413913731
67,assyrian,7.190509413913731
68,solemn,7.1144378260042505
69,lebanon,7.1144378260042505
70,harlot,7.1144378260042505
71,heal,7.1144378260042505
72,adultery,7.1144378260042505
73,oil,6.9558268663649585
74,bound,6.9558268663649585
75,dew,6.942962584484404
76,transgressed,6.942962584484404
77,find,6.832740231697944
78,revive,6.825866300325822
79,lewdness,6.825866300325822
80,incense,6.780760920673576
81,multiplied,6.780760920673576
82,goodness,6.780760920673576
83,baal,6.780760920673576
84,fowls,6.626881037510926
85,lo,6.59737823160621
86,field,6.59737823160621
87,chastise,6.517564940671305
88,knowledge,6.484694723739424
89,cities,6.375098826986966
90,pleasant,6.34095049809795
91,mother,6.268425838658321
92,treacherously,6.25050215542226
93,roar,6.25050215542226
94,dry,6.207595210385449
95,wife,6.164523893045278
96,ways,6.06325266110812
97,flax,6.014936084109493
98,controversy,6.014936084109493
99,hatred,6.014936084109493
100,tear,6.014936084109493
101,save,5.964482210746633
102,early,5.957450383568296
103,heifer,5.804215052793841
104,destruction,5.726567260159911
105,sacrifices,5.726567260159911
106,rain,5.617464327647286
107,wool,5.613594693185191
