,term,score
0,hosts,131.0463102940243
1,zion,111.45952594073324
2,hezekiah,92.62431243755564
3,assyria,84.88584222181771
4,jerusalem,78.09496063059034
5,righteousness,77.53826873970623
6,jacob,75.74679998461005
7,egypt,70.03558737490393
8,isaiah,64.91277039060829
9,nations,61.135942660152985
10,waters,55.38495912756855
11,strength,53.05346078469605
12,lift,48.63933093703249
13,judah,47.83099217914502
14,salvation,47.82918162188561
15,cry,45.44608733027283
16,redeemer,44.368130952117845
17,joy,43.151667251316944
18,woe,42.55941456990343
19,waste,40.159353154620355
20,moab,38.506136991817385
21,heavens,38.25704776500727
22,mountains,38.2505929619218
23,call,37.89532913192575
24,inhabitants,37.873399992305025
25,cut,37.27801381716645
26,ashamed,37.184813713022216
27,formed,36.956405667012014
28,rivers,36.722893088348236
29,anger,36.656818255175054
30,broken,36.28558027383416
31,dwell,36.0873125924351
32,soul,36.0873125924351
33,sing,35.93205282255505
34,burden,35.744702301409774
35,fury,35.35721760483855
36,midst,35.208552026582346
37,desolate,35.038729464650714
38,iniquity,34.47634211262076
39,precept,34.36558432443968
40,graven,34.04945456011659
41,everlasting,33.704785965883715
42,wilderness,33.469268841681576
43,forest,33.35325876708419
44,weary,33.35325876708419
45,howl,33.08214846260221
46,rabshakeh,32.848642645782846
47,surely,32.455516100565234
48,nation,32.42347361869712
49,arm,32.402552725013145
50,rejoice,32.363750438487706
51,fall,32.27450602436715
52,mountain,31.872697468304757
53,tree,31.342129193291605
54,kings,31.337546600129496
55,break,31.301220898642313
56,remnant,31.145537301911745
57,lay,30.807483023259554
58,created,30.787623477308486
59,counsel,30.747331042640745
60,princes,30.659419041389782
61,left,30.31334257764548
62,ephraim,30.242382543345606
63,dust,30.101992053398938
64,babylon,30.086171199432414
65,maketh,29.959809747452194
66,line,29.959709019465073
67,fat,29.5911023244571
68,trust,29.562264182051074
69,declare,29.19894122054226
70,ear,29.19894122054226
71,ancient,29.037175881223725
72,idols,28.96877764846543
73,sword,28.869850073948076
74,briers,28.762037655654925
75,assyrian,28.762037655654925
76,create,28.742562315059992
77,multitude,28.687944721441347
78,ears,28.33128663849312
79,praise,28.087321638236432
80,gentiles,28.087321638236432
81,forsaken,28.08221236167806
82,redeemed,28.08221236167806
83,stretched,27.801435123318715
84,desert,27.463066601176315
85,afraid,27.426357570250673
86,darkness,27.28463697498654
87,isles,27.06721237849272
88,amoz,26.72878780789753
89,places,26.640809814297864
90,glorious,26.507524150043704
91,field,26.38951292642484
92,stay,26.08627202868225
93,shake,26.08627202868225
94,mount,25.938778894957697
95,exalted,25.922042180010518
96,noise,25.81561832879595
97,cities,25.500395307947866
98,gathered,25.500395307947866
99,terrible,25.457529476442815
100,confounded,25.26117611933336
101,fruitful,25.26117611933336
102,treacherously,25.00200862168904
103,deliver,24.939391018829163
104,pit,24.86279004246978
105,ground,24.740168368523285
106,young,24.65809557218111
107,islands,24.636481984337134
108,child,24.345394032277355
109,didst,24.342345419804907
110,hearken,24.342345419804907
111,vineyard,24.32103897151185
112,trodden,24.32103897151185
113,shadow,24.319665468516245
114,poor,23.914590810942805
115,flee,23.914590810942805
116,feet,23.85792884298653
117,fail,23.829801534273184
118,removed,23.829801534273184
119,blind,23.761871998342976
120,singing,23.757689357364864
121,rod,23.7147927533475
122,return,23.496649326847265
123,world,23.496649326847265
124,hold,23.472368017721564
125,blood,23.472368017721564
126,images,23.143208614948012
127,bread,23.116964598919793
128,daughter,23.090823810621735
129,hungry,23.090717607981365
130,beauty,23.090717607981365
131,ensign,22.91038954962645
132,lofty,22.91038954962645
133,inhabitant,22.81147729234957
134,ahaz,22.81147729234957
135,dry,22.76118243807998
136,thorns,22.76118243807998
137,knowledge,22.696431533087985
138,covenant,22.606437315686115
139,iniquities,22.602536402245256
140,prey,22.602536402245256
141,vanity,22.469781764598807
142,bringeth,22.293026679473225
143,year,22.206405753018316
144,honourable,21.888935074360667
145,hid,21.81831723207246
146,years,21.652387555461058
147,spoil,21.64194285274573
148,sake,21.575833625658472
149,tongue,21.441479252720182
150,gates,21.412556895064323
151,lebanon,21.34331347801275
152,plant,21.34331347801275
153,ways,21.221384313878417
154,afflicted,21.136501660326502
155,highway,21.052276294383226
156,maker,21.052276294383226
157,carry,20.997413287253007
158,understand,20.997413287253007
159,rule,20.997413287253007
160,destruction,20.997413287253007
161,sit,20.867480599094876
162,thoughts,20.82888775345321
163,staff,20.82888775345321
164,houses,20.71907118770764
165,beasts,20.71907118770764
166,grass,20.691984034618166
167,hills,20.691984034618166
168,smote,20.597369201373382
169,ariel,20.530401653614277
170,shebna,20.530401653614277
171,fadeth,20.530401653614277
172,gather,20.372383975639544
173,declared,20.34228276202073
174,tarshish,20.314752684778444
175,burneth,20.314752684778444
176,rebuke,20.266387890430202
177,feed,20.21136468344941
178,shut,20.21136468344941
179,wind,20.21136468344941
180,morning,20.03470265239715
181,spring,19.97313934631005
182,branch,19.97313934631005
183,sackcloth,19.880643112532777
184,walls,19.880643112532777
185,rock,19.858167945227652
186,small,19.838447615016918
187,utterly,19.838447615016918
188,bow,19.838447615016918
189,wicked,19.79213469481863
190,chaldeans,19.552694822013915
191,lion,19.465960813694842
192,samaria,19.45683117720948
193,egyptians,19.45683117720948
194,open,19.454084171218273
195,beginning,19.454084171218273
196,chosen,19.454084171218273
197,save,19.384567184926556
198,sun,19.1252964809609
199,outcasts,19.091991291355377
200,remaliah,19.091991291355377
201,strangers,19.08855753386637
202,gods,19.08855753386637
203,lips,19.08855753386637
204,womb,19.02285149429385
205,cover,19.02285149429385
