,term,score
0,faith,30.541692054186193
1,works,19.07129901439877
2,patience,12.48321209144378
3,tempted,10.558973047717718
4,perfect,10.069992568648829
5,doer,9.776347411006958
6,rich,9.544278766933186
7,tamed,9.023090877662042
8,hearer,9.023090877662042
9,receive,8.660955022184423
10,world,8.391660473874023
11,tongue,8.246722789507762
12,offend,8.159357908808897
13,lust,8.159357908808897
14,body,8.10586840467428
15,scripture,7.919229785788288
16,religion,7.636796516542151
17,reaped,7.636796516542151
18,justified,7.489927254866268
19,save,7.455602763433291
20,wisdom,7.349587157617968
21,mercy,7.335115005537989
22,envying,7.190509413913731
23,poor,6.832740231697944
24,respect,6.4805105450026295
25,patient,6.25050215542226
26,draw,6.079916367129061
27,hearts,6.06325266110812
28,james,6.014936084109493
29,condemnation,6.014936084109493
30,judgeth,6.014936084109493
31,members,6.014936084109493
32,resist,6.014936084109493
33,sin,5.964482210746633
34,kill,5.957450383568296
35,flower,5.804215052793841
36,nigh,5.726567260159911
37,giveth,5.726567260159911
38,commit,5.726567260159911
39,rain,5.617464327647286
40,slow,5.613594693185191
41,minded,5.439571939205932
42,err,5.279486523858859
43,meekness,5.279486523858859
44,lusts,5.279486523858859
45,double,5.131270579551415
46,humble,5.131270579551415
47,beloved,5.124555173773458
48,kind,4.993284836577512
49,condemned,4.993284836577512
50,vain,4.948033673704657
51,count,4.86420779430237
52,liberty,4.86420779430237
53,grace,4.781324120240225
54,adultery,4.7429585506695
55,fountain,4.628641722989602
56,profit,4.628641722989602
57,judge,4.623392919783958
58,therewith,4.520507280449051
59,worketh,4.520507280449051
60,bitter,4.520507280449051
61,engrafted,4.511545438831021
62,entire,4.511545438831021
63,wavereth,4.511545438831021
64,bits,4.511545438831021
65,bridleth,4.511545438831021
66,gay,4.511545438831021
67,unspotted,4.511545438831021
68,superfluity,4.511545438831021
69,motheaten,4.511545438831021
70,boastings,4.511545438831021
71,tempteth,4.511545438831021
72,converteth,4.511545438831021
73,variableness,4.511545438831021
74,cankered,4.511545438831021
75,descendeth,4.511545438831021
76,helm,4.511545438831021
77,weareth,4.511545438831021
78,devilish,4.511545438831021
79,upbraideth,4.511545438831021
80,cries,4.511545438831021
81,righteousness,4.473361658059975
82,strife,4.417920691673951
83,prayed,4.417920691673951
84,driven,4.417920691673951
85,nay,4.417920691673951
86,fruit,4.401069003322793
87,friend,4.320340363335086
88,promised,4.2273003320653
89,afflicted,4.2273003320653
90,knowing,4.138396806923633
91,grass,4.138396806923633
92,wavering,4.106080330722856
93,vanisheth,4.106080330722856
94,partial,4.106080330722856
95,deceiving,4.106080330722856
96,greeting,4.106080330722856
97,listeth,4.106080330722856
98,convert,4.106080330722856
99,heaped,4.106080330722856
100,adulteresses,4.106080330722856
101,rust,4.106080330722856
