,term,score
0,jeremiah,396.9857815512265
1,babylon,391.1202255926214
2,judah,301.8300540959841
3,hosts,175.43296378070997
4,jerusalem,172.1276683286481
5,zedekiah,163.82079120781975
6,chaldeans,140.12764622443308
7,nebuchadrezzar,110.8641689295171
8,egypt,104.19928853339364
9,sword,102.48796776251567
10,baruch,94.43984760662568
11,cities,94.03270769805775
12,prophet,89.06460612668383
13,princes,84.7642761732541
14,return,78.88160845441581
15,gedaliah,78.49746245374696
16,jehoiakim,78.49746245374696
17,moab,77.01227398363477
18,dwell,76.5051026959624
19,prophets,74.22050510556986
20,famine,74.05826756783364
21,nations,73.06490708164625
22,inhabitants,68.5328190336948
23,ishmael,68.43443187704871
24,gods,62.992239861759025
25,ahikam,61.094372132337206
26,kings,61.02574864235744
27,desolate,60.344478522454004
28,kareah,58.650090704803276
29,surely,58.07829196943252
30,anger,57.375889442882695
31,year,56.37010691150804
32,josiah,56.25451939880034
33,captivity,55.90835236959313
34,captive,54.24608736538861
35,nethaniah,53.928820604352985
36,pronounced,53.37904429939712
37,confounded,53.329149585259316
38,inhabitant,52.14051952537044
39,incense,51.985833725164085
40,serve,49.53736667981009
41,broken,49.48033673704657
42,adan,49.27296396867427
43,nebuzar,49.27296396867427
44,carried,48.63521042804568
45,prophesy,48.59712760841346
46,cry,48.58030024960199
47,burn,47.721393834665925
48,north,47.65960306854637
49,guard,46.23636148325042
50,johanan,45.62295458469914
51,fall,45.47771303433553
52,die,45.39286306617597
53,neriah,45.11545438831021
54,captain,43.972096368401225
55,prison,43.972096368401225
56,nation,43.77168938524111
57,mizpah,43.75351508795582
58,pestilence,43.61579992618702
59,punish,43.53161289595381
60,fury,43.51657551364745
61,burned,43.47391791478099
62,spake,43.24249602791309
63,army,43.20340363335086
64,forsaken,43.20340363335086
65,commanded,43.151667251316944
66,hearken,43.06722651196253
67,doings,42.442921110908856
68,places,42.311874410943666
69,roll,42.10196019888893
70,covenant,41.73496119818975
71,break,41.73496119818975
72,priests,41.233613947538814
73,zion,40.31514768069075
74,shaphan,39.547801776525525
75,hearkened,38.883063270015775
76,cut,38.76913436985311
77,wickedness,37.58007127433869
78,court,37.44963627433134
79,ashamed,37.184813713022216
80,remnant,36.9853255460202
81,backsliding,36.9547229765057
82,waters,36.9233060850457
83,dismayed,36.48836550570374
84,month,36.479498202774366
85,daughter,36.28558027383416
86,hananiah,35.84660717369218
87,spoiled,35.343365533391605
88,streets,35.343365533391605
89,prophesied,34.71481292242202
90,iniquity,34.47634211262076
91,war,34.2664095168474
92,obeyed,33.90380460336788
93,deliver,33.74152902547475
94,neighbour,33.704785965883715
95,wilderness,33.469268841681576
96,soul,33.200327585040284
97,daughters,33.04017761523355
98,field,32.98689115803105
99,send,32.909235652956184
100,tophet,32.848642645782846
101,visit,32.45635143775383
102,midst,32.27450602436715
103,perpetual,31.923182790366127
104,houses,31.875494134934833
105,ears,31.872697468304757
106,country,31.832297856667957
107,throne,31.832297856667957
108,consumed,31.773068712364246
109,astonishment,31.2525107771113
110,gates,31.145537301911745
111,yoke,30.925444841717656
112,driven,30.925444841717656
113,ah,30.7163983514662
114,offerings,30.659419041389782
115,28,30.31334257764548
116,caused,30.101992053398938
117,nebuchadnezzar,30.074680420547466
118,30,29.775022733627026
119,forces,29.329042233020875
120,jacob,28.85592380366097
121,inclined,28.762037655654925
122,pashur,28.762037655654925
123,dungeon,28.762037655654925
124,jonadab,28.742562315059992
125,pastors,28.742562315059992
126,plant,28.457751304017002
127,valley,28.372943046602288
128,captains,28.08221236167806
129,29,27.873437021044356
130,committed,27.823307465459834
131,priest,27.823307465459834
132,david,27.56095184106738
133,rising,27.463066601176315
134,imagination,27.30346520130329
135,ways,27.28463697498654
136,escape,27.252345139172775
137,scribe,27.19785969602966
138,kingdoms,26.899579245003615
139,forgotten,26.753142868663033
140,desolation,26.507524150043704
141,fight,26.346304257559265
142,31,25.500395307947866
143,vengeance,25.457529476442815
144,pharaoh,25.457529476442815
145,habitation,25.3638019923918
146,pieces,25.305749057803293
147,spoil,25.24893332820335
148,figs,24.96642418288756
149,baal,24.86279004246978
150,flock,24.815124794026282
151,slain,24.78987580868148
152,book,24.740168368523285
153,unpunished,24.636481984337134
154,evidence,24.636481984337134
155,spoiler,24.636481984337134
156,plead,24.478073726426693
157,horses,24.342345419804907
158,remain,24.342345419804907
159,woe,24.319665468516245
160,walls,24.29856380420673
161,howl,24.059744336437973
162,publish,24.059744336437973
163,potter,24.059744336437973
164,visitation,24.059744336437973
165,elam,24.059744336437973
166,maaseiah,23.89053205114038
167,burden,23.829801534273184
168,remained,23.761871998342976
169,lies,23.7147927533475
170,wives,23.44543809047454
171,declare,23.35915297643381
172,read,23.25015182635915
173,euphrates,23.216860211175366
174,heritage,23.216860211175366
175,provoke,23.143208614948012
176,treasures,23.143208614948012
177,left,23.09588005915846
178,lo,23.090823810621735
179,captives,23.090717607981365
180,pluck,23.090717607981365
181,ebed,22.91038954962645
182,hissing,22.91038954962645
183,riblah,22.91038954962645
184,beast,22.906269040639643
185,devour,22.906269040639643
186,reproach,22.76118243807998
187,wilt,22.696431533087985
188,32,22.696431533087985
189,weeping,22.602536402245256
190,gemariah,22.557727194155106
191,tahpanhes,22.557727194155106
192,enemies,22.312845894454384
193,vessels,22.048761472853904
194,reign,22.048761472853904
195,woman,21.939490435304123
196,gather,21.939490435304123
197,anathoth,21.87675754397791
198,roar,21.87675754397791
199,early,21.843984739750418
200,noise,21.843984739750418
201,falsely,21.758287756823727
202,afraid,21.652387555461058
203,vessel,21.60170181667543
204,hurt,21.60170181667543
205,young,21.575833625658472
206,melech,21.571528241741195
207,gate,21.441479252720182
208,vain,21.441479252720182
209,ear,21.412556895064323
210,ammonites,21.052276294383226
211,kindle,21.052276294383226
212,obey,20.997413287253007
213,34,20.867480599094876
214,arise,20.71907118770764
215,praise,20.597369201373382
216,weary,20.52508231820566
217,travail,20.52508231820566
218,residue,20.52508231820566
219,flee,20.49822069509383
220,enter,20.49822069509383
221,prosper,20.34228276202073
222,lament,20.314752684778444
223,benjamin,20.266387890430202
224,neck,20.266387890430202
225,wind,20.21136468344941
226,33,20.139985137297657
227,girdle,19.97313934631005
228,jews,19.880643112532777
229,faces,19.858167945227652
230,curse,19.838447615016918
231,shemaiah,19.552694822013915
232,seraiah,19.552694822013915
233,slew,19.465960813694842
234,build,19.454084171218273
235,slaughter,19.441531635007888
236,heavens,19.128523882503636
237,ethiopian,19.091991291355377
238,treacherous,19.091991291355377
239,bend,19.091991291355377
240,standard,19.091991291355377
241,destruction,19.08855753386637
242,counsel,18.790035637169346
243,stumble,18.75150646626678
244,fields,18.72488109215762
245,pour,18.622785631156347
246,deceit,18.478202833506007
247,queen,18.478202833506007
248,sinned,18.46165304252285
249,walked,18.46165304252285
250,flocks,18.239749101387183
251,thyself,18.18975798332436
252,call,18.18975798332436
253,rechabites,18.046181755324085
254,hanameel,18.046181755324085
255,rab,18.046181755324085
256,jehudi,18.046181755324085
257,backslidings,18.046181755324085
258,sending,18.04480825232848
259,slay,18.034952377288107
260,utterly,18.034952377288107
261,shelemiah,17.97627353478433
262,purchase,17.97627353478433
263,shepherds,17.959447028429953
264,save,17.8934466322399
265,37,17.707054149058198
