,term,score
0,job,204.92951829654135
1,almighty,84.31336505769194
2,wicked,61.02574864235744
3,answered,53.70662703279375
4,answer,47.01403674711082
5,canst,44.38665348668565
6,darkness,42.442768627756834
7,iniquity,42.311874410943666
8,wisdom,42.260126156303315
9,soul,37.5308050961325
10,strength,36.37951596664872
11,dust,35.414108298116396
12,waters,35.2449739902709
13,wilt,34.044647299631976
14,satan,33.2007098546865
15,skin,30.874770812518552
16,shadow,30.399581835645307
17,understanding,30.101992053398938
18,eye,29.5911023244571
19,hope,28.85592380366097
20,breath,28.22198818753278
21,poor,27.330960926791775
22,temanite,27.069272632986127
23,elihu,26.72878780789753
24,destruction,26.723980547412918
25,28,25.982865066553266
26,hold,24.939391018829163
27,wrath,24.939391018829163
28,afraid,24.539372562855863
29,shine,24.478073726426693
30,maketh,24.342345419804907
31,surely,23.914590810942805
32,number,23.496649326847265
33,29,23.472368017721564
34,clouds,23.25015182635915
35,womb,23.25015182635915
36,eliphaz,22.91038954962645
37,terrors,22.81147729234957
38,cloud,22.76118243807998
39,grave,22.76118243807998
40,bildad,22.557727194155106
41,shuhite,22.557727194155106
42,cut,22.366808290299872
43,wind,22.048761472853904
44,cry,21.939490435304123
45,30,21.939490435304123
46,hid,21.81831723207246
47,gold,21.652387555461058
48,ways,21.221384313878417
49,knowledge,21.07525785215313
50,friends,20.82888775345321
51,innocent,20.52508231820566
52,knoweth,20.49822069509383
53,hypocrite,20.47759890097747
54,sword,20.208895051763655
55,return,20.139985137297657
56,righteous,20.03470265239715
57,dost,19.858167945227652
58,ear,19.465960813694842
59,complaint,19.091991291355377
60,lips,19.08855753386637
61,waited,18.971834202678
62,thunder,18.75150646626678
63,rain,18.72488109215762
64,substance,18.51456689195841
65,paths,18.478202833506007
66,perish,18.46165304252285
67,tabernacle,18.239749101387183
68,tongue,18.14279013691708
69,seeth,18.082029121796204
70,naamathite,18.046181755324085
71,zophar,18.046181755324085
72,bones,18.034952377288107
73,reason,18.034952377288107
74,bindeth,17.97627353478433
75,fatherless,17.959447028429953
76,rock,17.872351150704887
77,knowest,17.707054149058198
78,31,17.53152177421416
79,declare,17.519364732325357
80,vanity,17.47649692802129
81,teach,17.389567165912396
82,taketh,17.281361453340345
83,giveth,17.179701780479732
84,young,16.952440705874515
85,trouble,16.852392982941858
86,hearken,16.852392982941858
87,perfect,16.783320947748045
88,33,16.783320947748045
89,wise,16.673944818047328
90,vain,16.493445579015525
91,clay,16.318715817617793
92,belly,16.213110312344163
93,32,16.21173680934856
94,die,16.21173680934856
95,wild,16.20024603046361
96,clean,15.886534356182123
97,lion,15.572768650955872
98,wickedness,15.373665521320373
99,counsel,15.373665521320373
100,stones,15.104988852973241
101,born,15.104988852973241
102,safety,15.037340210273733
103,sin,14.911205526866581
104,lo,14.844101021113971
105,mark,14.59262338290711
106,steps,14.59262338290711
107,searched,14.510537631984604
108,riseth,14.510537631984604
109,offspring,14.381018827827463
