,term,score
0,zion,16.60035492734325
1,cankerworm,12.318240992168567
2,offering,11.024380736426952
3,tree,10.969745217652061
4,ministers,10.26254115910283
5,pastures,10.238799450488735
6,valley,10.133193945215101
7,field,9.896067347409314
8,judah,9.896067347409314
9,locust,9.776347411006958
10,desolate,9.732980406847421
11,jerusalem,9.56264824048045
12,heathen,9.544278766933186
13,gather,9.402638757987482
14,fats,9.023090877662042
15,decision,9.023090877662042
16,howl,9.02240412616424
17,palmerworm,8.212160661445711
18,wilderness,7.968873533733708
19,withered,7.919229785788288
20,recompence,7.919229785788288
21,climb,7.636796516542151
22,eaten,7.489952436863049
23,rain,7.489952436863049
24,run,7.213980950915243
25,caterpiller,7.190509413913731
26,languisheth,7.190509413913731
27,flame,7.1144378260042505
28,dried,6.942962584484404
29,sanctify,6.942962584484404
30,overflow,6.517564940671305
31,jehoshaphat,6.517564940671305
32,multitudes,6.517564940671305
33,army,6.4805105450026295
34,generation,6.34095049809795
35,joel,6.25050215542226
36,teeth,6.207595210385449
37,moon,6.207595210385449
38,meat,6.164523893045278
39,call,6.06325266110812
40,devoureth,6.014936084109493
41,withdraw,6.014936084109493
42,appearance,6.014936084109493
43,flow,6.014936084109493
44,fig,5.957450383568296
45,blood,5.868092004430391
46,sold,5.839788244108452
47,lament,5.804215052793841
48,heritage,5.804215052793841
49,shining,5.804215052793841
50,vine,5.617464327647286
51,wasted,5.439571939205932
52,assemble,5.439571939205932
53,inhabitants,5.410485713186432
54,war,5.410485713186432
55,ashamed,5.31211624471746
56,heavens,5.216870149773719
57,corn,5.216870149773719
58,oil,5.216870149773719
59,return,5.034996284324414
60,tremble,4.993284836577512
61,priests,4.948033673704657
62,satisfied,4.86420779430237
63,beasts,4.781324120240225
64,mountains,4.781324120240225
65,sun,4.781324120240225
66,solemn,4.7429585506695
67,cry,4.701319378993741
68,terrible,4.628641722989602
69,blow,4.628641722989602
70,darkness,4.54743949583109
71,sell,4.520507280449051
72,utter,4.520507280449051
73,barked,4.511545438831021
74,moderately,4.511545438831021
75,floors,4.511545438831021
76,girl,4.511545438831021
77,palestine,4.511545438831021
78,drinkers,4.511545438831021
79,pethuel,4.511545438831021
80,boy,4.511545438831021
81,cut,4.473361658059975
82,sackcloth,4.417920691673951
83,left,4.330477511092211
84,rivers,4.320340363335086
85,assembly,4.320340363335086
86,devoured,4.2273003320653
87,harvest,4.2273003320653
88,reproach,4.138396806923633
89,pour,4.138396806923633
90,grecians,4.106080330722856
91,northern,4.106080330722856
92,garners,4.106080330722856
93,closet,4.106080330722856
94,gloominess,4.106080330722856
95,wakened,4.106080330722856
96,wondrously,4.106080330722856
97,remove,4.053277578086041
98,trumpet,4.053277578086041
99,weep,4.053277578086041
100,noise,3.9716335890455308
101,stars,3.893192162738968
102,lion,3.893192162738968
103,wake,3.8183982582710754
104,rotten,3.8183982582710754
105,ranks,3.8183982582710754
106,plowshares,3.8183982582710754
107,pruninghooks,3.8183982582710754
108,wheat,3.7449762184315243
109,barns,3.5952547069568657
110,perplexed,3.5952547069568657
111,executeth,3.5952547069568657
112,sabeans,3.5952547069568657
113,repenteth,3.5952547069568657
114,vinedressers,3.5952547069568657
115,march,3.5952547069568657
116,quake,3.5952547069568657
117,swiftly,3.5952547069568657
118,clods,3.5952547069568657
119,mountain,3.54141082981164
120,altar,3.54141082981164
121,fast,3.54141082981164
122,wall,3.54141082981164
123,daughters,3.4779134331824793
124,glad,3.4779134331824793
125,trees,3.416370115848972
126,elders,3.416370115848972
127,sickle,3.412933150162911
128,drunkards,3.412933150162911
129,alarm,3.412933150162911
130,bride,3.412933150162911
131,press,3.412933150162911
132,pained,3.412933150162911
133,handmaids,3.412933150162911
134,pomegranate,3.412933150162911
135,temples,3.412933150162911
136,waters,3.356664189549609
137,mourneth,3.2587824703356527
138,utmost,3.2587824703356527
139,blackness,3.2587824703356527
140,groan,3.2587824703356527
141,stink,3.2587824703356527
142,shittim,3.2587824703356527
143,ripe,3.2587824703356527
144,husbandmen,3.12525107771113
145,withholden,3.12525107771113
146,apple,3.12525107771113
147,eden,3.12525107771113
148,roar,3.12525107771113
149,path,3.12525107771113
150,rejoice,3.082261946522639
151,joy,3.082261946522639
152,strength,3.03162633055406
153,plenty,3.0074680420547466
154,nations,2.9822411053733164
155,ill,2.9021075263969207
156,burneth,2.9021075263969207
157,leap,2.9021075263969207
158,cheek,2.9021075263969207
159,drop,2.9021075263969207
160,visions,2.9021075263969207
161,tops,2.9021075263969207
162,parted,2.9021075263969207
163,bridegroom,2.9021075263969207
164,years,2.8869850073948076
165,fasting,2.8067973465925955
166,porch,2.8067973465925955
167,stubble,2.8067973465925955
168,slow,2.8067973465925955
169,alas,2.8067973465925955
170,dreams,2.8067973465925955
171,jealous,2.8067973465925955
172,almighty,2.719785969602966
173,pasture,2.719785969602966
174,spears,2.719785969602966
175,plead,2.719785969602966
176,windows,2.6397432619294294
177,zidon,2.6397432619294294
178,array,2.6397432619294294
179,speedily,2.6397432619294294
180,suck,2.6397432619294294
181,savour,2.6397432619294294
182,rend,2.6397432619294294
183,swords,2.5656352897757073
184,proclaim,2.5656352897757073
185,deliverance,2.5656352897757073
186,breasts,2.5656352897757073
187,pity,2.5656352897757073
188,innocent,2.5656352897757073
189,beareth,2.5656352897757073
190,darkened,2.5656352897757073
191,dream,2.5656352897757073
192,fro,2.496642418288756
193,herds,2.496642418288756
194,tyre,2.496642418288756
195,palm,2.496642418288756
196,cleansed,2.496642418288756
197,cleanse,2.496642418288756
198,spring,2.496642418288756
199,hinder,2.496642418288756
200,recompense,2.496642418288756
201,lots,2.432103897151185
202,barren,2.432103897151185
203,garden,2.432103897151185
204,virgin,2.432103897151185
205,gird,2.432103897151185
206,chamber,2.432103897151185
207,yield,2.432103897151185
208,thick,2.37147927533475
209,harlot,2.37147927533475
210,shake,2.37147927533475
211,merciful,2.37147927533475
212,awake,2.37147927533475
213,girded,2.37147927533475
214,smoke,2.37147927533475
215,generations,2.37147927533475
216,fountain,2.314320861494801
217,thief,2.314320861494801
218,beat,2.314320861494801
219,weak,2.314320861494801
220,perished,2.2602536402245255
221,spare,2.2602536402245255
222,weeping,2.2602536402245255
223,therewith,2.2602536402245255
224,drive,2.2602536402245255
