,term,score
0,jesus,488.6670728669791
1,disciples,211.82086057181743
2,jews,150.20930351691433
3,world,134.26656758198436
4,answered,129.23157129765997
5,verily,103.45992017309082
6,peter,102.25391342986138
7,simon,84.72834422872697
8,pilate,68.43443187704871
9,pharisees,68.25866300325822
10,hour,60.944258054335336
11,john,58.94274427844451
12,disciple,57.52407531130985
13,mary,48.88173705503479
14,galilee,47.715554892074124
15,spake,46.2247371332864
16,believed,46.12099656396112
17,lazarus,45.166883637951415
18,believeth,44.8756354528003
19,philip,40.95519780195494
20,loved,40.42272936689882
21,christ,40.085970821119375
22,knew,38.90816834243655
23,blind,38.883063270015775
24,martha,36.9547229765057
25,sheep,36.9233060850457
26,feast,36.51809104841603
27,woman,36.04344857228535
28,witness,35.871886216414204
29,true,34.163701158489715
30,seeth,31.643550963143355
31,bread,30.82261946522639
32,judas,30.7163983514662
33,scripture,29.037175881223725
34,born,28.53164561117168
35,glorified,28.457751304017002
36,works,27.873437021044356
37,die,27.559952575892552
38,thomas,27.30346520130329
39,31,27.09417001469461
40,nathanael,27.069272632986127
41,30,26.640809814297864
42,miracles,26.118967737572287
43,sepulchre,26.08627202868225
44,stood,25.500395307947866
45,glorify,25.26117611933336
46,33,25.174981421622068
47,sir,25.16678294869806
48,devil,24.96642418288756
49,29,24.939391018829163
50,temple,24.78987580868148
51,28,24.539372562855863
52,36,24.345394032277355
53,35,24.345394032277355
54,34,24.345394032277355
55,passover,24.32103897151185
56,32,24.31760521402284
57,sabbath,24.29856380420673
58,greater,23.886158262258398
59,sin,23.85792884298653
60,record,23.7147927533475
61,told,23.506596894968705
62,38,23.01917039377566
63,37,23.01917039377566
64,received,22.737197479155448
65,nicodemus,22.557727194155106
66,doeth,22.469857310589145
67,fulfilled,22.293026679473225
68,moses,22.206405753018316
69,40,21.64194285274573
70,39,21.24846497886984
71,asked,21.136501660326502
72,gavest,21.052276294383226
73,eternal,20.82888775345321
74,jerusalem,20.71907118770764
75,abraham,20.597369201373382
76,rabbi,20.530401653614277
77,crucify,20.47759890097747
78,betray,20.47759890097747
79,ship,20.314752684778444
80,41,20.21136468344941
81,receive,20.208895051763655
82,master,19.858167945227652
83,whatsoever,19.477759563964018
84,officers,19.45683117720948
85,sayest,19.441531635007888
86,feet,19.384567184926556
87,lifted,19.128523882503636
88,priest,19.128523882503636
89,judge,18.493571679135833
90,42,18.37396789404492
91,priests,18.14279013691708
92,chief,18.14279013691708
93,sop,18.046181755324085
94,cana,18.046181755324085
95,caiaphas,17.97627353478433
96,iscariot,17.97627353478433
97,capernaum,17.97627353478433
98,receiveth,17.959447028429953
99,kill,17.872351150704887
100,stone,17.832910490283417
101,follow,17.707054149058198
102,cried,17.707054149058198
103,abode,17.671682766695803
104,hateth,17.412645158381522
105,judaea,17.412645158381522
106,abide,17.389567165912396
107,wash,17.281361453340345
108,mother,17.23817105631038
109,nazareth,17.064665750814555
110,andrew,17.064665750814555
111,worship,16.852392982941858
112,crucified,16.840784079555572
113,whosoever,16.783320947748045
114,prophet,16.493445579015525
115,parents,16.318715817617793
116,lovest,16.293912351678262
117,beginning,16.21173680934856
118,honour,15.937747067467416
119,knowest,15.936348734152379
120,sat,15.936348734152379
121,pool,15.62625538855565
122,openly,15.62625538855565
123,immediately,15.62625538855565
124,47,15.572768650955872
125,46,15.572768650955872
126,45,15.572768650955872
127,loveth,15.462722420858828
128,coming,15.373665521320373
129,comforter,15.273593033084301
