,term,score
0,jonah,78.01552628373426
1,nineveh,28.12725969940017
2,gourd,22.557727194155106
3,ship,11.608430105587683
4,tarshish,11.608430105587683
5,fish,9.485917101339
6,cried,8.853527074529099
7,angry,7.9432671780910615
8,tempestuous,7.636796516542151
9,prepared,7.08282165962328
10,calm,6.825866300325822
11,sackcloth,6.626881037510926
12,arise,6.375098826986966
13,exceedingly,6.34095049809795
14,belly,6.079916367129061
15,fainted,5.804215052793841
16,tempest,5.804215052793841
17,proclaimed,5.613594693185191
18,sat,5.31211624471746
19,beseech,5.216870149773719
20,perish,5.034996284324414
21,compassed,4.86420779430237
22,lots,4.86420779430237
23,presence,4.863521042804568
24,die,4.863521042804568
25,vomited,4.511545438831021
26,bottoms,4.511545438831021
27,weeds,4.511545438831021
28,repentest,4.511545438831021
29,sleeper,4.511545438831021
30,prayed,4.417920691673951
31,doest,4.2273003320653
32,dry,4.138396806923633
33,booth,4.106080330722856
34,amittai,4.106080330722856
35,wished,4.106080330722856
36,shipmaster,4.106080330722856
37,rowed,4.106080330722856
38,sixscore,4.106080330722856
39,mariners,4.106080330722856
40,billows,4.106080330722856
41,shadow,4.053277578086041
42,journey,4.053277578086041
43,east,3.893192162738968
44,vehement,3.8183982582710754
45,wares,3.8183982582710754
46,occupation,3.8183982582710754
47,fare,3.8183982582710754
48,fled,3.817711506773274
49,beast,3.817711506773274
50,country,3.7449762184315243
51,exceeding,3.7449762184315243
52,wind,3.674793578808984
53,arose,3.6069904754576214
54,covered,3.6069904754576214
55,joppa,3.5952547069568657
56,paid,3.5952547069568657
57,meanest,3.5952547069568657
58,fast,3.54141082981164
59,temple,3.54141082981164
60,rose,3.416370115848972
61,raging,3.412933150162911
62,published,3.2587824703356527
63,madest,3.2587824703356527
64,worm,3.2587824703356527
65,knew,3.242347361869712
66,sun,3.187549413493483
67,anger,3.187549413493483
68,cry,3.1342129193291606
69,sacrifice,3.1342129193291606
70,vanities,3.12525107771113
71,lighten,3.12525107771113
72,wrought,3.082261946522639
73,heardest,3.0074680420547466
74,mightily,3.0074680420547466
75,lay,2.9340460022151955
76,nights,2.9021075263969207
77,depth,2.9021075263969207
78,closed,2.9021075263969207
79,vows,2.9021075263969207
80,floods,2.9021075263969207
81,afraid,2.8869850073948076
82,soul,2.8869850073948076
83,slow,2.8067973465925955
84,hebrew,2.8067973465925955
85,preaching,2.8067973465925955
86,greatest,2.8067973465925955
87,wrapped,2.719785969602966
88,robe,2.719785969602966
89,laboured,2.719785969602966
90,bid,2.719785969602966
91,seas,2.719785969602966
92,asleep,2.719785969602966
93,discern,2.719785969602966
94,vowed,2.719785969602966
95,thanksgiving,2.6397432619294294
96,withered,2.6397432619294294
97,corruption,2.6397432619294294
98,herd,2.6397432619294294
99,decree,2.5656352897757073
100,swallow,2.5656352897757073
101,pity,2.5656352897757073
102,sides,2.5656352897757073
103,innocent,2.5656352897757073
104,comest,2.5656352897757073
105,waves,2.5656352897757073
106,grief,2.496642418288756
107,overthrown,2.496642418288756
108,repented,2.432103897151185
109,nobles,2.432103897151185
110,displeased,2.432103897151185
111,hadst,2.432103897151185
112,bars,2.37147927533475
113,merciful,2.37147927533475
114,preach,2.37147927533475
115,taste,2.37147927533475
116,fellow,2.37147927533475
117,hell,2.314320861494801
118,pay,2.314320861494801
119,beat,2.314320861494801
120,repent,2.2602536402245255
121,spare,2.2602536402245255
122,perished,2.2602536402245255
123,ceased,2.2602536402245255
124,gracious,2.2089603458369753
125,fierce,2.160170181667543
126,lot,2.160170181667543
127,deep,2.160170181667543
128,observe,2.160170181667543
129,ashes,2.11365016603265
130,violence,2.11365016603265
131,forsake,2.11365016603265
132,grow,2.0266387890430204
