,term,score
0,joshua,474.34875157414865
1,suburbs,181.26456250724553
2,tribe,164.99851573639035
3,jordan,147.9555116222855
4,cities,145.0334983139535
5,ai,118.64340532957657
6,border,111.20574049327486
7,manasseh,107.35562398641652
8,beth,105.84833890170961
9,families,99.6021295640595
10,moses,99.07473335962018
11,inheritance,97.34326149693867
12,side,88.82562301207327
13,coast,73.91281133402403
14,villages,70.68673106678321
15,jericho,70.53101301738437
16,ark,66.26881037510925
17,reuben,63.846365580732254
18,gad,63.353838286306306
19,lot,56.16442472335612
20,valley,52.69260851511853
21,smote,52.42966705804134
22,commanded,52.39845309088486
23,passed,51.00079061589573
24,priests,47.83099217914502
25,amorites,44.93956352919761
26,hebron,44.90875754548153
27,south,42.82511379012865
28,debir,42.00238084098183
29,kings,41.233613947538814
30,accursed,40.62826401024469
31,makkedah,40.60390894947919
32,judah,39.58426938963726
33,kirjath,39.295162852296336
34,gibeon,39.097084546711706
35,mount,38.90816834243655
36,tribes,37.73051909593254
37,country,37.44976218431524
38,congregation,37.245571262312694
39,ephraim,36.722893088348236
40,gilgal,36.48836550570374
41,bashan,36.481558457267774
42,spake,35.7868932644798
43,north,35.744702301409774
44,gilead,34.56272290668069
45,river,34.359403560959464
46,inhabitants,34.2664095168474
47,el,33.35325876708419
48,edge,33.2007098546865
49,levites,33.2007098546865
50,hazor,33.08214846260221
51,eglon,32.848642645782846
52,en,32.637431635235586
53,canaanites,32.637431635235586
54,trumpets,31.676919143153153
55,ambush,31.58081807181715
56,lachish,31.2525107771113
57,war,30.659419041389782
58,westward,30.074680420547466
59,nun,30.074680420547466
60,covenant,29.562264182051074
61,caleb,29.329042233020875
62,possession,29.18524676581422
63,egypt,29.03914598471626
64,slayer,28.762037655654925
65,tappuah,28.742562315059992
66,outgoings,28.742562315059992
67,towns,28.22198818753278
68,shiloh,28.12725969940017
69,east,27.252345139172775
70,achan,27.069272632986127
71,stones,26.853313516396874
72,altar,26.5605812235873
73,heshbon,26.118967737572287
74,sword,25.982865066553266
75,serve,25.62277586886729
76,utterly,25.24893332820335
77,libnah,25.00200862168904
78,dwelt,24.78987580868148
79,jarmuth,24.636481984337134
80,joseph,24.319665468516245
81,camp,24.29856380420673
82,sihon,24.059744336437973
83,cave,24.059744336437973
84,wilderness,23.906620601201123
85,horon,23.89053205114038
86,fought,23.7147927533475
87,shechem,23.216860211175366
88,southward,23.216860211175366
89,left,23.09588005915846
90,plain,22.76118243807998
91,west,22.602536402245256
92,pursuers,22.557727194155106
93,arabah,22.557727194155106
94,twelve,22.469857310589145
95,asher,22.454378772740764
96,destroyed,22.312845894454384
97,midst,22.005345016613965
98,waters,21.81831723207246
99,returned,21.81831723207246
100,arba,21.571528241741195
101,eleazar,21.117946095435435
102,shemesh,21.052276294383226
103,goings,21.052276294383226
104,burnt,20.997413287253007
105,gods,20.997413287253007
106,hill,20.82888775345321
107,canaan,20.52508231820566
108,drive,20.34228276202073
109,dwell,20.208895051763655
110,princes,19.838447615016918
111,refuge,19.647581426148168
112,og,19.552694822013915
113,dor,19.552694822013915
114,hermon,19.552694822013915
115,goeth,19.477759563964018
116,drawn,19.45683117720948
117,sware,19.441531635007888
118,priest,19.128523882503636
119,stood,19.1252964809609
120,mizpeh,19.091991291355377
121,issachar,19.03850178722076
122,northward,19.03850178722076
123,souls,19.02285149429385
124,dan,18.971834202678
125,jearim,18.75150646626678
126,rebel,18.75150646626678
127,simeon,18.478202833506007
128,eastward,18.478202833506007
129,maachathites,18.046181755324085
130,describe,18.046181755324085
131,giants,17.97627353478433
132,jephunneh,17.97627353478433
133,sunrising,17.97627353478433
134,kedesh,17.97627353478433
135,gezer,17.97627353478433
136,enemies,17.53152177421416
137,shout,17.47649692802129
138,descended,17.412645158381522
139,remaining,17.412645158381522
140,heads,17.179701780479732
141,rahab,17.064665750814555
142,borders,17.024727280058293
143,remain,16.852392982941858
144,baalah,16.424321322891423
145,anakims,16.424321322891423
146,geshurites,16.424321322891423
147,zebulun,16.318715817617793
148,thirteen,16.293912351678262
149,mountain,15.936348734152379
150,baal,15.821775481571677
151,hivites,15.62625538855565
152,reacheth,15.62625538855565
153,springs,15.62625538855565
154,naphtali,15.393811738654243
155,ataroth,15.273593033084301
156,barnea,15.273593033084301
157,edrei,15.273593033084301
158,hid,15.104988852973241
159,phinehas,15.037340210273733
160,ekron,15.037340210273733
161,compassed,14.59262338290711
162,league,14.510537631984604
163,plains,14.510537631984604
164,blew,14.510537631984604
165,encamped,14.510537631984604
166,offerings,14.427961901830486
167,anak,14.381018827827463
168,ashtaroth,14.381018827827463
169,gadites,14.381018827827463
170,jerusalem,14.343972360720674
171,mountains,14.343972360720674
172,possessed,14.228875652008501
173,aaron,14.228875652008501
174,lebanon,14.228875652008501
175,elders,13.665480463395888
176,kohath,13.651732600651645
177,hazar,13.651732600651645
178,hepher,13.651732600651645
179,hinnom,13.651732600651645
180,reubenites,13.651732600651645
181,cattle,13.626172569586387
182,iron,13.626172569586387
183,lodged,13.59892984801483
184,courage,13.59892984801483
185,circumcised,13.59892984801483
186,drawers,13.534636316493064
187,kanah,13.534636316493064
188,achshaph,13.534636316493064
189,gannim,13.534636316493064
190,fell,13.426656758198437
191,answered,13.426656758198437
192,33,13.426656758198437
193,cut,13.420084974179924
194,feet,13.420084974179924
195,jebusites,13.198716309647146
196,book,13.19475646321242
197,zerah,13.03512988134261
198,28,12.991432533276633
199,32,12.969389447478848
200,part,12.969389447478848
201,thousand,12.969389447478848
202,salt,12.961021090005259
203,remained,12.961021090005259
204,turneth,12.828176448878537
205,armed,12.828176448878537
206,31,12.750197653973933
207,30,12.536851677316642
208,valour,12.50100431084452
209,machir,12.50100431084452
210,kadesh,12.50100431084452
211,chased,12.50100431084452
212,arnon,12.50100431084452
213,tent,12.48321209144378
214,pursued,12.48321209144378
215,dry,12.415190420770898
216,bare,12.39493790434074
217,jokneam,12.318240992168567
218,hoglah,12.318240992168567
219,officers,12.160519485755925
220,host,12.159832734258122
221,possess,12.159832734258122
222,morrow,12.159832734258122
223,benjamin,12.159832734258122
224,failed,12.029872168218986
225,rimmon,12.029872168218986
226,rose,11.957295405471402
227,flee,11.957295405471402
228,nations,11.928964421493266
229,chariots,11.914900767136592
230,early,11.914900767136592
231,divide,11.85739637667375
232,29,11.736184008860782
233,slew,11.679576488216904
234,stricken,11.608430105587683
235,perizzites,11.608430105587683
236,seir,11.608430105587683
237,silver,11.54794002957923
238,bay,11.455194774813226
239,luz,11.455194774813226
240,achor,11.455194774813226
241,goshen,11.455194774813226
242,zabdi,11.455194774813226
243,fled,11.453134520319821
244,tents,11.301268201122628
245,ascended,11.227189386370382
246,aroer,11.227189386370382
247,israelites,11.227189386370382
248,gath,11.227189386370382
249,sun,11.156422947227192
250,heap,11.044801729184876
251,hittites,10.879143878411863
252,shimron,10.785764120870597
253,aphek,10.785764120870597
254,promised,10.568250830163251
255,lieth,10.568250830163251
256,bearing,10.558973047717718
257,commandment,10.437843868806608
258,34,10.433740299547438
259,served,10.345992017309083
260,hasted,10.26254115910283
261,flood,10.26254115910283
262,mahanaim,10.238799450488735
263,azekah,10.238799450488735
264,avenger,10.238799450488735
265,quarter,10.238799450488735
266,command,10.133193945215101
267,years,10.104447525881827
268,built,10.069992568648829
269,pursue,9.986569673155024
270,hormah,9.776347411006958
271,rehob,9.776347411006958
272,hewers,9.776347411006958
273,horns,9.72841558860474
274,trespass,9.72841558860474
275,family,9.72841558860474
276,reigned,9.72841558860474
277,ten,9.56264824048045
278,battle,9.544278766933186
279,harlot,9.485917101339
280,compass,9.485917101339
281,canaanite,9.37575323313339
282,merari,9.37575323313339
283,tabor,9.37575323313339
284,jebusite,9.37575323313339
285,dried,9.257283445979205
286,quickly,9.257283445979205
287,rams,9.257283445979205
288,smite,9.18698394702246
289,coasts,9.041014560898102
290,adummim,9.023090877662042
291,zedek,9.023090877662042
292,halak,9.023090877662042
293,mouldy,9.023090877662042
294,anab,9.023090877662042
295,salcah,9.023090877662042
296,leshem,9.023090877662042
297,jiphthah,9.023090877662042
298,sarid,9.023090877662042
299,jabneel,9.023090877662042
300,socoh,9.023090877662042
301,eltekeh,9.023090877662042
302,misrephoth,9.023090877662042
303,azem,9.023090877662042
304,lebaoth,9.023090877662042
305,merom,9.023090877662042
306,janohah,9.023090877662042
307,chinneroth,9.023090877662042
308,michmethah,9.023090877662042
309,juttah,9.023090877662042
310,ashnah,9.023090877662042
311,ether,9.023090877662042
312,eltolad,9.023090877662042
313,jebusi,9.023090877662042
314,migdal,9.023090877662042
315,madon,9.023090877662042
316,remmon,9.023090877662042
317,bohan,9.023090877662042
318,nephtoah,9.023090877662042
319,drave,9.02240412616424
320,balaam,9.02240412616424
321,divisions,9.02240412616424
322,forty,9.017476188644054
323,save,8.94672331611995
324,died,8.853527074529099
325,blessed,8.802138006645587
326,nether,8.706322579190761
327,jezreel,8.706322579190761
328,bank,8.706322579190761
329,ashdod,8.706322579190761
330,35,8.694783582956198
331,wood,8.694783582956198
332,witness,8.540925289622429
333,dismayed,8.420392039777786
334,window,8.420392039777786
335,swear,8.276793613847266
336,thereon,8.276793613847266
337,gate,8.246722789507762
338,gibbethon,8.212160661445711
339,unwittingly,8.212160661445711
340,commandest,8.212160661445711
341,liers,8.212160661445711
342,view,8.212160661445711
343,ashdoth,8.212160661445711
344,sepher,8.212160661445711
345,kenezite,8.212160661445711
346,ajalon,8.212160661445711
347,achsah,8.212160661445711
348,adoni,8.212160661445711
349,wedge,8.212160661445711
350,maim,8.212160661445711
351,holon,8.212160661445711
352,ashan,8.212160661445711
353,jeshimoth,8.212160661445711
354,helkath,8.212160661445711
355,jahazah,8.212160661445711
356,eshtaol,8.212160661445711
357,ramath,8.212160661445711
358,ramah,8.159357908808897
359,victuals,8.159357908808897
360,gaza,8.159357908808897
361,carmel,8.159357908808897
362,tabernacle,8.106555156172082
363,fight,8.106555156172082
364,stone,8.10586840467428
365,gathered,7.968873533733708
366,seventh,7.9432671780910615
367,thither,7.9432671780910615
368,household,7.9432671780910615
369,spear,7.919229785788288
370,morning,7.705654866306597
371,countries,7.6969058693271215
372,beer,7.6969058693271215
373,chephirah,7.636796516542151
374,baalath,7.636796516542151
375,jattir,7.636796516542151
376,achzib,7.636796516542151
377,kedemoth,7.636796516542151
378,serah,7.636796516542151
379,breathe,7.636796516542151
380,japhia,7.636796516542151
381,bezer,7.636796516542151
382,mephaath,7.636796516542151
383,chinnereth,7.636796516542151
384,rekem,7.636796516542151
385,adar,7.636796516542151
386,timnath,7.636796516542151
387,zarhites,7.636796516542151
388,zin,7.636796516542151
389,rogel,7.636796516542151
390,perizzite,7.636796516542151
391,golan,7.636796516542151
392,pisgah,7.636796516542151
393,zanoah,7.636796516542151
394,moladah,7.636796516542151
395,terah,7.636796516542151
396,blowing,7.636796516542151
397,flat,7.636796516542151
398,alive,7.635423013546548
399,43,7.635423013546548
400,sacrifices,7.635423013546548
401,divided,7.489952436863049
402,fenced,7.489927254866268
403,roof,7.489927254866268
404,afterward,7.349587157617968
405,42,7.349587157617968
406,41,7.349587157617968
407,deliver,7.335115005537989
408,blood,7.335115005537989
409,uttermost,7.296311691453555
410,wholly,7.296311691453555
411,lots,7.296311691453555
412,kingdom,7.217462518487019
413,gold,7.217462518487019
414,spoil,7.213980950915243
415,arose,7.213980950915243
416,40,7.213980950915243
417,rereward,7.190509413913731
418,kohathites,7.190509413913731
419,dagon,7.190509413913731
420,shual,7.190509413913731
421,courageous,7.190509413913731
422,knives,7.190509413913731
423,sidonians,7.190509413913731
424,shean,7.190509413913731
425,banks,7.190509413913731
426,timnah,7.190509413913731
427,medeba,7.190509413913731
428,taanach,7.190509413913731
429,hivite,7.190509413913731
430,eventide,7.190509413913731
431,ziph,7.190509413913731
432,ebal,7.190509413913731
433,girgashites,7.190509413913731
434,whithersoever,7.1144378260042505
435,sheba,7.1144378260042505
436,thousands,7.1144378260042505
437,wall,7.08282165962328
438,37,7.08282165962328
439,38,7.08282165962328
440,39,7.08282165962328
441,36,6.9558268663649585
442,daughters,6.9558268663649585
443,cleave,6.942962584484404
444,levi,6.942962584484404
445,transgressed,6.942962584484404
446,sanctify,6.942962584484404
447,gershon,6.825866300325822
448,beeroth,6.825866300325822
449,zur,6.825866300325822
450,peor,6.825866300325822
451,firm,6.825866300325822
452,ziklag,6.825866300325822
453,carmi,6.825866300325822
454,aven,6.825866300325822
455,tirzah,6.825866300325822
456,dibon,6.825866300325822
457,slaying,6.825866300325822
458,prey,6.780760920673576
459,ammon,6.780760920673576
460,return,6.713328379099218
461,whosoever,6.713328379099218
462,entering,6.626881037510926
463,abode,6.626881037510926
464,dividing,6.517564940671305
465,reached,6.517564940671305
466,soles,6.517564940671305
467,hezron,6.517564940671305
468,treasury,6.517564940671305
469,rabbah,6.517564940671305
470,shittim,6.517564940671305
471,backs,6.517564940671305
472,jazer,6.517564940671305
473,megiddo,6.517564940671305
474,beor,6.517564940671305
475,slack,6.517564940671305
476,messengers,6.4805105450026295
