,term,score
0,ungodly,16.840784079555572
1,jesus,9.544278766933186
2,christ,9.544278766933186
3,jude,9.023090877662042
4,lusts,5.279486523858859
5,reserved,5.279486523858859
6,beloved,5.124555173773458
7,eternal,4.628641722989602
8,murmurers,4.511545438831021
9,complainers,4.511545438831021
10,crept,4.511545438831021
11,core,4.511545438831021
12,contending,4.511545438831021
13,dominion,4.138396806923633
14,brute,4.106080330722856
15,archangel,4.106080330722856
16,spotted,4.106080330722856
17,naturally,4.106080330722856
18,foaming,4.106080330722856
19,convince,4.106080330722856
20,dignities,4.106080330722856
21,sensual,4.106080330722856
22,faultless,4.106080330722856
23,admiration,4.106080330722856
24,dreamers,4.106080330722856
25,pulling,4.106080330722856
26,saints,3.9716335890455308
27,greedily,3.8183982582710754
28,railing,3.8183982582710754
29,gainsaying,3.8183982582710754
30,disputed,3.8183982582710754
31,hating,3.8183982582710754
32,faith,3.817711506773274
33,speeches,3.5952547069568657
34,enoch,3.5952547069568657
35,advantage,3.5952547069568657
36,spots,3.5952547069568657
37,denying,3.5952547069568657
38,write,3.54141082981164
39,swelling,3.412933150162911
40,gomorrha,3.412933150162911
41,suffering,3.412933150162911
42,mockers,3.412933150162911
43,cain,3.412933150162911
44,raging,3.412933150162911
45,needful,3.2587824703356527
46,lasciviousness,3.2587824703356527
47,blackness,3.2587824703356527
48,withereth,3.2587824703356527
49,wandering,3.2587824703356527
50,feeding,3.12525107771113
51,difference,3.12525107771113
52,general,3.12525107771113
53,michael,3.12525107771113
54,darkness,3.03162633055406
55,condemnation,3.0074680420547466
56,durst,3.0074680420547466
57,diligence,3.0074680420547466
58,james,3.0074680420547466
59,balaam,3.0074680420547466
60,mercy,2.9340460022151955
61,fruit,2.9340460022151955
62,contend,2.9021075263969207
63,unawares,2.9021075263969207
64,accusation,2.9021075263969207
65,roots,2.8067973465925955
66,exhort,2.8067973465925955
67,falling,2.8067973465925955
68,adam,2.8067973465925955
69,estate,2.719785969602966
70,error,2.719785969602966
71,majesty,2.719785969602966
72,winds,2.6397432619294294
73,common,2.6397432619294294
74,filthy,2.6397432619294294
75,earnestly,2.6397432619294294
76,charity,2.6397432619294294
77,turning,2.5656352897757073
78,preserved,2.5656352897757073
79,praying,2.5656352897757073
80,apostles,2.5656352897757073
81,waves,2.5656352897757073
82,defile,2.5656352897757073
83,devil,2.496642418288756
84,sodom,2.496642418288756
85,building,2.496642418288756
86,execute,2.496642418288756
87,fornication,2.432103897151185
88,thousands,2.37147927533475
89,separate,2.37147927533475
90,sinners,2.314320861494801
91,saviour,2.314320861494801
92,prophesied,2.314320861494801
93,vengeance,2.314320861494801
94,chains,2.314320861494801
95,corrupt,2.314320861494801
96,perished,2.2602536402245255
97,walking,2.2602536402245255
98,multiplied,2.2602536402245255
99,plucked,2.2602536402245255
100,deeds,2.2089603458369753
101,ran,2.2089603458369753
102,angels,2.2089603458369753
103,feasts,2.160170181667543
104,ghost,2.160170181667543
105,compassion,2.160170181667543
106,habitation,2.11365016603265
107,sanctified,2.11365016603265
108,clouds,2.11365016603265
109,epistle,2.0691984034618165
110,giving,2.0691984034618165
111,ordained,2.0691984034618165
112,woe,2.0266387890430204
113,rebuke,2.0266387890430204
114,despise,2.0266387890430204
115,speaketh,1.9858167945227654
116,seventh,1.9858167945227654
117,stars,1.946596081369484
118,remembrance,1.946596081369484
119,shame,1.908855753386637
120,making,1.908855753386637
121,hard,1.908855753386637
122,everlasting,1.8724881092157621
123,exceeding,1.8724881092157621
124,afterward,1.837396789404492
125,garment,1.837396789404492
126,strange,1.837396789404492
127,persons,1.8034952377288107
128,committed,1.7389567165912396
129,amen,1.7389567165912396
130,feast,1.7389567165912396
131,egypt,1.708185057924486
132,moses,1.708185057924486
133,salvation,1.708185057924486
134,reward,1.708185057924486
135,trees,1.708185057924486
136,believed,1.708185057924486
137,saved,1.6493445579015524
138,body,1.621173680934856
139,present,1.621173680934856
140,knew,1.621173680934856
141,presence,1.621173680934856
142,carried,1.621173680934856
143,cities,1.5937747067467416
144,destroyed,1.5937747067467416
145,grace,1.5937747067467416
146,ten,1.5937747067467416
147,beasts,1.5937747067467416
148,told,1.5671064596645803
149,joy,1.5411309732613194
150,wise,1.51581316527703
151,save,1.4911205526866582
152,left,1.4434925036974038
153,peter,0.0
154,pestle,0.0
155,pineth,0.0
156,pinnacle,0.0
157,pinon,0.0
158,pins,0.0
159,pipe,0.0
160,pestilent,0.0
161,pining,0.0
162,pine,0.0
163,pethahiah,0.0
164,pethor,0.0
165,pethuel,0.0
166,pestilences,0.0
167,pin,0.0
168,pitied,0.0
169,piltai,0.0
170,petition,0.0
171,pertained,0.0
172,pilots,0.0
173,pilneser,0.0
174,pertain,0.0
175,petitions,0.0
176,pithon,0.0
177,pitched,0.0
178,piped,0.0
179,pirathonite,0.0
180,pit,0.0
181,pitcher,0.0
182,pisseth,0.0
183,piss,0.0
184,perversely,0.0
185,perverse,0.0
186,pispah,0.0
187,pison,0.0
188,pisidia,0.0
189,pisgah,0.0
190,perverseness,0.0
191,pervert,0.0
192,pirathon,0.0
193,pithom,0.0
194,piram,0.0
195,pillows,0.0
196,peruda,0.0
197,perverted,0.0
198,pertaining,0.0
199,perverteth,0.0
200,pipes,0.0
201,perverting,0.0
202,pitchers,0.0
203,pipers,0.0
204,pestilence,0.0
205,pitch,0.0
206,pertaineth,0.0
207,phinehas,0.0
208,peulthai,0.0
209,philetus,0.0
210,philistim,0.0
211,pieces,0.0
212,philistia,0.0
213,philippians,0.0
214,philippi,0.0
215,philip,0.0
