,term,score
0,gideon,175.9502721144098
1,samson,156.03105256746852
2,abimelech,136.51732600651644
3,jephthah,114.97024926023997
4,benjamin,83.09219035076384
5,manoah,81.20781789895838
6,shechem,78.35690321271686
7,philistines,76.84862376763387
8,gibeah,72.17923300931392
9,micah,71.67159615342113
10,gilead,62.64493526835875
11,midianites,61.119330018266716
12,ammon,61.02684828606219
13,sisera,58.01986355276949
14,barak,53.37904429939712
15,jerubbaal,53.37904429939712
16,thousand,51.87755778991539
17,beth,49.68391417835349
18,ephraim,49.68391417835349
19,inhabitants,48.69437141867789
20,angel,46.61269214798947
21,zebah,45.166883637951415
22,zalmunna,45.166883637951415
23,slew,44.77170987149813
24,canaanites,43.51657551364745
25,concubine,43.14305648348239
26,wife,41.610536278055626
27,judah,41.233613947538814
28,dwelt,40.726224542833855
29,midian,40.62950536955689
30,gaal,40.60390894947919
31,host,40.532775780860405
32,mizpeh,38.183982582710755
33,deborah,36.9547229765057
34,mount,35.665820980566835
35,dan,35.57218913002125
36,gathered,35.06304354842832
37,told,34.47634211262076
38,gods,34.359403560959464
39,ten,33.469268841681576
40,woman,32.909235652956184
41,liers,32.848642645782846
42,riddle,32.848642645782846
43,ehud,32.848642645782846
44,fight,32.42622062468833
45,years,31.756835081342885
46,mother,31.342129193291605
47,levite,31.2525107771113
48,moab,30.399581835645307
49,sword,30.31334257764548
50,smote,29.959809747452194
51,arose,28.85592380366097
52,fought,28.457751304017002
53,joash,28.12725969940017
54,judged,28.08221236167806
55,wait,27.56095184106738
56,amorites,27.463066601176315
57,tent,27.463066601176315
58,rose,27.330960926791775
59,drive,27.123043682694306
60,jael,27.069272632986127
61,zebul,27.069272632986127
62,delilah,27.069272632986127
63,served,26.899579245003615
64,fleece,26.72878780789753
65,rock,25.81561832879595
66,jordan,25.3638019923918
67,died,24.78987580868148
68,priest,24.345394032277355
69,image,24.342345419804907
70,lehem,23.757689357364864
71,zorah,22.91038954962645
72,jabin,22.91038954962645
73,timnath,22.91038954962645
74,fled,22.906269040639643
75,baal,22.602536402245256
76,twenty,22.469857310589145
77,side,22.206405753018316
78,family,21.888935074360667
79,cried,21.24846497886984
80,battle,20.997413287253007
81,daughters,20.867480599094876
82,kenite,20.530401653614277
83,eglon,20.530401653614277
84,bezek,20.530401653614277
85,eshtaol,20.530401653614277
86,zeeb,20.530401653614277
87,teraphim,20.530401653614277
88,tower,20.34228276202073
89,succoth,20.314752684778444
90,damsel,20.314752684778444
91,valley,20.266387890430202
92,fell,20.139985137297657
93,answered,20.139985137297657
94,young,20.03470265239715
95,war,19.838447615016918
96,joshua,19.647581426148168
97,caleb,19.552694822013915
98,altar,19.477759563964018
99,messengers,19.441531635007888
100,benjamites,19.091991291355377
101,oreb,19.091991291355377
102,ebed,19.091991291355377
103,burnt,19.08855753386637
104,deliver,19.07129901439877
105,zebulun,19.03850178722076
106,edge,18.971834202678
107,trees,18.790035637169346
108,valour,18.75150646626678
109,buried,18.622785631156347
110,tribe,18.082029121796204
111,lords,18.082029121796204
112,rishathaim,18.046181755324085
113,lehi,18.046181755324085
114,abinoam,18.046181755324085
115,chushan,18.046181755324085
116,ephod,18.04480825232848
117,ophrah,17.97627353478433
118,naphtali,17.959447028429953
119,canaan,17.959447028429953
120,towns,17.959447028429953
121,pitched,17.959447028429953
122,early,17.872351150704887
123,drew,17.872351150704887
124,pursued,17.47649692802129
125,ass,17.281361453340345
126,30,17.23817105631038
127,threescore,17.179701780479732
128,elders,17.081850579244858
129,jabesh,17.064665750814555
130,heber,17.064665750814555
131,graven,17.024727280058293
132,ephraimites,16.424321322891423
133,parlour,16.424321322891423
134,anath,16.424321322891423
135,pitchers,16.424321322891423
136,baalim,16.293912351678262
137,amalekites,16.293912351678262
138,29,16.137253012183574
139,stood,15.937747067467416
140,31,15.937747067467416
141,passed,15.937747067467416
142,chariots,15.886534356182123
143,28,15.878417540671443
144,trumpets,15.838459571576577
145,arnon,15.62625538855565
146,shiloh,15.62625538855565
147,camp,15.462722420858828
148,kishon,15.273593033084301
149,secure,15.273593033084301
150,top,15.270846027093096
151,bowed,15.121191271672803
152,manasseh,14.979854509732537
153,cut,14.911205526866581
154,field,14.844101021113971
155,knew,14.590563128413704
156,encamped,14.510537631984604
157,blew,14.510537631984604
158,companies,14.510537631984604
159,left,14.434925036974038
160,wives,14.427961901830486
161,nail,14.381018827827463
162,laish,14.381018827827463
163,kedesh,14.381018827827463
164,penuel,14.381018827827463
165,cities,14.343972360720674
166,wilderness,14.343972360720674
167,anger,14.343972360720674
168,destroyed,14.343972360720674
169,lodge,14.228875652008501
170,kirjath,14.033986732962978
171,kid,14.033986732962978
172,tribes,13.900717561659357
173,began,13.900717561659357
174,bind,13.885925168968807
175,morning,13.870178759351875
176,surely,13.665480463395888
177,departed,13.665480463395888
178,gileadite,13.651732600651645
179,highways,13.651732600651645
180,east,13.626172569586387
181,vineyards,13.561521841347153
182,harosheth,13.534636316493064
183,berith,13.534636316493064
184,jawbone,13.534636316493064
185,dagger,13.534636316493064
186,withs,13.534636316493064
187,returned,13.426656758198437
188,inheritance,13.426656758198437
189,entering,13.253762075021852
190,abode,13.253762075021852
191,coast,13.198716309647146
192,array,13.198716309647146
193,daughter,13.19475646321242
194,hearken,13.107416764510335
195,grove,13.03512988134261
196,el,12.828176448878537
197,asked,12.6819009961959
198,doors,12.6819009961959
199,princes,12.624466664101675
200,forty,12.624466664101675
201,earrings,12.50100431084452
202,jotham,12.50100431084452
203,tabor,12.50100431084452
204,merry,12.48321209144378
205,wept,12.415190420770898
206,nazarite,12.318240992168567
207,danites,12.318240992168567
208,tributaries,12.318240992168567
209,adoni,12.318240992168567
210,bramble,12.318240992168567
211,bound,12.172697016138677
212,hot,12.160519485755925
213,draw,12.159832734258122
214,possess,12.159832734258122
215,strength,12.12650532221624
216,rimmon,12.029872168218986
217,sihon,12.029872168218986
218,egypt,11.957295405471402
219,thither,11.914900767136592
220,shekels,11.85739637667375
221,flame,11.85739637667375
222,lay,11.736184008860782
223,silver,11.54794002957923
224,dwell,11.54794002957923
225,wherewith,11.545411905310868
226,gate,11.545411905310868
227,kings,11.545411905310868
228,promoted,11.455194774813226
229,sport,11.455194774813226
230,othniel,11.455194774813226
231,wilt,11.348215766543992
232,asses,11.301268201122628
233,molten,11.301268201122628
234,prey,11.301268201122628
235,country,11.234928655294572
236,asher,11.227189386370382
237,subdued,11.227189386370382
238,hebron,11.227189386370382
239,mountains,11.156422947227192
240,enemies,11.156422947227192
241,shewed,11.156422947227192
242,brake,11.044801729184876
243,offered,11.024380736426952
244,opened,11.024380736426952
245,reign,11.024380736426952
246,plead,10.879143878411863
247,cakes,10.879143878411863
248,gaza,10.879143878411863
249,husband,10.820971426372864
250,meet,10.787916812829236
251,bread,10.787916812829236
252,hammer,10.785764120870597
253,kenaz,10.785764120870597
254,offer,10.62423248943492
255,lieth,10.568250830163251
256,thrust,10.568250830163251
257,eighteen,10.558973047717718
258,jebusites,10.558973047717718
259,bullock,10.558973047717718
260,save,10.437843868806608
261,feet,10.437843868806608
262,spake,10.437843868806608
263,child,10.433740299547438
264,35,10.433740299547438
265,34,10.433740299547438
266,congregation,10.345992017309083
267,months,10.345992017309083
268,depart,10.249110347546916
269,deliverer,10.238799450488735
270,zidonians,10.238799450488735
271,temples,10.238799450488735
272,morrow,10.133193945215101
273,tarry,10.133193945215101
274,33,10.069992568648829
275,oppressed,9.986569673155024
276,kill,9.929083972613826
277,escaped,9.929083972613826
278,looked,9.896067347409314
279,ground,9.896067347409314
280,millo,9.776347411006958
281,colours,9.776347411006958
282,lion,9.732980406847421
283,chamber,9.72841558860474
284,camels,9.72841558860474
285,32,9.727042085609137
286,river,9.544278766933186
287,awake,9.485917101339
288,spy,9.37575323313339
289,jair,9.37575323313339
290,springs,9.37575323313339
291,captain,9.257283445979205
292,prove,9.257283445979205
293,dew,9.257283445979205
294,commanded,9.246785839567917
295,offering,9.18698394702246
296,sworn,9.041014560898102
297,coasts,9.041014560898102
298,prevailed,9.041014560898102
299,unleavened,9.041014560898102
300,ibzan,9.023090877662042
301,detain,9.023090877662042
302,bochim,9.023090877662042
303,lefthanded,9.023090877662042
304,phurah,9.023090877662042
305,sheets,9.023090877662042
306,abiezrites,9.023090877662042
307,barah,9.023090877662042
308,hillel,9.023090877662042
309,zebulonite,9.023090877662042
310,shamgar,9.023090877662042
311,pransings,9.023090877662042
312,locked,9.023090877662042
313,lappeth,9.023090877662042
314,lapped,9.023090877662042
315,quarries,9.023090877662042
316,conceive,9.02240412616424
317,carcase,9.02240412616424
318,mightily,9.02240412616424
319,persons,9.017476188644054
320,bare,8.853527074529099
321,sore,8.853527074529099
322,sat,8.853527074529099
323,smitten,8.835841383347901
324,ran,8.835841383347901
325,hold,8.802138006645587
326,perizzites,8.706322579190761
327,companion,8.706322579190761
328,thigh,8.706322579190761
329,36,8.694783582956198
330,lifted,8.694783582956198
331,caught,8.640680726670173
332,serve,8.540925289622429
333,edom,8.4546006641306
334,younger,8.420392039777786
335,whoring,8.420392039777786
336,gat,8.420392039777786
337,built,8.391660473874023
338,door,8.391660473874023
339,plain,8.276793613847266
340,numbered,8.276793613847266
341,achsah,8.212160661445711
342,heres,8.212160661445711
343,broth,8.212160661445711
344,tob,8.212160661445711
345,rushed,8.212160661445711
346,thumbs,8.212160661445711
347,sincerely,8.212160661445711
348,pin,8.212160661445711
349,sepher,8.212160661445711
350,thebez,8.212160661445711
