,term,score
0,zion,35.57218913002125
1,daughter,32.98689115803105
2,enemy,19.477759563964018
3,anger,17.53152177421416
4,streets,15.462722420858828
5,pitied,15.273593033084301
6,eye,14.79555116222855
7,young,13.870178759351875
8,desolate,11.679576488216904
9,soul,11.54794002957923
10,sigh,11.455194774813226
11,jerusalem,11.156422947227192
12,relieve,10.785764120870597
13,virgins,10.26254115910283
14,punishment,10.26254115910283
15,mothers,10.238799450488735
16,swallowed,9.986569673155024
17,sanctuary,9.72841558860474
18,enemies,9.56264824048045
19,solemn,9.485917101339
20,poured,9.36244054607881
21,adversaries,9.257283445979205
22,affliction,9.18698394702246
23,hope,9.017476188644054
24,captivity,9.017476188644054
25,slain,8.853527074529099
26,faint,8.835841383347901
27,elders,8.540925289622429
28,pleasant,8.4546006641306
29,skin,8.420392039777786
30,ground,8.246722789507762
31,judah,8.246722789507762
32,sorrow,8.106555156172082
33,comfort,7.786384325477936
34,beauty,7.6969058693271215
35,comforter,7.636796516542151
36,crush,7.636796516542151
37,destruction,7.635423013546548
38,heathen,7.635423013546548
39,rebelled,7.489927254866268
40,transgressions,7.489927254866268
41,adversary,7.489927254866268
42,wait,7.349587157617968
43,covered,7.213980950915243
44,princes,7.213980950915243
45,dungeon,7.190509413913731
46,persecutors,7.190509413913731
47,drunken,7.1144378260042505
48,tears,6.942962584484404
49,bent,6.825866300325822
50,grievously,6.825866300325822
51,imaginations,6.825866300325822
52,priests,6.59737823160621
53,dim,6.517564940671305
54,wormwood,6.517564940671305
55,lovers,6.517564940671305
56,fierce,6.4805105450026295
57,afflicted,6.34095049809795
58,iniquity,6.268425838658321
59,honoured,6.25050215542226
60,cleaveth,6.25050215542226
61,reproach,6.207595210385449
62,bread,6.164523893045278
63,ways,6.06325266110812
64,wandered,6.014936084109493
65,musick,6.014936084109493
66,runneth,6.014936084109493
67,hiss,6.014936084109493
68,gall,6.014936084109493
69,gates,5.839788244108452
70,sabbaths,5.804215052793841
71,sword,5.773970014789615
72,palaces,5.613594693185191
73,fury,5.439571939205932
74,jacob,5.410485713186432
75,bones,5.410485713186432
76,caused,5.31211624471746
77,wall,5.31211624471746
78,bitterness,5.279486523858859
79,thrown,5.279486523858859
80,accomplished,5.131270579551415
81,turneth,5.131270579551415
82,depart,5.124555173773458
83,sinned,5.034996284324414
84,holds,4.993284836577512
85,broken,4.948033673704657
86,prophets,4.948033673704657
87,horn,4.86420779430237
88,silence,4.86420779430237
89,trodden,4.86420779430237
90,virgin,4.86420779430237
91,wilderness,4.781324120240225
92,destroyed,4.781324120240225
93,polluted,4.7429585506695
94,hunger,4.7429585506695
95,places,4.701319378993741
96,cry,4.701319378993741
97,borne,4.628641722989602
98,meat,4.623392919783958
99,sins,4.54743949583109
100,thyself,4.54743949583109
101,strength,4.54743949583109
102,ceased,4.520507280449051
103,bowels,4.520507280449051
104,iniquities,4.520507280449051
105,mercies,4.520507280449051
106,street,4.520507280449051
107,sigheth,4.511545438831021
108,languished,4.511545438831021
109,wreathed,4.511545438831021
110,prevaileth,4.511545438831021
111,drewest,4.511545438831021
112,dunghills,4.511545438831021
113,sighs,4.511545438831021
114,recall,4.511545438831021
115,monsters,4.511545438831021
116,affecteth,4.511545438831021
117,ostriches,4.511545438831021
118,blacker,4.511545438831021
119,princess,4.511545438831021
120,respected,4.511545438831021
121,comparable,4.511545438831021
122,polishing,4.511545438831021
123,orphans,4.511545438831021
124,pursuer,4.511545438831021
125,tributary,4.511545438831021
126,trickleth,4.511545438831021
127,bereaveth,4.511545438831021
128,swoon,4.511545438831021
129,swooned,4.511545438831021
130,intermission,4.511545438831021
131,approveth,4.511545438831021
132,cut,4.473361658059975
133,yoke,4.417920691673951
134,midst,4.401069003322793
135,gold,4.330477511092211
136,mourning,4.320340363335086
137,assembly,4.320340363335086
138,feasts,4.320340363335086
139,edom,4.2273003320653
140,generation,4.2273003320653
141,cloud,4.138396806923633
142,fine,4.138396806923633
143,teeth,4.138396806923633
144,rampart,4.106080330722856
145,subvert,4.106080330722856
146,remainest,4.106080330722856
147,servitude,4.106080330722856
148,quietly,4.106080330722856
149,pitchers,4.106080330722856
150,peril,4.106080330722856
151,gnash,4.106080330722856
152,breathing,4.106080330722856
153,purer,4.106080330722856
154,remembering,4.106080330722856
155,harts,4.106080330722856
156,offscouring,4.106080330722856
157,nazarites,4.106080330722856
158,straits,4.106080330722856
159,banishment,4.106080330722856
160,whiter,4.106080330722856
161,miseries,4.106080330722856
162,compassions,4.106080330722856
163,swaddled,4.106080330722856
164,tabernacle,4.053277578086041
165,fulfilled,4.053277578086041
166,remembered,4.053277578086041
167,lift,4.053277578086041
168,touch,4.053277578086041
169,consumed,3.9716335890455308
170,removed,3.9716335890455308
171,fail,3.9716335890455308
172,troubled,3.893192162738968
173,ruddy,3.8183982582710754
174,visage,3.8183982582710754
175,menstruous,3.8183982582710754
176,aliens,3.8183982582710754
177,lamentations,3.8183982582710754
178,rubies,3.8183982582710754
179,pardoned,3.8183982582710754
180,flowed,3.8183982582710754
181,watches,3.8183982582710754
182,wag,3.8183982582710754
183,pitiful,3.8183982582710754
184,pleaded,3.8183982582710754
185,hedged,3.8183982582710754
186,coal,3.8183982582710754
187,gravel,3.8183982582710754
188,complain,3.8183982582710754
189,top,3.817711506773274
190,fallen,3.817711506773274
191,entered,3.817711506773274
192,heads,3.817711506773274
193,prayer,3.7449762184315243
194,opened,3.674793578808984
195,bow,3.6069904754576214
196,weepeth,3.5952547069568657
197,sucking,3.5952547069568657
198,remembereth,3.5952547069568657
199,pits,3.5952547069568657
200,sucklings,3.5952547069568657
201,cheeks,3.5952547069568657
202,favoured,3.5952547069568657
203,wonderfully,3.5952547069568657
204,delicately,3.5952547069568657
205,dust,3.54141082981164
206,sore,3.54141082981164
207,cried,3.54141082981164
208,spread,3.4779134331824793
209,wood,3.4779134331824793
210,priest,3.4779134331824793
211,glad,3.4779134331824793
212,sit,3.4779134331824793
213,heavens,3.4779134331824793
214,find,3.416370115848972
215,enter,3.416370115848972
216,grieve,3.412933150162911
217,liver,3.412933150162911
218,sapphire,3.412933150162911
