,term,score
0,offering,457.51180056171853
1,priest,321.70699256937934
2,unclean,214.12556895064324
3,aaron,189.71834202678
4,burnt,160.3438832844775
5,altar,154.05137109680632
6,plague,149.79854509732536
7,moses,148.6121000394303
8,atonement,147.36593406068258
9,skin,137.53306998303717
10,offer,136.34431694774813
11,sin,132.70972918911258
12,blood,129.0980240974686
13,congregation,117.94430899732355
14,fat,107.79615846766515
15,bullock,97.6705006913889
16,tabernacle,95.25202308502196
17,clean,91.34757254804721
18,leprosy,90.63228125362276
19,estimation,90.33376727590283
20,pronounce,90.33376727590283
21,jubile,86.22768694517997
22,blemish,81.25901073911378
23,nakedness,79.8925573852402
24,offerings,79.35379046006767
25,trespass,77.82732470883792
26,wash,77.76612654003155
27,issue,72.97673101140748
28,wave,71.90509413913732
29,uncover,71.67159615342113
30,oil,71.29722538024083
31,inwards,69.80336562228855
32,meat,63.186369903714095
33,scall,63.1616361436343
34,sacrifice,62.68425838658321
35,bathe,61.59120496084284
36,burn,61.083384108372385
37,sprinkle,58.65808446604175
38,spake,56.66258100209301
39,year,56.37010691150804
40,goat,56.25451939880034
41,beast,55.356816848212475
42,ram,54.39571939205932
43,statute,53.12926832108921
44,clothes,52.55809419697607
45,kidneys,50.33356589739612
46,possession,48.6420779430237
47,toucheth,47.436205947486364
48,soul,46.19176011831692
49,whatsoever,46.03834078755132
50,carcase,45.1120206308212
51,uncleanness,45.05810623136025
52,savour,44.8756354528003
53,eaten,43.06722651196253
54,lamb,42.442921110908856
55,profane,42.10196019888893
56,commanded,41.610536278055626
57,redeem,41.34576625157015
58,woof,40.60390894947919
59,warp,40.60390894947919
60,white,40.532775780860405
61,door,40.279970274595314
62,camp,39.761286225065554
63,seventh,39.716335890455305
64,kill,39.716335890455305
65,sanctify,39.34345464541162
66,flour,38.07700357444152
67,finger,37.72739784315997
68,years,37.5308050961325
69,cleansed,37.44963627433134
70,stranger,36.9853255460202
71,sweet,36.9853255460202
72,part,35.665820980566835
73,bread,35.44601238501035
74,sabbath,35.343365533391605
75,field,34.6362357159326
76,daughter,34.6362357159326
77,caul,34.36558432443968
78,generations,33.2007098546865
79,woman,32.909235652956184
80,baken,32.848642645782846
81,cut,32.80465215910648
82,offereth,32.587824703356524
83,sabbaths,31.923182790366127
84,whosoever,31.888309800721288
85,hair,31.773068712364246
86,female,31.2525107771113
87,bright,30.787623477308486
88,male,30.787623477308486
89,liver,30.7163983514662
90,bald,30.7163983514662
91,pigeons,30.547186066168603
92,separation,30.547186066168603
93,convocation,30.547186066168603
94,spread,29.562264182051074
95,garment,29.398348630471872
96,abomination,29.383297322918832
97,anointing,29.329042233020875
98,oblation,29.329042233020875
99,sold,29.19894122054226
100,sanctuary,29.18524676581422
101,cud,28.742562315059992
102,eateth,28.457751304017002
103,mingled,28.22198818753278
104,defile,28.22198818753278
105,linen,28.08221236167806
106,spot,28.067973465925956
107,lieth,27.47745215842445
108,statutes,27.123043682694306
109,reddish,27.069272632986127
110,deeper,26.72878780789753
111,hoof,26.72878780789753
112,burning,26.507524150043704
113,month,26.346304257559265
114,creeping,25.26117611933336
115,30,25.073703354633285
116,kind,24.96642418288756
117,forgiven,24.96642418288756
118,unleavened,24.86279004246978
119,tenth,24.86279004246978
120,pour,24.830380841541796
121,fine,24.830380841541796
122,wife,24.65809557218111
123,times,24.65809557218111
124,turtledoves,24.636481984337134
125,servile,24.636481984337134
126,cheweth,24.636481984337134
127,wood,24.345394032277355
128,neighbour,24.342345419804907
129,eighth,24.32103897151185
130,sprinkled,24.059744336437973
131,shekels,23.7147927533475
132,iniquity,23.506596894968705
133,33,23.496649326847265
134,29,23.472368017721564
135,anointed,23.25015182635915
136,young,23.116964598919793
137,28,23.09588005915846
138,bird,23.090717607981365
139,accepted,23.090717607981365
140,tip,22.91038954962645
141,32,22.696431533087985
142,goats,22.602536402245256
143,log,22.557727194155106
144,guilty,22.469781764598807
145,bottom,22.454378772740764
146,31,22.312845894454384
147,lay,22.005345016613965
148,mother,21.939490435304123
149,defiled,21.60170181667543
150,redeemed,21.60170181667543
151,running,21.117946095435435
152,frankincense,21.052276294383226
153,vail,21.052276294383226
154,34,20.867480599094876
155,garments,20.867480599094876
156,woollen,20.530401653614277
157,waved,20.530401653614277
158,toe,20.530401653614277
159,thumb,20.530401653614277
160,flanks,20.530401653614277
161,surely,20.49822069509383
162,cleansing,20.47759890097747
163,ignorance,20.47759890097747
164,breast,20.314752684778444
165,shut,20.21136468344941
166,sinned,20.139985137297657
167,shoulder,19.97313934631005
168,horns,19.45683117720948
169,whereon,19.45683117720948
170,vessel,19.441531635007888
171,beasts,19.1252964809609
172,enemies,19.1252964809609
173,creepeth,19.091991291355377
174,devoted,19.091991291355377
175,raw,19.091991291355377
176,scab,19.091991291355377
177,egypt,18.790035637169346
178,sister,18.72488109215762
179,judgments,18.622785631156347
180,contrary,18.478202833506007
181,memorial,18.478202833506007
182,scapegoat,18.046181755324085
183,kin,17.97627353478433
184,sojourner,17.97627353478433
185,molech,17.97627353478433
186,heave,17.97627353478433
187,goeth,17.707054149058198
188,rising,17.47649692802129
189,dwellings,17.412645158381522
190,approach,17.412645158381522
191,35,17.389567165912396
192,covenant,17.389567165912396
193,presented,16.840784079555572
194,commandments,16.783320947748045
195,increase,16.53657110464043
196,priests,16.493445579015525
197,broken,16.493445579015525
198,rump,16.424321322891423
199,deals,16.424321322891423
200,killeth,16.318715817617793
201,legs,16.318715817617793
202,covereth,16.318715817617793
203,thereto,16.318715817617793
204,boil,16.293912351678262
205,dip,16.293912351678262
206,uncle,16.293912351678262
207,hallow,16.293912351678262
208,command,16.213110312344163
209,die,16.21173680934856
210,sow,16.20024603046361
211,add,16.20024603046361
212,36,15.650610449321157
213,shave,15.62625538855565
214,hyssop,15.62625538855565
215,commit,15.270846027093096
216,strangers,15.270846027093096
217,seat,15.121191271672803
218,stones,15.104988852973241
219,number,15.104988852973241
220,leaven,15.037340210273733
221,beard,15.037340210273733
222,sinai,15.037340210273733
223,firstfruits,14.979854509732537
224,sojourn,14.979854509732537
225,souls,14.79555116222855
226,harvest,14.79555116222855
227,fruit,14.670230011075978
228,yield,14.59262338290711
229,bad,14.510537631984604
230,thereon,14.484388824232715
231,order,14.484388824232715
232,left,14.434925036974038
233,creep,14.381018827827463
234,living,14.343972360720674
235,touch,14.186471523301144
236,37,14.16564331924656
237,uncovered,14.033986732962978
238,kid,14.033986732962978
239,bondmen,14.033986732962978
240,poor,13.665480463395888
241,sheaf,13.651732600651645
242,pieces,13.626172569586387
243,bed,13.626172569586387
244,cakes,13.59892984801483
245,bought,13.561521841347153
246,copulation,13.534636316493064
247,fretting,13.534636316493064
248,clovenfooted,13.534636316493064
249,rinsed,13.534636316493064
250,convocations,13.534636316493064
251,israelitish,13.534636316493064
252,born,13.426656758198437
253,return,13.426656758198437
254,hired,13.253762075021852
255,reap,13.253762075021852
256,thanksgiving,13.198716309647146
257,sojourneth,13.03512988134261
258,freewill,13.03512988134261
259,handful,13.03512988134261
260,earthen,13.03512988134261
261,dwell,12.991432533276633
262,offered,12.861777525831444
263,proclaim,12.828176448878537
264,sanctified,12.6819009961959
265,foot,12.624466664101675
266,gather,12.536851677316642
267,divideth,12.50100431084452
268,leper,12.50100431084452
269,purifying,12.50100431084452
270,oven,12.50100431084452
271,forehead,12.50100431084452
272,abominable,12.48321209144378
273,38,12.39493790434074
274,fins,12.318240992168567
275,rigour,12.318240992168567
276,consecrations,12.318240992168567
277,yellow,12.318240992168567
278,pursueth,12.318240992168567
279,break,12.172697016138677
280,scarlet,12.160519485755925
281,family,12.160519485755925
282,morrow,12.159832734258122
283,killed,12.159832734258122
284,sins,12.12650532221624
285,due,11.85739637667375
286,price,11.85739637667375
287,cedar,11.85739637667375
288,fall,11.736184008860782
289,ear,11.679576488216904
290,slew,11.679576488216904
291,shekel,11.608430105587683
292,fowl,11.608430105587683
