,term,score
0,jesus,190.8855753386637
1,disciples,114.05738646174784
2,john,87.01071774437047
3,answering,79.09560355305105
4,pharisees,71.67159615342113
5,kingdom,64.95716266638317
6,peter,60.14936084109493
7,mary,55.3993019957061
8,simon,55.3993019957061
9,jerusalem,52.594565322642474
10,spake,52.189219344033035
11,herod,50.33356589739612
12,master,49.64541986306914
13,devils,46.23636148325042
14,began,43.687969479500836
15,parable,43.51657551364745
16,galilee,42.10196019888893
17,scribes,42.10196019888893
18,blessed,41.076644031012734
19,zacharias,41.060803307228554
20,immediately,40.62826401024469
21,elisabeth,40.60390894947919
22,answered,40.279970274595314
23,sabbath,39.761286225065554
24,pilate,39.10538964402783
25,35,38.25704776500727
26,34,38.25704776500727
27,31,38.2505929619218
28,hour,37.72739784315997
29,30,37.61055503194993
30,32,37.28699466150169
31,33,36.9233060850457
32,healed,35.93205282255505
33,37,35.414108298116396
34,whosoever,35.2449739902709
35,29,35.208552026582346
36,36,34.77913433182479
37,28,34.64382008873769
38,mother,34.47634211262076
39,entered,34.359403560959464
40,temple,33.64340288321058
41,38,33.64340288321058
42,chief,32.98689115803105
43,synagogue,32.587824703356524
44,devil,32.45635143775383
45,asked,31.704752490489753
46,child,31.301220898642313
47,village,30.547186066168603
48,woe,30.399581835645307
49,angel,30.399581835645307
50,stood,30.28171942818809
51,fell,30.209977705946482
52,39,30.101992053398938
53,country,29.959809747452194
54,woman,29.775022733627026
55,prophets,29.688202042227942
56,generation,29.5911023244571
57,41,29.398348630471872
58,42,29.398348630471872
59,wife,29.28148849196507
60,enter,29.03914598471626
61,40,28.85592380366097
62,multitude,28.687944721441347
63,43,28.632836300799557
64,returned,28.53164561117168
65,sat,28.33128663849312
66,abraham,28.087321638236432
67,nazareth,27.30346520130329
68,publicans,26.72878780789753
69,nigh,26.723980547412918
70,44,26.723980547412918
71,christ,26.723980547412918
72,priests,26.38951292642484
73,meat,26.19922654544243
74,elias,26.07025976268522
75,receive,25.982865066553266
76,ghost,25.922042180010518
77,departed,25.62277586886729
78,sinners,25.457529476442815
79,worthy,25.3638019923918
80,47,25.305749057803293
81,45,25.305749057803293
82,46,25.305749057803293
83,pharisee,25.16678294869806
84,bidden,25.16678294869806
85,highest,25.00200862168904
86,rich,24.815124794026282
87,twelve,24.342345419804907
88,named,24.29856380420673
89,rebuked,24.059744336437973
90,james,24.059744336437973
91,find,23.914590810942805
92,david,23.886158262258398
93,feet,23.85792884298653
94,authority,23.757689357364864
95,48,23.35915297643381
96,judaea,23.216860211175366
97,besought,23.143208614948012
98,filled,23.116964598919793
99,prophet,23.090823810621735
