,term,score
0,jesus,185.1590080785038
1,disciples,149.90399363544003
2,john,72.97673101140748
3,scribes,58.94274427844451
4,peter,57.141892799040185
5,straightway,55.14004300154149
6,immediately,53.12926832108921
7,ship,52.237935475144575
8,began,51.6312366575919
9,asked,50.7276039847836
10,answered,50.349962843244136
11,james,45.1120206308212
12,pharisees,40.95519780195494
13,master,33.75888550688701
14,galilee,33.681568159111144
15,sat,33.64340288321058
16,devils,32.637431635235586
17,pilate,32.587824703356524
18,simon,32.587824703356524
19,verily,31.03797605192725
20,kingdom,30.31334257764548
21,mother,29.775022733627026
22,synagogue,29.329042233020875
23,elias,29.329042233020875
24,herod,28.762037655654925
25,multitude,27.09417001469461
26,chief,26.38951292642484
27,twelve,26.21483352902067
28,hour,26.118967737572287
29,damsel,26.118967737572287
30,mary,26.07025976268522
31,whosoever,25.174981421622068
32,answering,25.16678294869806
33,sick,24.815124794026282
34,cried,24.78987580868148
35,priests,24.740168368523285
36,sabbath,24.29856380420673
37,baptized,24.059744336437973
38,enter,23.914590810942805
39,33,23.496649326847265
40,left,23.09588005915846
41,entered,22.906269040639643
42,32,22.696431533087985
43,34,22.606437315686115
44,35,22.606437315686115
45,loaves,22.454378772740764
46,31,22.312845894454384
47,30,21.939490435304123
48,28,21.652387555461058
49,bread,21.575833625658472
50,parables,21.571528241741195
51,37,21.24846497886984
52,temple,21.24846497886984
53,authority,21.117946095435435
54,36,20.867480599094876
55,rise,20.71907118770764
56,29,20.538322015506367
57,side,20.49822069509383
58,amazed,20.314752684778444
59,astonished,19.647581426148168
60,unclean,19.465960813694842
61,gospel,19.441531635007888
62,country,18.72488109215762
63,charged,18.622785631156347
64,wife,18.493571679135833
65,looked,18.14279013691708
66,insomuch,18.04480825232848
67,palsy,17.97627353478433
68,38,17.707054149058198
69,jerusalem,17.53152177421416
70,receive,17.321910044368845
71,taught,17.179701780479732
72,nazareth,17.064665750814555
73,tradition,17.064665750814555
74,lawful,16.840784079555572
75,fell,16.783320947748045
76,sown,16.60035492734325
77,41,16.53657110464043
78,spake,16.40232607955324
79,parable,16.318715817617793
80,spit,16.293912351678262
81,40,16.231457139559296
82,arose,16.231457139559296
83,whatsoever,15.936348734152379
84,39,15.936348734152379
85,send,15.671064596645802
86,priest,15.650610449321157
87,husbandmen,15.62625538855565
88,swine,15.62625538855565
89,commanded,15.411309732613194
90,baptist,15.273593033084301
91,43,15.270846027093096
92,watch,15.270846027093096
93,christ,15.270846027093096
94,rebuked,15.037340210273733
95,devil,14.979854509732537
96,42,14.699174315235936
97,quenched,14.510537631984604
98,magdalene,14.381018827827463
99,bethany,14.381018827827463
100,zebedee,14.381018827827463
101,cock,14.381018827827463
102,passed,14.343972360720674
103,sepulchre,14.228875652008501
104,preached,14.228875652008501
105,satan,14.228875652008501
106,risen,14.186471523301144
107,crucified,14.033986732962978
108,cross,14.033986732962978
109,besought,13.885925168968807
110,forgive,13.885925168968807
111,witness,13.665480463395888
112,moses,13.665480463395888
113,betray,13.651732600651645
114,andrew,13.651732600651645
115,crucify,13.651732600651645
116,betrayed,13.651732600651645
117,touched,13.561521841347153
118,save,13.420084974179924
119,44,13.361990273706459
120,jews,13.253762075021852
121,daughter,13.19475646321242
122,ground,13.19475646321242
123,question,13.03512988134261
124,caesar,13.03512988134261
125,knew,12.969389447478848
126,taketh,12.961021090005259
127,ghost,12.961021090005259
128,david,12.861777525831444
129,fishes,12.828176448878537
130,stood,12.750197653973933
131,healed,12.6819009961959
132,marvelled,12.50100431084452
133,baskets,12.50100431084452
134,colt,12.50100431084452
135,follow,12.39493790434074
136,ears,12.39493790434074
137,sake,12.329047786090555
138,passover,12.160519485755925
139,vineyard,12.160519485755925
140,killed,12.159832734258122
141,sins,12.12650532221624
142,bottles,12.029872168218986
143,baptism,12.029872168218986
144,departed,11.957295405471402
145,elders,11.957295405471402
146,sitting,11.85739637667375
147,fruit,11.736184008860782
148,hold,11.736184008860782
149,45,11.679576488216904
150,bed,11.679576488216904
151,judaea,11.608430105587683
152,sinners,11.571604307474006
153,tombs,11.455194774813226
154,herodias,11.455194774813226
155,joses,11.455194774813226
156,publicans,11.455194774813226
157,understand,11.453134520319821
158,cup,11.301268201122628
159,lose,11.227189386370382
160,deny,11.227189386370382
161,suffered,11.044801729184876
162,doctrine,11.044801729184876
163,angels,11.044801729184876
164,brake,11.044801729184876
165,ran,11.044801729184876
166,garment,11.024380736426952
167,wind,11.024380736426952
