,term,score
0,jesus,328.3231895825016
1,disciples,231.37355539383134
2,pharisees,98.97506135472443
3,begat,90.25851359829724
4,kingdom,80.83558020705462
5,answered,80.55994054919063
6,john,72.97673101140748
7,peter,72.17923300931392
8,verily,62.0759521038545
9,scribes,61.749541625037104
10,hour,60.944258054335336
11,whosoever,60.419955411892964
12,multitudes,52.14051952537044
13,hypocrites,47.78106410228076
14,galilee,47.715554892074124
15,herod,46.738311190439255
16,mother,45.44608733027283
17,multitude,41.43814237541528
18,prophet,41.233613947538814
19,departed,40.99644139018766
20,blind,38.883063270015775
21,ship,37.72739784315997
22,tares,36.09236351064817
23,talents,36.08961650465696
24,mary,35.84660717369218
25,temple,35.414108298116396
26,devils,35.35721760483855
27,betrayed,34.12933150162911
28,eye,33.8184026565224
29,28,33.200327585040284
30,chief,32.98689115803105
31,priests,32.98689115803105
32,christ,32.45054780757283
33,fulfilled,32.42622062468833
34,master,31.773068712364246
35,30,31.342129193291605
36,child,31.301220898642313
37,34,31.301220898642313
38,david,31.235745419876366
39,29,30.807483023259554
40,33,30.209977705946482
41,world,30.209977705946482
42,devil,29.959709019465073
43,elias,29.329042233020875
44,simon,29.329042233020875
45,pilate,29.329042233020875
46,32,29.181126256827408
47,enter,29.03914598471626
48,parables,28.762037655654925
49,angels,28.716484495880678
50,31,28.687944721441347
51,woe,28.372943046602288
52,sat,28.33128663849312
53,whatsoever,28.33128663849312
54,prophets,28.038857484326392
55,wife,27.74035751870375
56,generation,27.47745215842445
57,left,27.426357570250673
58,judas,27.30346520130329
59,received,27.28463697498654
60,hungred,26.72878780789753
61,baptist,26.72878780789753
62,publicans,26.72878780789753
63,sick,26.723980547412918
64,blessed,26.40641401993676
65,35,26.084350748868594
66,wise,25.76882380970951
67,lawful,25.26117611933336
68,sadducees,25.16678294869806
69,field,24.740168368523285
70,gnashing,24.636481984337134
71,parable,24.478073726426693
72,36,24.345394032277355
73,twelve,24.342345419804907
74,vineyard,24.32103897151185
75,body,24.31760521402284
76,baptized,24.059744336437973
77,spake,23.85792884298653
78,tree,23.506596894968705
79,sign,23.25015182635915
80,straightway,23.216860211175366
81,judaea,23.216860211175366
82,prison,23.143208614948012
83,receiveth,23.090717607981365
84,37,23.01917039377566
85,38,23.01917039377566
86,faith,22.906269040639643
87,synagogues,22.81147729234957
88,governor,22.602536402245256
89,crucified,22.454378772740764
90,gathered,22.312845894454384
91,reward,22.206405753018316
92,elders,22.206405753018316
93,sabbath,22.08960345836975
94,fruit,22.005345016613965
95,marvelled,21.87675754397791
96,arose,21.64194285274573
97,bread,21.575833625658472
98,zebedee,21.571528241741195
99,39,21.24846497886984
100,healed,21.136501660326502
101,worthy,21.136501660326502
102,forgive,20.82888775345321
103,hell,20.82888775345321
104,jerusalem,20.71907118770764
105,wedding,20.530401653614277
106,sowed,20.47759890097747
107,send,20.372383975639544
108,receive,20.208895051763655
109,sheep,20.139985137297657
110,offended,19.97313934631005
111,began,19.858167945227652
112,loaves,19.647581426148168
113,esaias,19.552694822013915
114,sit,19.128523882503636
115,bethlehem,19.091991291355377
116,jonas,19.091991291355377
117,watch,19.08855753386637
118,offend,19.03850178722076
119,immediately,18.75150646626678
120,husbandmen,18.75150646626678
121,swear,18.622785631156347
122,pay,18.51456689195841
123,righteous,18.493571679135833
124,sake,18.493571679135833
125,authority,18.478202833506007
126,fell,18.46165304252285
127,42,18.37396789404492
128,41,18.37396789404492
129,bringeth,18.239749101387183
130,joseph,18.239749101387183
131,cup,18.082029121796204
132,householder,18.046181755324085
133,insomuch,18.04480825232848
134,james,18.04480825232848
135,twain,18.04480825232848
136,40,18.034952377288107
137,penny,17.97627353478433
138,barabbas,17.97627353478433
139,labourers,17.97627353478433
140,palsy,17.97627353478433
141,save,17.8934466322399
142,kill,17.872351150704887
143,false,17.872351150704887
144,wilt,17.832910490283417
145,cried,17.707054149058198
146,mountain,17.707054149058198
147,blood,17.604276013291173
148,works,17.604276013291173
149,46,17.519364732325357
150,45,17.519364732325357
151,bridegroom,17.412645158381522
152,marriage,17.412645158381522
153,teaching,17.412645158381522
154,44,17.179701780479732
155,43,17.179701780479732
156,coming,17.081850579244858
157,find,17.081850579244858
158,betray,17.064665750814555
159,eunuchs,17.064665750814555
160,young,16.952440705874515
161,secret,16.9092013282612
162,deny,16.840784079555572
163,adultery,16.60035492734325
164,sitting,16.60035492734325
165,opened,16.53657110464043
166,gift,16.213110312344163
167,goeth,15.936348734152379
168,touched,15.821775481571677
169,coasts,15.821775481571677
170,gather,15.671064596645802
171,woman,15.671064596645802
