,term,score
0,zion,21.34331347801275
1,jacob,19.838447615016918
2,inhabitant,16.293912351678262
3,daughter,13.19475646321242
4,jerusalem,12.750197653973933
5,midst,11.736184008860782
6,remnant,11.679576488216904
7,transgression,10.800850908337715
8,mountain,8.853527074529099
9,prophesy,8.835841383347901
10,heritage,8.706322579190761
11,hire,7.919229785788288
12,pieces,7.786384325477936
13,doings,7.489927254866268
14,cut,7.455602763433291
15,samaria,7.296311691453555
16,assyrian,7.190509413913731
17,tread,7.1144378260042505
18,thousands,7.1144378260042505
19,rod,7.1144378260042505
20,images,6.942962584484404
21,troops,6.825866300325822
22,micah,6.825866300325822
23,judah,6.59737823160621
24,arise,6.375098826986966
25,mountains,6.375098826986966
26,gather,6.268425838658321
27,devise,6.25050215542226
28,judge,6.164523893045278
29,controversy,6.014936084109493
30,treadeth,6.014936084109493
31,deceitful,6.014936084109493
32,divine,6.014936084109493
33,asketh,6.014936084109493
34,nations,5.964482210746633
35,desolate,5.839788244108452
36,shame,5.726567260159911
37,flock,5.726567260159911
38,heads,5.726567260159911
39,gath,5.613594693185191
40,confounded,5.613594693185191
41,skin,5.613594693185191
42,feed,5.512190368213476
43,plead,5.439571939205932
44,assemble,5.439571939205932
45,war,5.410485713186432
46,enemy,5.31211624471746
47,travail,5.131270579551415
48,forest,5.131270579551415
49,pluck,5.131270579551415
50,execute,4.993284836577512
51,assyria,4.993284836577512
52,foundations,4.993284836577512
53,prophets,4.948033673704657
54,field,4.948033673704657
55,gate,4.948033673704657
56,graven,4.86420779430237
57,nation,4.863521042804568
58,houses,4.781324120240225
59,enemies,4.781324120240225
60,cities,4.781324120240225
61,gathered,4.781324120240225
62,harlot,4.7429585506695
63,cry,4.701319378993741
64,places,4.701319378993741
65,iniquity,4.701319378993741
66,upright,4.628641722989602
67,beat,4.628641722989602
68,sins,4.54743949583109
69,perished,4.520507280449051
70,averse,4.511545438831021
71,entrances,4.511545438831021
72,pardoneth,4.511545438831021
73,haughtily,4.511545438831021
74,plantings,4.511545438831021
75,zaanan,4.511545438831021
76,moresheth,4.511545438831021
77,solitarily,4.511545438831021
78,chop,4.511545438831021
79,hires,4.511545438831021
80,grapegleanings,4.511545438831021
81,saphir,4.511545438831021
82,maroth,4.511545438831021
83,aphrah,4.511545438831021
84,scant,4.511545438831021
85,sin,4.473361658059975
86,deliver,4.401069003322793
87,fruit,4.401069003322793
88,mercy,4.401069003322793
89,sword,4.330477511092211
90,dwell,4.330477511092211
91,beth,4.320340363335086
92,mourning,4.320340363335086
93,dark,4.2273003320653
94,cover,4.2273003320653
95,violence,4.2273003320653
96,naked,4.138396806923633
97,standing,4.138396806923633
98,hills,4.138396806923633
99,halted,4.106080330722856
100,humbly,4.106080330722856
101,dishonoureth,4.106080330722856
102,doleful,4.106080330722856
103,halteth,4.106080330722856
104,tarrieth,4.106080330722856
105,securely,4.106080330722856
106,sharper,4.106080330722856
107,morasthite,4.106080330722856
108,breaker,4.106080330722856
109,deliverest,4.106080330722856
110,ezel,4.106080330722856
111,wrap,4.106080330722856
112,cleft,4.106080330722856
113,retaineth,4.106080330722856
114,woe,4.053277578086041
115,removed,3.9716335890455308
116,lion,3.893192162738968
117,declare,3.893192162738968
118,soothsayers,3.8183982582710754
119,poll,3.8183982582710754
120,justly,3.8183982582710754
121,witchcrafts,3.8183982582710754
122,flay,3.8183982582710754
123,pruninghooks,3.8183982582710754
124,pangs,3.8183982582710754
125,fortified,3.8183982582710754
126,nimrod,3.8183982582710754
127,hissing,3.8183982582710754
128,perplexity,3.8183982582710754
129,brier,3.8183982582710754
130,wail,3.8183982582710754
131,achzib,3.8183982582710754
132,late,3.8183982582710754
133,plowshares,3.8183982582710754
134,fields,3.7449762184315243
135,wait,3.674793578808984
136,princes,3.6069904754576214
137,bones,3.6069904754576214
138,inhabitants,3.6069904754576214
139,mischievous,3.5952547069568657
140,incurable,3.5952547069568657
141,balak,3.5952547069568657
142,firstripe,3.5952547069568657
143,cord,3.5952547069568657
144,practise,3.5952547069568657
145,caldron,3.5952547069568657
146,weights,3.5952547069568657
147,cluster,3.5952547069568657
148,owls,3.5952547069568657
149,delicate,3.5952547069568657
150,carefully,3.5952547069568657
151,ephratah,3.5952547069568657
152,thresh,3.5952547069568657
153,seers,3.5952547069568657
154,mareshah,3.5952547069568657
155,dust,3.54141082981164
156,teach,3.4779134331824793
157,sit,3.4779134331824793
158,oil,3.4779134331824793
159,egypt,3.416370115848972
160,surely,3.416370115848972
161,reward,3.416370115848972
162,uttereth,3.412933150162911
163,miriam,3.412933150162911
164,teareth,3.412933150162911
165,ahab,3.412933150162911
166,smiting,3.412933150162911
167,lick,3.412933150162911
168,covet,3.412933150162911
169,steep,3.412933150162911
170,hoofs,3.412933150162911
171,omri,3.412933150162911
172,bald,3.412933150162911
173,behaved,3.412933150162911
174,plowed,3.412933150162911
175,return,3.356664189549609
176,sheep,3.356664189549609
177,kings,3.298689115803105
178,wicked,3.298689115803105
179,uprightly,3.2587824703356527
180,diviners,3.2587824703356527
181,pervert,3.2587824703356527
182,sheaves,3.2587824703356527
183,bozrah,3.2587824703356527
184,delighteth,3.2587824703356527
185,fold,3.2587824703356527
186,equity,3.2587824703356527
187,ahaz,3.2587824703356527
188,beor,3.2587824703356527
189,worms,3.2587824703356527
190,bite,3.2587824703356527
191,straitened,3.2587824703356527
192,presents,3.2587824703356527
193,shittim,3.2587824703356527
194,watchmen,3.2587824703356527
195,travaileth,3.2587824703356527
196,wilt,3.242347361869712
197,anger,3.187549413493483
198,mother,3.1342129193291606
199,woman,3.1342129193291606
200,thorn,3.12525107771113
201,olives,3.12525107771113
202,wailing,3.12525107771113
203,lachish,3.12525107771113
204,dragons,3.12525107771113
205,throw,3.12525107771113
206,fortress,3.12525107771113
207,jotham,3.12525107771113
208,adullam,3.12525107771113
209,falsehood,3.12525107771113
210,consecrate,3.12525107771113
211,baldness,3.12525107771113
212,showers,3.12525107771113
213,vintage,3.12525107771113
214,thyself,3.03162633055406
215,wearied,3.0074680420547466
216,goings,3.0074680420547466
217,subdue,3.0074680420547466
218,waiteth,3.0074680420547466
219,deaf,3.0074680420547466
220,balaam,3.0074680420547466
221,hedge,3.0074680420547466
222,mire,3.0074680420547466
223,bag,3.0074680420547466
224,counsels,3.0074680420547466
225,flow,3.0074680420547466
226,visitation,3.0074680420547466
227,pull,3.0074680420547466
228,depths,3.0074680420547466
229,howl,3.0074680420547466
230,righteousness,2.9822411053733164
231,blood,2.9340460022151955
232,hold,2.9340460022151955
233,lay,2.9340460022151955
234,contend,2.9021075263969207
235,counsellor,2.9021075263969207
236,riseth,2.9021075263969207
237,enlarge,2.9021075263969207
238,siege,2.9021075263969207
239,balances,2.9021075263969207
240,pain,2.9021075263969207
241,lament,2.9021075263969207
242,groves,2.9021075263969207
243,hunt,2.9021075263969207
244,stripped,2.9021075263969207
245,cheek,2.9021075263969207
246,holes,2.9021075263969207
247,ill,2.9021075263969207
248,soul,2.8869850073948076
249,afraid,2.8869850073948076
250,calves,2.8067973465925955
251,gilgal,2.8067973465925955
252,beds,2.8067973465925955
253,hezekiah,2.8067973465925955
254,lamentation,2.8067973465925955
255,aloud,2.8067973465925955
256,palaces,2.8067973465925955
257,move,2.8067973465925955
258,abhor,2.8067973465925955
259,lean,2.8067973465925955
260,roll,2.8067973465925955
261,guide,2.719785969602966
262,heir,2.719785969602966
263,majesty,2.719785969602966
264,consulted,2.719785969602966
265,heaps,2.719785969602966
266,fury,2.719785969602966
267,spears,2.719785969602966
268,carmel,2.719785969602966
269,robe,2.719785969602966
270,parable,2.719785969602966
271,discover,2.719785969602966
272,crieth,2.6397432619294294
273,err,2.6397432619294294
274,mouths,2.6397432619294294
275,valleys,2.6397432619294294
276,principal,2.6397432619294294
277,lehem,2.6397432619294294
