,term,score
0,cankerworm,12.318240992168567
1,nineveh,9.37575323313339
2,revengeth,9.023090877662042
3,nahum,9.023090877662042
4,torches,8.212160661445711
5,chariots,7.9432671780910615
6,lion,7.786384325477936
7,corpses,7.636796516542151
8,witchcrafts,7.636796516542151
9,cut,7.455602763433291
10,languisheth,7.190509413913731
11,lions,6.942962584484404
12,fortify,6.825866300325822
13,prey,6.780760920673576
14,rivers,6.4805105450026295
15,stumble,6.25050215542226
16,whoredoms,6.25050215542226
17,pieces,5.839788244108452
18,locusts,5.804215052793841
19,devour,5.726567260159911
20,excellency,5.131270579551415
21,flee,5.124555173773458
22,vile,4.993284836577512
23,holds,4.993284836577512
24,wicked,4.948033673704657
25,shaken,4.86420779430237
26,enemies,4.781324120240225
27,mountains,4.781324120240225
28,drunken,4.7429585506695
29,young,4.623392919783958
30,utter,4.520507280449051
31,jumping,4.511545438831021
32,tabering,4.511545438831021
33,lubim,4.511545438831021
34,feedingplace,4.511545438831021
35,huzzab,4.511545438831021
36,imagineth,4.511545438831021
37,recount,4.511545438831021
38,emptiers,4.511545438831021
39,overrunning,4.511545438831021
40,justle,4.511545438831021
41,wellfavoured,4.511545438831021
42,rattling,4.511545438831021
43,pransing,4.511545438831021
44,elkoshite,4.511545438831021
45,worthies,4.511545438831021
46,lionesses,4.511545438831021
47,folden,4.511545438831021
48,streets,4.417920691673951
49,sword,4.330477511092211
50,waste,4.2273003320653
51,hosts,4.2273003320653
52,dry,4.138396806923633
53,populous,4.106080330722856
54,bruit,4.106080330722856
55,acquit,4.106080330722856
56,reserveth,4.106080330722856
57,terribly,4.106080330722856
58,dasheth,4.106080330722856
59,bemoan,4.106080330722856
60,whip,4.106080330722856
61,strangled,4.106080330722856
62,horseman,4.106080330722856
63,gazingstock,4.106080330722856
64,ravin,4.106080330722856
65,rampart,4.106080330722856
66,munition,4.106080330722856
67,loins,4.053277578086041
68,noise,3.9716335890455308
69,gates,3.893192162738968
70,flieth,3.8183982582710754
71,situate,3.8183982582710754
72,eater,3.8183982582710754
73,infinite,3.8183982582710754
74,furniture,3.8183982582710754
75,whelp,3.8183982582710754
76,rebuketh,3.8183982582710754
77,drieth,3.8183982582710754
78,brickkiln,3.8183982582710754
79,publisheth,3.8183982582710754
80,image,3.7449762184315243
81,spoil,3.6069904754576214
82,dashed,3.5952547069568657
83,quake,3.5952547069568657
84,spoileth,3.5952547069568657
85,furious,3.5952547069568657
86,melteth,3.5952547069568657
87,sunder,3.5952547069568657
88,filth,3.5952547069568657
89,marred,3.5952547069568657
90,firstripe,3.5952547069568657
91,wall,3.54141082981164
92,dust,3.54141082981164
93,trees,3.416370115848972
94,drunkards,3.412933150162911
95,clap,3.412933150162911
96,skirts,3.412933150162911
97,hedges,3.412933150162911
98,slumber,3.412933150162911
99,comforters,3.412933150162911
100,dissolved,3.412933150162911
101,glittering,3.412933150162911
102,waters,3.356664189549609
103,grasshoppers,3.2587824703356527
104,selleth,3.2587824703356527
105,bloody,3.2587824703356527
106,morter,3.2587824703356527
107,bruise,3.2587824703356527
108,helpers,3.2587824703356527
109,crowned,3.2587824703356527
110,lightnings,3.2587824703356527
111,emptied,3.2587824703356527
112,blackness,3.2587824703356527
113,multitude,3.187549413493483
114,anger,3.187549413493483
115,doves,3.12525107771113
116,burst,3.12525107771113
117,departeth,3.12525107771113
