,term,score
0,repaired,114.05738646174784
1,levites,101.97360883939425
2,jeshua,61.119330018266716
3,jerusalem,60.56343885637618
4,wall,60.203984106797876
5,tobiah,57.485124630119984
6,priests,56.077714968652785
7,judah,46.18164762124347
8,ezra,45.8207790992529
9,sanballat,45.11545438831021
10,singers,45.1120206308212
11,gate,44.532303063341914
12,meshullam,44.368130952117845
13,eliashib,42.00238084098183
14,gavest,36.08961650465696
15,nethinims,34.36558432443968
16,porters,34.12933150162911
17,twenty,33.704785965883715
18,nehemiah,32.848642645782846
19,shemaiah,32.587824703356524
20,thousand,30.802299937762264
21,bani,28.762037655654925
22,sabbath,28.716484495880678
23,maaseiah,27.30346520130329
24,gates,27.252345139172775
25,villages,26.507524150043704
26,forty,25.24893332820335
27,jedaiah,25.16678294869806
28,kadmiel,24.636481984337134
29,sherebiah,24.636481984337134
30,shebaniah,24.636481984337134
31,jews,24.29856380420673
32,dwelt,23.01917039377566
33,harim,22.91038954962645
34,zechariah,22.81147729234957
35,hodijah,22.557727194155106
36,nobles,21.888935074360667
37,rulers,21.843984739750418
38,hashabiah,21.571528241741195
39,chief,21.441479252720182
40,doors,21.136501660326502
41,part,21.07525785215313
42,didst,20.597369201373382
43,mattaniah,20.47759890097747
44,tower,20.34228276202073
45,hanan,19.552694822013915
46,hananiah,19.552694822013915
47,ruler,19.465960813694842
48,builded,19.441531635007888
49,daughters,19.128523882503636
50,booths,19.091991291355377
51,scribe,19.03850178722076
52,fifty,19.02285149429385
53,asaph,18.75150646626678
54,joiakim,18.046181755324085
55,joiada,18.046181755324085
56,hashub,18.046181755324085
57,azariah,18.04480825232848
58,priest,17.389567165912396
59,year,17.081850579244858
60,tithes,16.840784079555572
61,joiarib,16.424321322891423
62,tirshatha,16.424321322891423
63,binnui,16.424321322891423
64,meremoth,16.424321322891423
65,locks,16.293912351678262
66,cities,15.937747067467416
67,stood,15.937747067467416
68,piece,15.821775481571677
69,akkub,15.273593033084301
70,overseer,15.273593033084301
71,pedaiah,15.273593033084301
72,zaccur,15.273593033084301
73,beth,15.121191271672803
74,appointed,15.104988852973241
75,portions,15.037340210273733
76,zadok,15.037340210273733
77,book,14.844101021113971
78,david,14.699174315235936
79,lands,14.59262338290711
80,immer,14.381018827827463
81,malchiah,14.381018827827463
82,month,14.186471523301144
83,amariah,13.651732600651645
84,ammonite,13.651732600651645
85,horonite,13.534636316493064
86,meshezabeel,13.534636316493064
87,geshem,13.534636316493064
88,bakbukiah,13.534636316493064
89,jaddua,13.534636316493064
90,bunni,13.534636316493064
91,commandments,13.426656758198437
92,letters,13.198716309647146
93,seraiah,13.03512988134261
94,chambers,12.828176448878537
95,hilkiah,12.50100431084452
96,firstfruits,12.48321209144378
97,artaxerxes,12.318240992168567
98,hashum,12.318240992168567
99,ophel,12.318240992168567
100,micha,12.318240992168567
101,ater,12.318240992168567
102,parosh,12.318240992168567
103,rehum,12.318240992168567
104,bigvai,12.318240992168567
105,koz,12.318240992168567
106,henadad,12.318240992168567
107,baruch,12.318240992168567
108,pahath,12.318240992168567
109,commandedst,12.318240992168567
110,corn,12.172697016138677
111,solomon,12.160519485755925
112,chamber,12.160519485755925
