,term,score
0,offering,429.95084872065115
1,moses,401.4234886122542
2,congregation,277.2725860638834
3,aaron,239.51940680880975
4,tabernacle,216.8503504276032
5,families,192.08982130211476
6,tribe,189.86130577886013
7,family,189.70410397779244
8,numbered,171.74346748733078
9,balaam,159.39580622890156
10,thousand,150.76915232694162
11,balak,143.81018827827464
12,levites,142.288756520085
13,priest,125.20488359456925
14,burnt,116.44020095658486
15,spake,111.83404145149936
16,shekels,104.345088114729
17,pitched,100.05977630125258
18,ram,97.91229490570677
19,service,95.11425747146926
20,camp,92.77633452515296
21,lambs,92.67039924920554
22,eleazar,92.39101416753003
23,year,88.82562301207327
24,upward,87.38248464010647
25,bullock,87.11152764367117
26,meat,84.76220352937257
27,inheritance,83.91660473874023
28,offer,83.22315450057353
29,goats,79.10887740785839
30,sanctuary,77.82732470883792
31,number,73.8466121700914
32,flour,73.43422117928007
33,sin,73.06490708164625
34,offerings,72.13980950915243
35,wilderness,71.71986180360337
36,lamb,69.90598771208516
37,fifty,69.75045547907746
38,rams,69.42962584484404
39,mingled,69.2721528239441
40,names,67.6368053130448
41,separation,64.91277039060829
42,moab,64.85244124937665
43,tenth,63.28710192628671
44,commanded,63.186369903714095
45,month,62.825802460333634
46,deals,61.59120496084284
47,heave,61.119330018266716
48,reuben,60.944258054335336
49,oil,60.86348508069339
50,kid,58.94274427844451
51,twenty,58.04713138568863
52,years,57.73970014789615
53,charge,57.71184760732194
54,cities,57.375889442882695
55,war,55.90835236959313
56,bullocks,55.43460850051802
57,gad,55.43460850051802
58,host,54.71924730416155
59,spoon,54.138545265972255
60,hor,53.37904429939712
61,manasseh,52.42949078406388
62,shekel,52.237935475144575
63,korah,51.193997252443666
64,atonement,51.12695671493069
65,generations,49.80106478202975
66,charger,49.63917735752398
67,egypt,49.53736667981009
68,prince,48.63933093703249
69,die,48.63521042804568
70,offered,47.772316524516796
71,savour,47.51537871472973
72,incense,47.46532644471503
73,princes,46.89087618094908
74,bowl,46.738311190439255
75,silver,46.19176011831692
76,border,45.673786274023605
77,journeyed,45.1120206308212
78,continual,44.8756354528003
79,side,44.41281150603663
80,jordan,44.38665348668565
81,sacrifice,43.878980870608245
82,departed,42.70462644811215
83,altar,42.49692995773968
84,removed,41.702152684978074
85,cloud,41.38396806923633
86,kohath,40.95519780195494
87,vow,40.796789544044486
88,blemish,40.62950536955689
89,merari,40.62826401024469
90,oxen,40.532775780860405
91,young,40.0694053047943
92,hin,39.547801776525525
93,seventy,39.34345464541162
94,standard,38.183982582710755
95,29,38.14259802879754
96,encamped,37.72739784315997
97,30,37.61055503194993
98,gershon,37.542264651792024
99,28,37.5308050961325
100,died,37.184813713022216
101,sweet,36.9853255460202
102,unclean,36.9853255460202
103,covering,36.956405667012014
104,31,36.656818255175054
105,firstborn,36.479498202774366
106,sinai,36.08961650465696
107,woman,36.04344857228535
108,gathered,35.06304354842832
109,levi,34.71481292242202
110,soul,34.64382008873769
111,forty,34.2664095168474
112,curse,34.2664095168474
113,32,34.044647299631976
114,asher,33.681568159111144
115,33,33.56664189549609
116,stranger,33.09213338328123
117,nun,33.08214846260221
118,murderer,33.08214846260221
119,34,33.04017761523355
120,plague,32.45635143775383
121,threescore,32.45054780757283
122,ass,32.402552725013145
123,twelve,31.832297856667957
124,armies,31.617350662965407
125,pitch,31.2525107771113
126,kadesh,31.2525107771113
127,refuge,30.874770812518552
128,rod,30.82923057935175
129,mount,30.802299937762264
130,canaan,30.787623477308486
131,miriam,30.7163983514662
132,eliab,30.7163983514662
133,dathan,30.547186066168603
134,zelophehad,30.547186066168603
135,captain,30.086171199432414
136,amorites,29.959709019465073
137,fourteen,29.917645665632623
138,issachar,29.917645665632623
139,commandment,29.822411053733163
140,wherewith,29.688202042227942
141,35,29.562264182051074
142,caleb,29.329042233020875
143,possession,29.18524676581422
144,part,29.181126256827408
145,fine,28.96877764846543
146,husband,28.85592380366097
147,skins,28.762037655654925
148,abiram,28.762037655654925
149,enan,28.742562315059992
150,ten,28.687944721441347
151,door,28.53164561117168
152,dan,28.457751304017002
153,naphtali,28.22198818753278
154,ephraim,28.08221236167806
155,defiled,28.08221236167806
156,joshua,28.067973465925956
157,clean,27.801435123318715
158,cattle,27.252345139172775
159,zebulun,27.19785969602966
160,golden,27.123043682694306
161,eliasaph,27.069272632986127
162,sihon,27.06721237849272
163,passover,26.753142868663033
164,badgers,26.72878780789753
165,ammihud,26.72878780789753
166,zin,26.72878780789753
167,simeon,26.397432619294293
168,plains,26.118967737572287
169,36,26.084350748868594
170,seventh,25.81561832879595
171,vessels,25.72355505166289
172,surely,25.62277586886729
173,kohathites,25.16678294869806
174,jephunneh,25.16678294869806
175,goat,25.00200862168904
176,tents,24.86279004246978
177,camps,24.636481984337134
178,nazarite,24.636481984337134
179,servile,24.636481984337134
180,revenger,24.636481984337134
181,dwell,24.539372562855863
