,term,score
0,esau,20.314752684778444
1,shouldest,13.361990273706459
2,possess,12.159832734258122
3,mount,9.727042085609137
4,calamity,9.02240412616424
5,heathen,7.635423013546548
6,obadiah,6.517564940671305
7,cut,5.964482210746633
8,jacob,5.410485713186432
9,zion,4.7429585506695
10,sepharad,4.511545438831021
11,crossway,4.511545438831021
12,distress,4.417920691673951
13,edom,4.2273003320653
14,deceived,4.2273003320653
15,zarephath,4.106080330722856
16,confederacy,4.106080330722856
17,saviours,4.106080330722856
18,foreigners,4.106080330722856
19,grapegatherers,4.106080330722856
20,south,3.893192162738968
21,stoodest,3.8183982582710754
22,entered,3.817711506773274
23,fields,3.7449762184315243
24,captivity,3.6069904754576214
25,ambassador,3.5952547069568657
26,understanding,3.54141082981164
27,clefts,3.412933150162911
28,looked,3.298689115803105
29,rumour,3.2587824703356527
30,stolen,3.2587824703356527
31,forces,3.2587824703356527
32,proudly,3.2587824703356527
33,jerusalem,3.187549413493483
34,teman,3.12525107771113
35,thieves,3.0074680420547466
36,kindle,3.0074680420547466
37,remaining,2.9021075263969207
38,searched,2.9021075263969207
39,nest,2.9021075263969207
40,possessions,2.8067973465925955
41,stubble,2.8067973465925955
42,robbers,2.8067973465925955
43,dismayed,2.8067973465925955
44,canaanites,2.719785969602966
45,dwellest,2.6397432619294294
46,hidden,2.6397432619294294
47,deliverance,2.5656352897757073
48,eagle,2.5656352897757073
49,swallow,2.5656352897757073
50,exalt,2.5656352897757073
51,lots,2.432103897151185
52,samaria,2.432103897151185
53,wast,2.37147927533475
54,flame,2.37147927533475
55,grapes,2.37147927533475
56,wound,2.37147927533475
57,pride,2.314320861494801
58,substance,2.314320861494801
59,drunk,2.2602536402245255
60,prevailed,2.2602536402245255
61,captive,2.2602536402245255
62,philistines,2.2602536402245255
63,holiness,2.2089603458369753
64,ephraim,2.160170181667543
65,gilead,2.160170181667543
66,slaughter,2.160170181667543
67,habitation,2.11365016603265
68,cover,2.11365016603265
69,violence,2.11365016603265
70,plain,2.0691984034618165
71,benjamin,2.0266387890430204
72,vision,2.0266387890430204
73,joseph,2.0266387890430204
74,host,2.0266387890430204
75,border,1.9858167945227654
76,rock,1.9858167945227654
77,escape,1.946596081369484
78,gates,1.946596081369484
79,stranger,1.946596081369484
80,stars,1.946596081369484
81,continually,1.908855753386637
82,shame,1.908855753386637
83,rejoiced,1.908855753386637
84,battle,1.908855753386637
85,devour,1.908855753386637
86,strangers,1.908855753386637
87,destruction,1.908855753386637
88,remain,1.8724881092157621
89,affliction,1.837396789404492
90,despised,1.8034952377288107
91,small,1.8034952377288107
92,mountain,1.77070541490582
93,reward,1.708185057924486
94,greatly,1.708185057924486
95,side,1.708185057924486
96,return,1.6783320947748046
97,gate,1.6493445579015524
98,ground,1.6493445579015524
99,judah,1.6493445579015524
100,carried,1.621173680934856
101,sought,1.5937747067467416
102,stood,1.5937747067467416
103,arise,1.5937747067467416
104,rise,1.5937747067467416
105,cities,1.5937747067467416
106,judge,1.5411309732613194
107,bread,1.5411309732613194
108,leave,1.51581316527703
109,wise,1.51581316527703
110,thyself,1.51581316527703
111,kingdom,1.4434925036974038
112,pilgrims,0.0
113,pierce,0.0
114,pieces,0.0
115,pileser,0.0
116,pilgrimage,0.0
117,persecuted,0.0
118,pigeon,0.0
119,pierced,0.0
120,pileha,0.0
121,pile,0.0
122,pillar,0.0
123,piercing,0.0
124,piercings,0.0
125,pildash,0.0
126,piety,0.0
127,pilate,0.0
128,pigeons,0.0
129,pierceth,0.0
130,person,0.0
131,pillars,0.0
132,pilled,0.0
133,pipes,0.0
134,piram,0.0
135,pirathon,0.0
136,pirathonite,0.0
137,pisgah,0.0
138,perpetual,0.0
139,pisidia,0.0
140,pison,0.0
141,pispah,0.0
142,piss,0.0
143,pisseth,0.0
144,pit,0.0
145,pernicious,0.0
146,permitted,0.0
147,pitch,0.0
148,pipers,0.0
149,piped,0.0
150,perpetually,0.0
151,pin,0.0
152,pillow,0.0
153,pillows,0.0
154,persecute,0.0
155,pilneser,0.0
156,pilots,0.0
157,piltai,0.0
158,perplexity,0.0
159,pipe,0.0
160,perplexed,0.0
161,pine,0.0
162,pineth,0.0
163,pinnacle,0.0
164,pinon,0.0
165,pins,0.0
166,pining,0.0
167,philosophy,0.0
168,piece,0.0
169,petitions,0.0
170,pestilent,0.0
171,pestle,0.0
172,peter,0.0
173,pethahiah,0.0
174,pethor,0.0
175,pethuel,0.0
176,petition,0.0
177,persian,0.0
178,peulthai,0.0
179,pestilences,0.0
180,phalec,0.0
181,persia,0.0
182,phallu,0.0
183,phalti,0.0
184,phaltiel,0.0
185,phanuel,0.0
186,perseverance,0.0
187,pharaoh,0.0
188,persians,0.0
189,pestilence,0.0
190,pharez,0.0
191,pertained,0.0
192,persuade,0.0
193,persuaded,0.0
194,persuadest,0.0
195,persuadeth,0.0
196,persuading,0.0
197,persuasion,0.0
198,persis,0.0
199,pertain,0.0
200,pertaineth,0.0
201,perverting,0.0
202,pertaining,0.0
203,peruda,0.0
204,perverse,0.0
205,perversely,0.0
206,perverseness,0.0
207,pervert,0.0
208,perverted,0.0
209,perverteth,0.0
210,phares,0.0
211,pharisee,0.0
212,pictures,0.0
213,phurah,0.0
214,philistim,0.0
215,philistine,0.0
216,philologus,0.0
217,philosophers,0.0
218,persons,0.0
219,phinehas,0.0
220,phlegon,0.0
221,phrygia,0.0
222,phut,0.0
223,philippians,0.0
224,phuvah,0.0
225,phygellus,0.0
226,phylacteries,0.0
227,physician,0.0
228,physicians,0.0
229,pi,0.0
230,pick,0.0
231,persecutest,0.0
232,philistia,0.0
233,philippi,0.0
234,pharisees,0.0
235,phenice,0.0
236,pharosh,0.0
237,persecutors,0.0
238,pharpar,0.0
239,pharzites,0.0
240,phaseah,0.0
241,phebe,0.0
242,phelet,0.0
243,persecutor,0.0
244,persecutions,0.0
245,philip,0.0
246,phenicia,0.0
247,pitched,0.0
248,persecution,0.0
249,phichol,0.0
250,philadelphia,0.0
251,philemon,0.0
252,persecuting,0.0
253,philetus,0.0
254,pherah,0.0
255,100,0.0
256,pitcher,0.0
257,possessest,0.0
258,porch,0.0
259,porches,0.0
260,porcius,0.0
261,port,0.0
262,porter,0.0
263,porters,0.0
264,portion,0.0
265,portions,0.0
266,possessed,0.0
267,possesseth,0.0
268,pitchers,0.0
269,possessing,0.0
270,possession,0.0
271,possessor,0.0
272,possessors,0.0
273,post,0.0
274,posterity,0.0
275,posts,0.0
276,pot,0.0
277,potentate,0.0
278,poratha,0.0
279,populous,0.0
280,poplars,0.0
281,poplar,0.0
282,polluting,0.0
283,pollution,0.0
284,pollutions,0.0
285,pollux,0.0
286,pomegranate,0.0
287,pomegranates,0.0
288,pommels,0.0
289,pomp,0.0
290,ponder,0.0
291,pondered,0.0
292,pondereth,0.0
293,ponds,0.0
294,pontius,0.0
295,pontus,0.0
296,pool,0.0
297,pools,0.0
298,poor,0.0
299,poorer,0.0
300,poorest,0.0
301,poti,0.0
302,potiphar,0.0
303,pots,0.0
304,praetorium,0.0
305,praised,0.0
306,praises,0.0
307,praiseth,0.0
308,praising,0.0
309,pransing,0.0
310,pransings,0.0
311,prating,0.0
312,prayed,0.0
313,prayer,0.0
314,prayers,0.0
315,prayest,0.0
316,prayeth,0.0
317,praying,0.0
318,preach,0.0
319,preached,0.0
320,preacher,0.0
321,preachest,0.0
322,preacheth,0.0
323,preaching,0.0
324,praise,0.0
325,practised,0.0
326,potsherd,0.0
327,practise,0.0
328,potsherds,0.0
329,pottage,0.0
330,potter,0.0
331,potters,0.0
332,pound,0.0
333,pounds,0.0
334,pour,0.0
335,poured,0.0
336,pouredst,0.0
337,poureth,0.0
338,pouring,0.0
339,pourtray,0.0
340,pourtrayed,0.0
341,poverty,0.0
342,powder,0.0
343,powders,0.0
344,powerful,0.0
345,powers,0.0
346,practices,0.0
347,polluted,0.0
348,pollute,0.0
349,polls,0.0
350,plantation,0.0
351,planters,0.0
352,planteth,0.0
353,planting,0.0
354,plantings,0.0
355,plants,0.0
356,plat,0.0
357,plate,0.0
358,plates,0.0
359,platted,0.0
360,platter,0.0
361,play,0.0
362,played,0.0
363,playedst,0.0
364,player,0.0
365,players,0.0
366,playeth,0.0
367,playing,0.0
368,plea,0.0
369,plead,0.0
370,planted,0.0
371,plant,0.0
372,pleadeth,0.0
373,planks,0.0
374,pithom,0.0
375,pithon,0.0
376,pitied,0.0
377,pitieth,0.0
378,pitiful,0.0
379,pits,0.0
380,pity,0.0
381,places,0.0
382,plague,0.0
383,plagued,0.0
384,plagues,0.0
385,plainly,0.0
386,plainness,0.0
387,plains,0.0
388,plaister,0.0
389,plaistered,0.0
390,plaiting,0.0
391,planes,0.0
392,planets,0.0
393,pleaded,0.0
394,pleadings,0.0
395,polled,0.0
396,plowman,0.0
397,plowshares,0.0
398,pluck,0.0
399,plucked,0.0
400,plucketh,0.0
401,pluckt,0.0
402,plumbline,0.0
403,plummet,0.0
404,plunge,0.0
405,pochereth,0.0
406,poets,0.0
407,point,0.0
408,pointed,0.0
409,points,0.0
410,poison,0.0
411,pole,0.0
412,policy,0.0
413,polished,0.0
414,polishing,0.0
415,poll,0.0
416,plowmen,0.0
417,plowing,0.0
418,pleasant,0.0
419,ploweth,0.0
420,pleasantness,0.0
421,pleased,0.0
422,pleaseth,0.0
423,pleasing,0.0
424,pleasure,0.0
425,pleasures,0.0
426,pledge,0.0
427,pledges,0.0
428,pleiades,0.0
429,plenteous,0.0
430,plenteousness,0.0
431,plentiful,0.0
432,plentifully,0.0
433,plenty,0.0
434,plotteth,0.0
435,plough,0.0
436,plow,0.0
437,plowed,0.0
438,plowers,0.0
439,plantedst,0.0
440,peres,0.0
441,permit,0.0
442,overturned,0.0
443,overtake,0.0
444,overtaken,0.0
445,overtaketh,0.0
446,overthrew,0.0
447,overthrow,0.0
448,overthroweth,0.0
449,overthrown,0.0
450,overtook,0.0
451,overturn,0.0
452,overturneth,0.0
453,paltiel,0.0
454,overwhelm,0.0
455,overwhelmed,0.0
456,owe,0.0
457,owed,0.0
458,owest,0.0
459,oweth,0.0
460,owl,0.0
461,owls,0.0
462,owner,0.0
463,overspreading,0.0
464,overspread,0.0
465,oversight,0.0
466,overshadowed,0.0
467,overflow,0.0
468,overflowed,0.0
469,overfloweth,0.0
470,overflowing,0.0
471,overflown,0.0
472,overlaid,0.0
473,overlay,0.0
474,overlaying,0.0
475,overlived,0.0
476,overmuch,0.0
477,overpass,0.0
478,overpast,0.0
479,overplus,0.0
480,overran,0.0
481,overrunning,0.0
482,oversee,0.0
483,overseer,0.0
484,overseers,0.0
485,overshadow,0.0
486,owners,0.0
487,owneth,0.0
488,ox,0.0
489,painfulness,0.0
490,painted,0.0
491,paintedst,0.0
492,painting,0.0
493,pair,0.0
494,palace,0.0
495,palaces,0.0
496,palal,0.0
497,pale,0.0
