,term,score
0,philemon,13.534636316493064
1,jesus,13.361990273706459
2,christ,13.361990273706459
3,paul,9.485917101339
4,onesimus,8.212160661445711
5,bowels,6.780760920673576
6,prisoner,6.25050215542226
7,bonds,5.439571939205932
8,beloved,5.124555173773458
9,prayers,4.86420779430237
10,oweth,4.511545438831021
11,apphia,4.511545438831021
12,enjoin,4.511545438831021
13,receive,4.330477511092211
14,archippus,4.106080330722856
15,epaphras,4.106080330722856
16,wronged,4.106080330722856
17,fellowsoldier,4.106080330722856
18,fellowprisoner,4.106080330722856
19,fellowlabourers,4.106080330722856
20,fellowlabourer,4.106080330722856
21,lucas,4.106080330722856
22,albeit,4.106080330722856
23,saints,3.9716335890455308
24,partner,3.8183982582710754
25,acknowledging,3.8183982582710754
26,owest,3.8183982582710754
27,refresh,3.8183982582710754
28,marcus,3.8183982582710754
29,demas,3.8183982582710754
30,aristarchus,3.8183982582710754
31,faith,3.817711506773274
32,retained,3.5952547069568657
33,beseech,3.4779134331824793
34,specially,3.412933150162911
35,effectual,3.412933150162911
36,benefit,3.412933150162911
37,timothy,3.412933150162911
38,aged,3.412933150162911
39,obedience,3.2587824703356527
40,communication,3.2587824703356527
41,lodging,3.2587824703356527
42,repay,3.2587824703356527
43,grace,3.187549413493483
44,unprofitable,3.12525107771113
45,bold,3.12525107771113
46,necessity,3.12525107771113
47,joy,3.082261946522639
48,convenient,3.0074680420547466
49,dearly,3.0074680420547466
50,rome,3.0074680420547466
51,refreshed,2.9021075263969207
52,consolation,2.9021075263969207
53,profitable,2.8067973465925955
54,mention,2.496642418288756
55,count,2.432103897151185
56,willingly,2.432103897151185
57,account,2.37147927533475
58,salute,2.314320861494801
59,begotten,2.314320861494801
60,stead,2.2602536402245255
61,confidence,2.2602536402245255
62,hearing,2.2089603458369753
63,gospel,2.160170181667543
64,church,2.160170181667543
65,withal,2.11365016603265
66,epistle,2.0691984034618165
67,knowing,2.0691984034618165
68,ministered,2.0266387890430204
69,prepare,1.946596081369484
70,wrote,1.946596081369484
71,making,1.908855753386637
72,shouldest,1.908855753386637
73,season,1.77070541490582
74,amen,1.7389567165912396
75,trust,1.7389567165912396
76,departed,1.708185057924486
77,mind,1.6783320947748046
78,wilt,1.621173680934856
79,sake,1.5411309732613194
80,pits,0.0
81,piercing,0.0
82,pierceth,0.0
83,piercings,0.0
84,piety,0.0
85,pity,0.0
86,pitiful,0.0
87,pigeons,0.0
88,pilgrimage,0.0
89,pilate,0.0
90,pigeon,0.0
91,pileha,0.0
92,pitieth,0.0
93,pile,0.0
94,pildash,0.0
95,pileser,0.0
96,pin,0.0
97,pitied,0.0
98,piped,0.0
99,pipes,0.0
100,piram,0.0
101,pirathon,0.0
