,term,score
0,christ,72.5365186286922
1,jesus,41.994826574506014
2,gospel,19.441531635007888
3,abound,15.62625538855565
4,rejoice,15.411309732613194
5,philippians,13.534636316493064
6,epaphroditus,13.534636316493064
7,whatsoever,12.39493790434074
8,supply,12.318240992168567
9,mind,11.748324663423633
10,bonds,10.879143878411863
11,loss,9.776347411006958
12,faith,9.544278766933186
13,joy,9.246785839567917
14,furtherance,9.023090877662042
15,fellowship,8.706322579190761
16,state,8.420392039777786
17,likeminded,8.212160661445711
18,apprehended,8.212160661445711
19,count,7.296311691453555
20,reputation,7.190509413913731
21,longed,7.190509413913731
22,beware,7.1144378260042505
23,confident,6.825866300325822
24,finally,6.825866300325822
25,confidence,6.780760920673576
26,attained,6.517564940671305
27,careful,6.517564940671305
28,dearly,6.014936084109493
29,righteousness,5.964482210746633
30,timotheus,5.804215052793841
31,defence,5.804215052793841
32,prayer,5.617464327647286
33,conversation,5.613594693185191
34,cross,5.613594693185191
35,laboured,5.439571939205932
36,blameless,5.439571939205932
37,minded,5.439571939205932
38,care,5.279486523858859
39,resurrection,5.279486523858859
40,trust,5.216870149773719
41,form,5.131270579551415
42,learned,5.131270579551415
43,shortly,5.131270579551415
44,salvation,5.124555173773458
45,beloved,5.124555173773458
46,mark,4.86420779430237
47,body,4.863521042804568
48,grace,4.781324120240225
49,paul,4.7429585506695
50,preach,4.7429585506695
51,gain,4.7429585506695
52,send,4.701319378993741
53,salute,4.628641722989602
54,bowels,4.520507280449051
55,forgetting,4.511545438831021
56,syntyche,4.511545438831021
57,requests,4.511545438831021
58,vainglory,4.511545438831021
59,clement,4.511545438831021
60,concision,4.511545438831021
61,bishops,4.511545438831021
62,conformable,4.511545438831021
63,persecuting,4.511545438831021
64,euodias,4.511545438831021
65,yokefellow,4.511545438831021
66,waxing,4.511545438831021
67,moderation,4.511545438831021
68,desire,4.473361658059975
69,strife,4.417920691673951
70,church,4.320340363335086
71,service,4.2273003320653
72,touching,4.138396806923633
73,sincerely,4.106080330722856
74,sincere,4.106080330722856
75,win,4.106080330722856
76,reaching,4.106080330722856
77,confirmation,4.106080330722856
78,conflict,4.106080330722856
79,deacons,4.106080330722856
80,odour,4.106080330722856
81,absence,4.106080330722856
82,lowliness,4.106080330722856
83,fellowsoldier,4.106080330722856
84,fellowlabourers,4.106080330722856
85,flourished,4.106080330722856
86,naturally,4.106080330722856
87,prize,4.106080330722856
88,communicated,4.106080330722856
89,disputings,4.106080330722856
90,wellpleasing,4.106080330722856
91,apprehend,4.106080330722856
92,sorrow,4.053277578086041
93,saints,3.9716335890455308
94,comfort,3.893192162738968
95,abased,3.8183982582710754
96,whereto,3.8183982582710754
97,chiefly,3.8183982582710754
98,proof,3.8183982582710754
99,pretence,3.8183982582710754
100,thessalonica,3.8183982582710754
101,terrified,3.8183982582710754
102,striving,3.8183982582710754
103,approve,3.8183982582710754
104,harmless,3.8183982582710754
105,murmurings,3.8183982582710754
106,ensample,3.8183982582710754
107,sick,3.817711506773274
108,nigh,3.817711506773274
109,praise,3.7449762184315243
110,affliction,3.674793578808984
111,suffer,3.6069904754576214
112,hope,3.6069904754576214
113,earthly,3.5952547069568657
114,evident,3.5952547069568657
115,presently,3.5952547069568657
116,lovely,3.5952547069568657
117,communicate,3.5952547069568657
118,pharisee,3.5952547069568657
119,virtue,3.5952547069568657
120,carefully,3.5952547069568657
121,fast,3.54141082981164
122,labour,3.54141082981164
123,abide,3.4779134331824793
124,beseech,3.4779134331824793
125,amen,3.4779134331824793
126,true,3.416370115848972
127,greatly,3.416370115848972
128,press,3.412933150162911
129,supposing,3.412933150162911
130,highly,3.412933150162911
131,knee,3.412933150162911
132,supposed,3.412933150162911
133,esteem,3.412933150162911
134,earnest,3.412933150162911
135,accord,3.412933150162911
136,absent,3.412933150162911
137,thinketh,3.412933150162911
138,opportunity,3.412933150162911
139,perfect,3.356664189549609
140,vain,3.298689115803105
141,receiving,3.2587824703356527
142,followers,3.2587824703356527
143,betwixt,3.2587824703356527
144,sufferings,3.2587824703356527
145,caesar,3.2587824703356527
146,honest,3.2587824703356527
147,stock,3.2587824703356527
148,affairs,3.2587824703356527
149,contention,3.2587824703356527
150,attain,3.2587824703356527
151,needful,3.2587824703356527
152,fashioned,3.2587824703356527
153,knowledge,3.242347361869712
154,30,3.1342129193291606
155,sacrifice,3.1342129193291606
156,wot,3.12525107771113
157,hebrews,3.12525107771113
158,doubtless,3.12525107771113
159,reveal,3.12525107771113
160,strengtheneth,3.12525107771113
161,perdition,3.12525107771113
162,robbery,3.12525107771113
163,philippi,3.12525107771113
164,necessity,3.12525107771113
165,bold,3.12525107771113
166,received,3.03162633055406
167,saint,3.0074680420547466
168,token,3.0074680420547466
169,lacked,3.0074680420547466
170,expectation,3.0074680420547466
171,subdue,3.0074680420547466
172,boldness,3.0074680420547466
173,abundant,3.0074680420547466
174,lights,3.0074680420547466
175,rome,3.0074680420547466
