,term,score
0,wicked,146.79166565323817
1,fool,114.23101072332456
2,wise,100.04366890828398
3,wisdom,99.21942662784257
4,understanding,95.61809240491428
5,righteous,83.22107255611125
6,lips,80.17194164223875
7,instruction,78.13127694277824
8,knowledge,68.08929459926395
9,whoso,65.666805223082
10,poor,64.91103220113047
11,soul,54.852715140501346
12,simple,50.33356589739612
13,fools,50.15512197665916
14,reproof,49.63917735752398
15,froward,45.62295458469914
16,abomination,45.20507280449051
17,ways,43.958581793033865
18,scorner,41.060803307228554
19,keepeth,40.31514768069075
20,poverty,39.547801776525525
21,woman,39.17766149161451
22,slothful,37.542264651792024
23,neighbour,37.44976218431524
24,upright,37.02913378391682
25,favour,33.8184026565224
26,maketh,33.704785965883715
27,prudent,33.681568159111144
28,28,33.200327585040284
29,folly,32.45635143775383
30,riches,31.832297856667957
31,paths,31.676919143153153
32,tongue,31.337546600129496
33,righteousness,31.313531606419822
34,loveth,30.925444841717656
35,strife,30.925444841717656
36,rich,30.541692054186193
37,friend,30.242382543345606
38,delight,29.959709019465073
39,despiseth,29.329042233020875
40,hateth,29.02107526396921
41,foolish,28.716484495880678
42,destruction,28.632836300799557
43,honour,27.09417001469461
44,sluggard,27.069272632986127
45,giveth,26.723980547412918
46,shame,26.723980547412918
47,29,26.40641401993676
48,bringeth,26.346304257559265
49,mischief,26.08627202868225
50,hideth,26.07025976268522
51,foolishness,26.07025976268522
52,established,25.81561832879595
53,30,25.073703354633285
54,heareth,24.86279004246978
55,walketh,24.86279004246978
56,perverse,24.478073726426693
57,findeth,24.478073726426693
58,31,23.906620601201123
59,speaketh,23.829801534273184
60,wrath,23.472368017721564
61,seeketh,23.143208614948012
62,getteth,22.91038954962645
63,sleep,22.906269040639643
64,tendeth,22.557727194155106
65,conceit,22.557727194155106
66,causeth,22.454378772740764
67,counsel,22.206405753018316
68,depart,22.206405753018316
69,find,22.206405753018316
70,mother,21.939490435304123
71,diligent,21.87675754397791
72,false,21.843984739750418
73,bread,21.575833625658472
74,discretion,21.571528241741195
75,ear,21.412556895064323
76,rod,21.34331347801275
77,transgressors,21.052276294383226
78,fall,20.538322015506367
79,talebearer,20.530401653614277
80,unpunished,20.530401653614277
81,pursueth,20.530401653614277
82,flattereth,20.530401653614277
83,witness,20.49822069509383
84,strange,20.21136468344941
85,proud,19.97313934631005
86,stranger,19.465960813694842
87,satisfied,19.45683117720948
88,transgression,19.441531635007888
89,understand,19.08855753386637
90,wickedness,18.790035637169346
91,gold,18.76540254806625
92,path,18.75150646626678
93,substance,18.51456689195841
94,rejoice,18.493571679135833
95,deceit,18.478202833506007
96,deceitful,18.04480825232848
97,increaseth,18.04480825232848
98,answer,17.832910490283417
99,32,17.832910490283417
100,fruit,17.604276013291173
101,silver,17.321910044368845
102,hate,17.179701780479732
103,food,17.024727280058293
104,filled,16.952440705874515
105,forsake,16.9092013282612
106,33,16.783320947748045
107,lies,16.60035492734325
108,kings,16.493445579015525
109,overthroweth,16.424321322891423
110,covereth,16.318715817617793
111,correction,16.293912351678262
112,surety,16.293912351678262
113,lying,16.213110312344163
114,hell,16.20024603046361
115,goeth,15.936348734152379
116,soweth,15.62625538855565
117,lion,15.572768650955872
118,sweet,15.572768650955872
119,snare,15.462722420858828
120,turneth,15.393811738654243
121,void,15.393811738654243
122,deviseth,15.273593033084301
123,rubies,15.273593033084301
124,contentions,15.273593033084301
125,strength,15.1581316527703
126,preserve,15.037340210273733
127,expectation,15.037340210273733
128,health,15.037340210273733
129,feareth,15.037340210273733
130,calamity,15.037340210273733
131,happy,14.979854509732537
132,feet,14.911205526866581
133,desire,14.911205526866581
134,eye,14.79555116222855
135,pleasant,14.79555116222855
136,increase,14.699174315235936
137,deliver,14.670230011075978
