,term,score
0,psalm,841.2896014279065
1,praise,299.5980974745219
2,selah,271.10627633724636
3,musician,248.13499913570615
4,soul,190.5410104880573
5,david,161.69091746759528
6,wicked,148.4410102111397
7,sing,147.9555116222855
8,mercy,146.70230011075978
9,endureth,129.1126779432594
10,enemies,129.09575124648606
11,strength,112.17017423050021
12,song,109.44467537180333
13,salvation,107.61565864924262
14,righteousness,105.86955924075274
15,chief,95.66198435829004
16,righteous,92.46785839567917
17,zion,87.74473318738575
18,bless,87.37593895900167
19,trust,86.94783582956198
20,rejoice,84.76220352937257
21,deliver,80.68626506091788
22,works,80.68626506091788
23,lovingkindness,80.18636342369258
24,iniquity,78.35532298322902
25,testimonies,78.19416909342341
26,precepts,75.50034884609418
27,trouble,73.02703625941473
28,heathen,72.5365186286922
29,blessed,71.88412705427228
30,wilt,69.71046828019881
31,praises,68.75552370964486
32,heavens,67.81931194705834
33,waters,63.776619601442576
34,prayer,63.66459571333591
35,statutes,63.28710192628671
36,poor,63.20284714320598
37,judgments,62.0759521038545
38,jacob,61.318838082779564
39,upright,60.17234239886483
40,maschil,58.650090704803276
41,save,58.15370155477967
42,degrees,57.27597387406613
43,glad,55.64661493091967
44,hate,53.447961094825835
45,dwell,51.96573013310653
46,forget,51.31270579551415
47,needy,51.12695671493069
48,refuge,50.52235223866672
49,lips,49.630249588052564
50,tongue,49.48033673704657
51,quicken,49.27296396867427
52,ear,48.6649020342371
53,joyful,48.119488672875946
54,faithfulness,47.78106410228076
55,continually,47.721393834665925
56,rock,47.65960306854637
57,reproach,47.59156327962178
58,cry,47.01319378993741
59,commandments,46.99329865369453
60,lift,46.61269214798947
61,enemy,46.03834078755132
62,preserve,45.1120206308212
63,generations,45.05810623136025
64,declare,44.77170987149813
65,wait,44.09752294570781
66,workers,43.53161289595381
67,teach,43.47391791478099
68,merciful,42.6866269560255
69,ashamed,42.49692995773968
70,cut,41.75137547522643
71,judge,41.610536278055626
72,wrath,41.076644031012734
73,cried,40.726224542833855
74,goodness,40.68456552404146
75,proud,39.9462786926201
76,anger,39.84436766866854
77,saints,39.716335890455305
78,hope,39.676895230033836
79,kings,39.58426938963726
80,wondrous,39.547801776525525
81,harp,39.097084546711706
82,exalted,38.883063270015775
83,mercies,38.424311883816934
84,moved,38.17711506773274
85,hosts,38.0457029885877
86,hide,37.73051909593254
87,korah,37.542264651792024
88,asaph,37.50301293253356
89,delight,37.44963627433134
90,vanity,37.44963627433134
91,congregation,37.245571262312694
92,shield,37.02913378391682
93,wilderness,36.656818255175054
94,covenant,36.51809104841603
95,broken,36.28558027383416
96,shame,36.2682593143461
97,overwhelmed,36.09236351064817
98,generation,35.93205282255505
99,afflicted,35.93205282255505
100,feet,35.7868932644798
101,maketh,35.57727407509948
102,hills,35.17637285885088
103,call,34.86370280137169
104,thyself,34.86370280137169
105,remembered,34.452859413731346
106,sanctuary,34.04945456011659
107,everlasting,33.704785965883715
108,persecute,33.08214846260221
109,nations,32.80465215910648
110,princes,32.46291427911859
111,greatly,32.455516100565234
112,deep,32.402552725013145
113,world,31.888309800721288
114,mountains,31.875494134934833
115,didst,31.832297856667957
116,ways,31.83207647081763
117,noise,31.773068712364246
118,trusted,31.676919143153153
119,pit,31.643550963143355
120,compassed,31.617350662965407
121,arrows,31.617350662965407
122,mischief,30.82923057935175
123,presence,30.802299937762264
124,psaltery,30.547186066168603
125,triumph,30.547186066168603
126,wonders,30.242382543345606
127,throne,29.959809747452194
128,meditate,29.329042233020875
129,incline,29.329042233020875
130,joy,29.28148849196507
131,counsel,29.03914598471626
132,surely,29.03914598471626
133,heritage,29.02107526396921
134,perish,28.53164561117168
135,awake,28.457751304017002
136,places,28.207916273962446
137,worship,28.087321638236432
138,confounded,28.067973465925956
139,hill,27.771850337937614
140,morning,27.74035751870375
141,sake,27.74035751870375
142,wind,27.56095184106738
143,favour,27.47745215842445
144,anointed,27.47745215842445
145,secret,27.47745215842445
146,habitation,27.47745215842445
147,makest,27.19785969602966
148,iniquities,27.123043682694306
149,jerusalem,27.09417001469461
150,arise,27.09417001469461
151,rise,27.09417001469461
152,neginoth,27.069272632986127
153,michtam,27.069272632986127
154,meditation,27.069272632986127
155,bow,27.05242856593216
156,bones,27.05242856593216
157,inheritance,26.853313516396874
158,desire,26.840169948359847
159,midst,26.40641401993676
160,lo,26.38951292642484
161,shadow,26.346304257559265
162,floods,26.118967737572287
163,oppression,26.118967737572287
164,defence,26.118967737572287
165,sword,25.982865066553266
166,28,25.982865066553266
167,consumed,25.81561832879595
168,darkness,25.76882380970951
169,egypt,25.62277586886729
170,multitude,25.500395307947866
171,thoughts,25.457529476442815
172,sin,25.34904939567319
173,wonderful,25.26117611933336
174,covered,25.24893332820335
175,trusteth,25.00200862168904
176,grass,24.830380841541796
177,vain,24.740168368523285
178,majesty,24.478073726426693
179,satisfied,24.32103897151185
180,horn,24.32103897151185
181,steps,24.32103897151185
182,holiness,24.29856380420673
183,deceitful,24.059744336437973
184,supplications,24.059744336437973
185,wickedness,23.914590810942805
186,established,23.829801534273184
187,return,23.496649326847265
188,hid,23.496649326847265
189,fall,23.472368017721564
190,clouds,23.25015182635915
191,eye,23.25015182635915
192,forsake,23.25015182635915
193,haste,23.25015182635915
194,vows,23.216860211175366
195,courts,23.216860211175366
196,terrible,23.143208614948012
197,tender,23.143208614948012
198,exalt,23.090717607981365
199,beauty,23.090717607981365
200,dust,23.01917039377566
201,understanding,23.01917039377566
202,aha,22.91038954962645
203,lead,22.906269040639643
204,grave,22.76118243807998
205,wings,22.76118243807998
206,countenance,22.76118243807998
207,doeth,22.469857310589145
208,endure,22.469781764598807
209,ungodly,22.454378772740764
210,31,22.312845894454384
211,honour,22.312845894454384
212,sun,22.312845894454384
213,daily,22.293026679473225
214,affliction,22.048761472853904
215,blood,22.005345016613965
216,29,22.005345016613965
217,30,21.939490435304123
218,forgotten,21.888935074360667
219,silence,21.888935074360667
220,net,21.888935074360667
221,path,21.87675754397791
222,meek,21.87675754397791
223,youth,21.843984739750418
224,shoot,21.758287756823727
225,shine,21.758287756823727
226,bread,21.575833625658472
227,meat,21.575833625658472
228,gates,21.412556895064323
229,compass,21.34331347801275
230,ends,21.34331347801275
231,aaron,21.34331347801275
232,sore,21.24846497886984
233,marvellous,21.117946095435435
234,thanksgiving,21.117946095435435
235,chosen,21.07525785215313
236,neighbours,21.052276294383226
237,depths,21.052276294383226
238,gods,20.997413287253007
239,giveth,20.997413287253007
240,35,20.867480599094876
241,34,20.867480599094876
242,smote,20.597369201373382
243,fatherless,20.52508231820566
244,waves,20.52508231820566
245,knoweth,20.49822069509383
246,integrity,20.47759890097747
247,delivereth,20.47759890097747
248,violent,20.47759890097747
249,faileth,20.314752684778444
250,afraid,20.208895051763655
251,years,20.208895051763655
252,33,20.139985137297657
253,young,20.03470265239715
254,transgressions,19.97313934631005
255,shout,19.97313934631005
256,gladness,19.880643112532777
257,loveth,19.880643112532777
258,laugh,19.552694822013915
259,flourish,19.552694822013915
260,troubles,19.552694822013915
261,troubled,19.465960813694842
262,remembrance,19.465960813694842
263,excellent,19.45683117720948
264,redeem,19.45683117720948
265,32,19.454084171218273
266,hurt,19.441531635007888
267,arm,19.441531635007888
268,break,19.128523882503636
269,preserveth,19.091991291355377
270,distresses,19.091991291355377
271,nigh,19.08855753386637
272,sleep,19.08855753386637
273,hold,19.07129901439877
274,guide,19.03850178722076
275,setteth,19.03850178722076
276,smoke,18.971834202678
277,mother,18.805277515974964
278,gold,18.76540254806625
279,reproached,18.75150646626678
280,moon,18.622785631156347
281,tears,18.51456689195841
282,adversaries,18.51456689195841
283,commanded,18.493571679135833
284,times,18.493571679135833
285,deceit,18.478202833506007
286,paths,18.478202833506007
287,sheep,18.46165304252285
288,pleasure,18.37396789404492
289,lying,18.239749101387183
290,bringeth,18.239749101387183
291,tabernacle,18.239749101387183
292,walketh,18.082029121796204
293,taschith,18.046181755324085
294,al,18.046181755324085
295,strings,18.046181755324085
296,upholdeth,18.046181755324085
297,privily,18.04480825232848
298,attend,17.97627353478433
299,temple,17.707054149058198
300,angels,17.671682766695803
301,glorious,17.671682766695803
302,snare,17.671682766695803
303,living,17.53152177421416
304,pieces,17.519364732325357
305,happy,17.47649692802129
306,lifted,17.389567165912396
307,36,17.389567165912396
308,rivers,17.281361453340345
309,redeemed,17.281361453340345
310,clothed,17.281361453340345
311,establish,17.281361453340345
312,scattered,17.179701780479732
313,understand,17.179701780479732
314,reward,17.081850579244858
315,silent,17.064665750814555
316,riches,16.852392982941858
317,aloud,16.840784079555572
318,hail,16.840784079555572
319,perfect,16.783320947748045
320,strengthen,16.60035492734325
321,tabernacles,16.60035492734325
322,teeth,16.553587227694532
323,dominion,16.553587227694532
324,increase,16.53657110464043
325,saved,16.493445579015525
326,judah,16.493445579015525
327,fixed,16.424321322891423
328,bountifully,16.424321322891423
329,acts,16.318715817617793
330,sheweth,16.318715817617793
331,confusion,16.318715817617793
332,bloody,16.293912351678262
333,derision,16.293912351678262
334,40,16.231457139559296
335,foot,16.231457139559296
336,inherit,16.213110312344163
337,dwelling,16.213110312344163
338,dealt,16.213110312344163
339,hell,16.20024603046361
340,shewed,15.937747067467416
341,destroyed,15.937747067467416
342,38,15.936348734152379
343,ears,15.936348734152379
344,labour,15.936348734152379
345,39,15.936348734152379
346,37,15.936348734152379
347,offer,15.936348734152379
348,early,15.886534356182123
349,fulness,15.838459571576577
350,sorrows,15.838459571576577
351,sitteth,15.821775481571677
352,sworn,15.821775481571677
353,uprightness,15.62625538855565
354,reins,15.62625538855565
355,snares,15.62625538855565
356,fortress,15.62625538855565
357,roar,15.62625538855565
358,cleaveth,15.62625538855565
359,saul,15.62625538855565
360,bed,15.572768650955872
361,lion,15.572768650955872
362,gracious,15.462722420858828
363,breath,15.393811738654243
364,swallow,15.393811738654243
365,praised,15.393811738654243
366,disquieted,15.273593033084301
367,hidest,15.273593033084301
368,ham,15.273593033084301
369,filleth,15.273593033084301
370,saveth,15.273593033084301
371,valiantly,15.273593033084301
372,destruction,15.270846027093096
373,fallen,15.270846027093096
374,burnt,15.270846027093096
375,sacrifices,15.270846027093096
376,43,15.270846027093096
377,bowed,15.121191271672803
378,taketh,15.121191271672803
379,boast,15.037340210273733
380,reigneth,15.037340210273733
381,fatness,15.037340210273733
382,goings,15.037340210273733
383,greatness,14.979854509732537
384,oppressed,14.979854509732537
385,altogether,14.979854509732537
386,talk,14.979854509732537
387,edom,14.79555116222855
388,dark,14.79555116222855
389,womb,14.79555116222855
390,opened,14.699174315235936
391,wisdom,14.699174315235936
392,parts,14.699174315235936
393,41,14.699174315235936
394,42,14.699174315235936
395,lands,14.59262338290711
396,bashan,14.59262338290711
397,rewarded,14.510537631984604
398,consume,14.484388824232715
399,dry,14.484388824232715
400,hated,14.484388824232715
401,run,14.427961901830486
402,suffer,14.427961901830486
403,streams,14.381018827827463
404,prevent,14.381018827827463
405,evildoers,14.381018827827463
406,melteth,14.381018827827463
407,wrongfully,14.381018827827463
408,rod,14.228875652008501
409,draw,14.186471523301144
410,rebuke,14.186471523301144
411,sorrow,14.186471523301144
412,goeth,14.16564331924656
413,sacrifice,14.103958136981223
414,send,14.103958136981223
415,palaces,14.033986732962978
416,prosperity,14.033986732962978
417,magnify,14.033986732962978
418,oil,13.911653732729917
419,pride,13.885925168968807
420,provoked,13.885925168968807
421,planted,13.885925168968807
422,sinners,13.885925168968807
423,pay,13.885925168968807
424,filled,13.870178759351875
425,side,13.665480463395888
426,moses,13.665480463395888
427,serve,13.665480463395888
428,trees,13.665480463395888
429,groaning,13.651732600651645
430,acquaintance,13.651732600651645
431,bulls,13.651732600651645
432,raiseth,13.651732600651645
433,deliverer,13.651732600651645
434,desolate,13.626172569586387
435,portion,13.626172569586387
436,45,13.626172569586387
437,belongeth,13.59892984801483
438,cedars,13.59892984801483
439,seas,13.59892984801483
440,declared,13.561521841347153
441,cup,13.561521841347153
442,gittith,13.534636316493064
443,shoshannim,13.534636316493064
444,awe,13.534636316493064
445,philistia,13.534636316493064
446,panteth,13.534636316493064
447,congregations,13.534636316493064
448,benefits,13.534636316493064
449,destructions,13.534636316493064
450,battle,13.361990273706459
451,beast,13.361990273706459
452,heads,13.361990273706459
453,44,13.361990273706459
454,foolish,13.253762075021852
455,rejoicing,13.253762075021852
456,coals,13.198716309647146
457,wickedly,13.198716309647146
458,mouths,13.198716309647146
459,speedily,13.198716309647146
460,tempted,13.198716309647146
461,ground,13.19475646321242
462,field,13.19475646321242
463,feared,13.107416764510335
464,rain,13.107416764510335
465,givest,13.03512988134261
466,buckler,13.03512988134261
467,uprightly,13.03512988134261
468,contempt,13.03512988134261
469,lightnings,13.03512988134261
470,founded,13.03512988134261
471,helper,13.03512988134261
472,terrors,13.03512988134261
473,knowledge,12.969389447478848
474,answer,12.969389447478848
475,build,12.969389447478848
476,thousand,12.969389447478848
477,open,12.969389447478848
478,testimony,12.961021090005259
479,transgression,12.961021090005259
480,red,12.961021090005259
481,render,12.961021090005259
482,pure,12.861777525831444
483,strange,12.861777525831444
484,garment,12.861777525831444
485,evening,12.861777525831444
486,offering,12.861777525831444
487,humble,12.828176448878537
488,innocent,12.828176448878537
489,supplication,12.828176448878537
490,hungry,12.828176448878537
491,sought,12.750197653973933
492,beasts,12.750197653973933
493,pleasant,12.6819009961959
494,slay,12.624466664101675
495,war,12.624466664101675
496,captivity,12.624466664101675
497,gather,12.536851677316642
498,rebellious,12.50100431084452
499,falsehood,12.50100431084452
500,plenteous,12.50100431084452
501,imagine,12.50100431084452
502,melted,12.50100431084452
503,foundations,12.48321209144378
504,idols,12.415190420770898
505,verily,12.415190420770898
506,kindled,12.415190420770898
507,extol,12.318240992168567
508,pavilion,12.318240992168567
509,footsteps,12.318240992168567
510,thirsteth,12.318240992168567
511,sit,12.172697016138677
512,sound,12.172697016138677
513,amen,12.172697016138677
514,food,12.160519485755925
515,horns,12.160519485755925
516,digged,12.160519485755925
517,sins,12.12650532221624
518,hearts,12.12650532221624
519,transgressors,12.029872168218986
520,wander,12.029872168218986
521,hoped,12.029872168218986
522,waiteth,12.029872168218986
523,cursing,12.029872168218986
524,hatred,12.029872168218986
525,feareth,12.029872168218986
526,depart,11.957295405471402
527,believed,11.957295405471402
528,spake,11.928964421493266
529,speaketh,11.914900767136592
530,clean,11.914900767136592
531,angry,11.914900767136592
532,fail,11.914900767136592
533,lebanon,11.85739637667375
534,girded,11.85739637667375
535,lies,11.85739637667375
536,thousands,11.85739637667375
537,tread,11.85739637667375
538,fruit,11.736184008860782
539,46,11.679576488216904
540,47,11.679576488216904
541,precious,11.679576488216904
542,48,11.679576488216904
543,breaketh,11.608430105587683
544,tongues,11.608430105587683
545,afflict,11.571604307474006
546,standeth,11.571604307474006
547,bosom,11.571604307474006
548,wroth,11.571604307474006
549,vengeance,11.571604307474006
550,lions,11.571604307474006
551,silver,11.54794002957923
552,kingdom,11.54794002957923
553,looked,11.545411905310868
554,wherewith,11.545411905310868
555,displeasure,11.455194774813226
556,timbrel,11.455194774813226
557,shaketh,11.455194774813226
558,reproacheth,11.455194774813226
559,complaint,11.455194774813226
560,inventions,11.455194774813226
561,abhorreth,11.455194774813226
562,daytime,11.455194774813226
563,strangers,11.453134520319821
564,river,11.453134520319821
565,die,11.348215766543992
566,tents,11.301268201122628
567,utter,11.301268201122628
568,faithful,11.234928655294572
