,term,score
0,angel,107.41185581928008
1,beast,83.98965314901203
2,throne,73.02703625941473
3,lamb,72.40263013037392
4,angels,50.80608795425043
5,thousand,48.63521042804568
6,book,46.18164762124347
7,dragon,42.364172114363484
8,twelve,41.194738402746765
9,sealed,39.9462786926201
10,churches,39.097084546711706
11,sat,38.955519127928035
12,white,38.506136991817385
13,overcometh,32.848642645782846
14,bottomless,31.58081807181715
15,kings,31.337546600129496
16,part,30.802299937762264
17,opened,29.398348630471872
18,golden,29.383297322918832
19,tribe,29.383297322918832
20,fornication,29.18524676581422
21,hour,29.02107526396921
22,vial,28.742562315059992
23,smoke,28.457751304017002
24,nations,28.331290501046507
25,temple,28.33128663849312
26,write,28.33128663849312
27,seal,28.22198818753278
28,worship,28.087321638236432
29,plagues,28.067973465925956
30,blood,27.873437021044356
31,loud,27.47745215842445
32,fell,26.853313516396874
33,heads,26.723980547412918
34,jesus,26.723980547412918
35,works,26.40641401993676
36,voices,26.07025976268522
37,clothed,25.922042180010518
38,saints,25.81561832879595
39,foreheads,24.636481984337134
40,horns,24.32103897151185
41,beasts,23.906620601201123
42,sickle,23.89053205114038
43,woman,23.506596894968705
44,crowns,22.91038954962645
45,vials,22.557727194155106
46,seals,22.557727194155106
47,sawest,21.87675754397791
48,earthquake,21.87675754397791
49,waters,21.81831723207246
50,almighty,21.758287756823727
51,brimstone,21.052276294383226
52,sounded,21.052276294383226
53,christ,20.997413287253007
54,lake,20.530401653614277
55,elders,20.49822069509383
56,candlesticks,20.47759890097747
57,torment,20.47759890097747
58,pit,20.34228276202073
59,horse,19.97313934631005
60,sharp,19.647581426148168
61,prophecy,19.647581426148168
62,cried,19.477759563964018
63,gates,19.465960813694842
64,mark,19.45683117720948
65,testimony,19.441531635007888
66,hurt,19.441531635007888
67,wrath,19.07129901439877
68,satan,18.971834202678
69,dwell,18.76540254806625
70,image,18.72488109215762
71,number,18.46165304252285
72,alleluia,18.046181755324085
73,alpha,18.046181755324085
74,omega,18.046181755324085
75,midst,17.604276013291173
76,sun,17.53152177421416
77,stood,17.53152177421416
78,ten,17.53152177421416
79,worshipped,17.519364732325357
80,stars,17.519364732325357
81,patience,17.47649692802129
82,tongues,17.412645158381522
83,amen,17.389567165912396
84,beheld,17.281361453340345
85,true,17.081850579244858
86,glass,17.064665750814555
87,john,16.840784079555572
88,alas,16.840784079555572
89,fine,16.553587227694532
90,thunders,16.424321322891423
91,thunderings,16.424321322891423
92,feet,16.40232607955324
93,quickly,16.20024603046361
94,slain,15.936348734152379
95,sword,15.878417540671443
96,repent,15.821775481571677
97,sitteth,15.821775481571677
98,star,15.62625538855565
99,ear,15.572768650955872
100,tails,15.273593033084301
101,jasper,15.273593033084301
102,rich,15.270846027093096
103,church,15.121191271672803
104,faithful,14.979904873726097
105,poured,14.979904873726097
106,names,14.79555116222855
107,worthy,14.79555116222855
108,open,14.590563128413704
109,fourth,14.484388824232715
110,war,14.427961901830486
111,pearls,14.381018827827463
112,kindreds,14.381018827827463
113,tormented,14.381018827827463
114,honour,14.343972360720674
115,woe,14.186471523301144
116,altar,14.16564331924656
117,babylon,13.885925168968807
118,bride,13.651732600651645
119,sardis,13.534636316493064
120,breastplates,13.534636316493064
121,burning,13.253762075021852
122,spirits,13.253762075021852
123,tribulation,13.198716309647146
124,sayings,13.198716309647146
125,prophets,13.19475646321242
126,twenty,13.107416764510335
127,horses,13.107416764510335
128,robes,13.03512988134261
129,lightnings,13.03512988134261
130,gold,12.991432533276633
131,stone,12.969389447478848
132,linen,12.961021090005259
133,blasphemy,12.50100431084452
134,devil,12.48321209144378
135,cloud,12.415190420770898
136,thyatira,12.318240992168567
137,sound,12.172697016138677
138,repented,12.160519485755925
139,song,12.160519485755925
140,killed,12.159832734258122
141,whore,12.029872168218986
142,fountains,12.029872168218986
143,mystery,12.029872168218986
144,world,11.748324663423633
145,liveth,11.679576488216904
146,precious,11.679576488216904
147,winepress,11.608430105587683
148,merchants,11.608430105587683
149,crystal,11.455194774813226
150,fallen,11.453134520319821
151,hail,11.227189386370382
152,sixth,11.044801729184876
153,tree,10.969745217652061
154,forty,10.820971426372864
155,judged,10.800850908337715
156,key,10.785764120870597
157,wall,10.62423248943492
158,prepared,10.62423248943492
159,space,10.558973047717718
160,hold,10.269161007753183
161,blessed,10.269161007753183
162,seats,10.238799450488735
163,kill,9.929083972613826
164,seventh,9.929083972613826
165,iron,9.732980406847421
166,measure,9.732980406847421
167,scarlet,9.72841558860474
168,lived,9.72841558860474
169,rod,9.485917101339
170,arrayed,9.37575323313339
171,hell,9.257283445979205
172,serpent,9.257283445979205
173,crown,9.18698394702246
174,cup,9.041014560898102
175,rainbow,9.023090877662042
176,jacinth,9.023090877662042
177,harpers,9.023090877662042
178,nicolaitans,9.023090877662042
179,smyrna,9.023090877662042
180,inhabiters,9.023090877662042
181,philadelphia,9.023090877662042
182,peoples,9.023090877662042
183,pergamos,9.023090877662042
184,deliciously,9.023090877662042
185,ascendeth,9.023090877662042
186,small,9.017476188644054
187,harps,8.706322579190761
188,reed,8.706322579190761
189,miracles,8.706322579190761
190,child,8.694783582956198
191,receive,8.660955022184423
192,years,8.660955022184423
193,thrust,8.4546006641306
194,clear,8.420392039777786
195,blasphemed,8.420392039777786
196,standing,8.276793613847266
197,months,8.276793613847266
198,moon,8.276793613847266
199,thereon,8.276793613847266
200,looked,8.246722789507762
201,lo,8.246722789507762
202,tongue,8.246722789507762
203,idolaters,8.212160661445711
204,overcame,8.212160661445711
205,devils,8.159357908808897
206,uttered,8.159357908808897
207,cold,8.159357908808897
208,fulfilled,8.106555156172082
209,trumpet,8.106555156172082
210,brass,7.9432671780910615
211,faces,7.9432671780910615
212,lion,7.786384325477936
213,righteous,7.705654866306597
214,filled,7.705654866306597
215,apostles,7.6969058693271215
216,overcome,7.6969058693271215
217,created,7.6969058693271215
218,double,7.6969058693271215
219,fly,7.6969058693271215
220,flood,7.6969058693271215
221,sorceries,7.636796516542151
222,emerald,7.636796516542151
223,fellowservant,7.636796516542151
224,furlongs,7.636796516542151
225,whoremongers,7.636796516542151
226,river,7.635423013546548
227,faith,7.635423013546548
228,battle,7.635423013546548
229,strength,7.57906582638515
230,received,7.57906582638515
231,purple,7.489927254866268
232,reign,7.349587157617968
233,wisdom,7.349587157617968
234,pure,7.349587157617968
235,shut,7.349587157617968
236,loose,7.296311691453555
237,hot,7.296311691453555
238,prayers,7.296311691453555
239,breadth,7.296311691453555
240,loosed,7.296311691453555
241,kingdom,7.217462518487019
242,foot,7.213980950915243
243,sung,7.190509413913731
244,decked,7.190509413913731
245,penny,7.190509413913731
246,island,7.190509413913731
247,athirst,7.190509413913731
248,wast,7.1144378260042505
249,ships,7.1144378260042505
250,flame,7.1144378260042505
251,keepeth,7.1144378260042505
252,wound,7.1144378260042505
253,fast,7.08282165962328
254,sit,6.9558268663649585
255,talked,6.942962584484404
256,supper,6.825866300325822
257,sorcerers,6.825866300325822
258,issued,6.825866300325822
259,juda,6.825866300325822
260,deceiveth,6.825866300325822
261,bodies,6.780760920673576
262,bitter,6.780760920673576
263,street,6.780760920673576
264,finished,6.780760920673576
265,door,6.713328379099218
266,stones,6.713328379099218
267,whosoever,6.713328379099218
268,doctrine,6.626881037510926
269,deeds,6.626881037510926
270,odours,6.517564940671305
271,revelation,6.517564940671305
272,books,6.517564940671305
273,ripe,6.517564940671305
274,ephesus,6.517564940671305
275,shutteth,6.517564940671305
276,wipe,6.517564940671305
277,asia,6.517564940671305
278,censer,6.517564940671305
