,term,score
0,christ,129.80219123029133
1,faith,74.44537438207884
2,jesus,72.5365186286922
3,sin,67.10042487089962
4,righteousness,58.15370155477967
5,gentiles,44.93971462117829
6,circumcision,42.10196019888893
7,grace,38.2505929619218
8,salute,34.71481292242202
9,members,30.074680420547466
10,gospel,28.08221236167806
11,uncircumcision,27.30346520130329
12,hope,27.05242856593216
13,eateth,26.08627202868225
14,forbid,24.96642418288756
15,justified,24.96642418288756
16,jew,23.216860211175366
17,graffed,22.557727194155106
18,mind,21.81831723207246
19,believeth,21.117946095435435
20,unbelief,20.47759890097747
21,world,20.139985137297657
22,imputed,19.091991291355377
23,offence,19.03850178722076
24,unrighteousness,19.03850178722076
25,judgest,17.97627353478433
26,mercy,17.604276013291173
27,abraham,16.852392982941858
28,raised,16.53657110464043
29,natural,16.293912351678262
30,esaias,16.293912351678262
31,obedience,16.293912351678262
32,gift,16.213110312344163
33,body,16.21173680934856
34,wrath,16.137253012183574
35,free,15.886534356182123
36,saints,15.886534356182123
37,nature,15.62625538855565
38,election,15.273593033084301
39,persuaded,15.037340210273733
40,promise,14.59262338290711
41,intercession,14.381018827827463
42,died,14.16564331924656
43,weak,13.885925168968807
44,beloved,13.665480463395888
45,believed,13.665480463395888
46,greet,13.59892984801483
47,creature,13.59892984801483
48,goodness,13.561521841347153
49,worketh,13.561521841347153
50,justification,13.534636316493064
51,branches,13.253762075021852
52,works,13.20320700996838
53,saved,13.19475646321242
54,heirs,12.50100431084452
55,abound,12.50100431084452
56,patience,12.48321209144378
57,knowing,12.415190420770898
58,esteemeth,12.318240992168567
59,amen,12.172697016138677
60,wise,12.12650532221624
61,boast,12.029872168218986
62,commandment,11.928964421493266
63,dost,11.914900767136592
64,preach,11.85739637667375
65,liveth,11.679576488216904
66,subject,11.608430105587683
67,abounded,11.455194774813226
68,adoption,11.455194774813226
69,commit,11.453134520319821
70,root,11.044801729184876
71,minister,11.024380736426952
72,husband,10.820971426372864
73,ghost,10.800850908337715
74,judge,10.787916812829236
75,wert,10.785764120870597
76,offences,10.785764120870597
77,carnal,10.785764120870597
78,received,10.610692156939209
79,olive,10.568250830163251
80,tribulation,10.558973047717718
81,scripture,10.558973047717718
82,29,10.269161007753183
83,serve,10.249110347546916
84,kinsmen,10.238799450488735
85,28,10.104447525881827
86,sinned,10.069992568648829
87,acceptable,9.986569673155024
88,yield,9.72841558860474
89,knowledge,9.727042085609137
90,die,9.727042085609137
91,present,9.727042085609137
92,31,9.56264824048045
93,honour,9.56264824048045
94,obey,9.544278766933186
95,30,9.402638757987482
96,spiritual,9.37575323313339
97,riches,9.36244054607881
98,maketh,9.36244054607881
99,eternal,9.257283445979205
100,thyself,9.09487899166218
101,forbearance,9.023090877662042
102,newness,9.023090877662042
103,gentile,9.023090877662042
104,describeth,9.023090877662042
105,predestinate,9.023090877662042
106,spain,9.023090877662042
107,conformed,9.023090877662042
108,stumblingstone,9.023090877662042
