,term,score
0,naomi,94.74245421545145
1,boaz,71.90509413913732
2,ruth,53.37904429939712
3,kinsman,46.738311190439255
4,elimelech,27.069272632986127
5,glean,25.16678294869806
6,reapers,22.91038954962645
7,begat,20.82888775345321
8,gleaned,20.530401653614277
9,moabitess,20.530401653614277
10,daughter,19.79213469481863
11,redeem,19.45683117720948
12,mother,18.805277515974964
13,lehem,18.478202833506007
14,mahlon,18.046181755324085
15,moab,16.213110312344163
16,beth,15.121191271672803
17,chilion,13.534636316493064
18,barley,13.253762075021852
19,field,13.19475646321242
20,country,13.107416764510335
21,husband,12.624466664101675
22,maidens,11.227189386370382
23,pharez,10.785764120870597
24,daughters,10.433740299547438
25,left,10.104447525881827
26,return,10.069992568648829
27,obed,9.776347411006958
28,part,9.727042085609137
29,woman,9.402638757987482
30,wife,9.246785839567917
31,young,9.246785839567917
32,orpah,9.023090877662042
33,harvest,8.4546006641306
34,sufficed,8.212160661445711
35,handmaid,7.919229785788288
36,jesse,7.919229785788288
37,floor,7.919229785788288
38,nahshon,7.636796516542151
39,salmon,7.190509413913731
40,amminadab,7.190509413913731
41,sat,7.08282165962328
42,elders,6.832740231697944
43,famous,6.825866300325822
44,answered,6.713328379099218
45,witnesses,6.626881037510926
46,judah,6.59737823160621
47,shoe,6.517564940671305
48,sheaves,6.517564940671305
49,hezron,6.517564940671305
50,buy,6.207595210385449
51,morning,6.164523893045278
52,feet,5.964482210746633
53,blessed,5.868092004430391
54,damsel,5.804215052793841
55,husbands,5.439571939205932
56,kindred,5.439571939205932
57,ram,5.439571939205932
58,almighty,5.439571939205932
59,fast,5.31211624471746
60,sit,5.216870149773719
61,corn,5.216870149773719
62,kissed,5.131270579551415
63,find,5.124555173773458
64,inheritance,5.034996284324414
65,gate,4.948033673704657
66,shewed,4.781324120240225
67,measures,4.7429585506695
68,continued,4.7429585506695
69,thyself,4.54743949583109
70,call,4.54743949583109
71,winnoweth,4.511545438831021
72,worthily,4.511545438831021
73,mara,4.511545438831021
74,followedst,4.511545438831021
75,nourisher,4.511545438831021
76,mealtime,4.511545438831021
77,ephrathites,4.511545438831021
78,requirest,4.511545438831021
79,diest,4.511545438831021
80,moabitish,4.511545438831021
81,wroughtest,4.511545438831021
82,changing,4.511545438831021
83,hap,4.511545438831021
84,lodgest,4.511545438831021
85,lay,4.401069003322793
86,empty,4.2273003320653
87,wept,4.138396806923633
88,leah,4.106080330722856
89,nearer,4.106080330722856
90,restorer,4.106080330722856
91,grieveth,4.106080330722856
92,buyest,4.106080330722856
93,virtuous,4.106080330722856
94,advertise,4.106080330722856
95,tarry,4.053277578086041
96,dealt,4.053277578086041
97,kindness,4.053277578086041
98,dwelled,3.8183982582710754
99,friendly,3.8183982582710754
100,redeeming,3.8183982582710754
101,ho,3.8183982582710754
102,conception,3.8183982582710754
103,handmaidens,3.8183982582710754
104,sister,3.7449762184315243
105,david,3.674793578808984
106,raise,3.6069904754576214
107,kin,3.5952547069568657
108,nativity,3.5952547069568657
109,ephratah,3.5952547069568657
110,rachel,3.5952547069568657
111,athirst,3.5952547069568657
112,died,3.54141082981164
113,bare,3.54141082981164
114,lifted,3.4779134331824793
115,parcel,3.412933150162911
116,uncover,3.412933150162911
117,heretofore,3.412933150162911
118,stedfastly,3.412933150162911
119,belonging,3.412933150162911
120,kinsmen,3.412933150162911
121,handfuls,3.412933150162911
122,returned,3.356664189549609
123,born,3.356664189549609
124,dip,3.2587824703356527
125,softly,3.2587824703356527
126,mar,3.2587824703356527
127,purchased,3.2587824703356527
128,skirt,3.2587824703356527
129,reached,3.2587824703356527
130,selleth,3.2587824703356527
131,wilt,3.242347361869712
132,beginning,3.242347361869712
133,knowledge,3.242347361869712
134,ten,3.187549413493483
135,grace,3.187549413493483
136,tamar,3.12525107771113
137,nurse,3.12525107771113
138,threshingfloor,3.12525107771113
139,parched,3.12525107771113
140,kindly,3.12525107771113
141,bread,3.082261946522639
142,wrought,3.082261946522639
143,leave,3.03162633055406
144,morsel,3.0074680420547466
145,hearest,3.0074680420547466
146,vail,3.0074680420547466
147,vinegar,3.0074680420547466
148,bitterly,3.0074680420547466
149,neighbours,3.0074680420547466
150,fall,2.9340460022151955
151,knewest,2.9021075263969207
152,fully,2.9021075263969207
153,midnight,2.8067973465925955
154,uncovered,2.8067973465925955
155,intreat,2.8067973465925955
156,drinking,2.719785969602966
157,minded,2.719785969602966
158,measured,2.719785969602966
159,ruled,2.719785969602966
160,confirm,2.719785969602966
161,clave,2.6397432619294294
162,bade,2.6397432619294294
163,reserved,2.6397432619294294
164,ephah,2.6397432619294294
165,tarried,2.5656352897757073
166,eating,2.5656352897757073
167,recompense,2.496642418288756
168,merry,2.496642418288756
169,sojourn,2.496642418288756
170,visited,2.432103897151185
171,family,2.432103897151185
172,drawn,2.432103897151185
173,mark,2.432103897151185
174,ended,2.432103897151185
175,wealth,2.432103897151185
176,generations,2.37147927533475
177,lodge,2.37147927533475
178,stay,2.37147927533475
179,wast,2.37147927533475
180,testified,2.37147927533475
181,anoint,2.37147927533475
182,grown,2.314320861494801
183,beat,2.314320861494801
184,famine,2.314320861494801
185,comforted,2.314320861494801
186,bosom,2.314320861494801
187,age,2.2602536402245255
188,drunk,2.2602536402245255
189,finished,2.2602536402245255
190,goest,2.2602536402245255
191,sakes,2.2602536402245255
192,plucked,2.2602536402245255
193,grant,2.2602536402245255
194,bought,2.2602536402245255
195,nay,2.2089603458369753
196,purpose,2.2089603458369753
197,heap,2.2089603458369753
198,reap,2.2089603458369753
199,loveth,2.2089603458369753
200,testimony,2.160170181667543
201,deal,2.160170181667543
202,bowed,2.160170181667543
203,sayest,2.160170181667543
204,wash,2.160170181667543
205,lieth,2.11365016603265
206,womb,2.11365016603265
207,afflicted,2.11365016603265
208,favour,2.11365016603265
209,reproach,2.0691984034618165
