,term,score
0,beloved,56.37010691150804
1,spouse,27.069272632986127
2,fair,24.29856380420673
3,myrrh,23.216860211175366
4,breasts,20.52508231820566
5,lilies,20.47759890097747
6,solomon,19.45683117720948
7,smell,19.03850178722076
8,daughters,17.389567165912396
9,lebanon,16.60035492734325
10,roes,16.424321322891423
11,twins,16.424321322891423
12,locks,16.293912351678262
13,spices,15.838459571576577
14,garden,14.59262338290711
15,comely,14.510537631984604
16,fairest,13.534636316493064
17,sister,13.107416764510335
18,jerusalem,12.750197653973933
19,sweet,11.679576488216904
20,spikenard,11.455194774813226
21,flock,11.453134520319821
22,loveth,11.044801729184876
23,mother,10.969745217652061
24,hart,10.785764120870597
25,roe,10.785764120870597
26,pleasant,10.568250830163251
27,pomegranate,10.238799450488735
28,soul,10.104447525881827
29,gardens,9.776347411006958
30,vineyard,9.72841558860474
31,awake,9.485917101339
32,doves,9.37575323313339
33,camphire,9.023090877662042
34,shulamite,9.023090877662042
35,pomegranates,9.02240412616424
36,vines,9.02240412616424
37,frankincense,9.02240412616424
38,charge,9.017476188644054
39,gold,8.660955022184423
40,stir,8.420392039777786
41,fruits,8.276793613847266
42,shadows,8.212160661445711
43,queens,8.212160661445711
44,apples,8.212160661445711
45,banners,8.212160661445711
46,smelling,8.212160661445711
47,black,8.159357908808897
48,dove,8.159357908808897
49,neck,8.106555156172082
50,tree,7.835532298322901
51,bed,7.786384325477936
52,young,7.705654866306597
53,looketh,7.6969058693271215
54,lily,7.636796516542151
55,lips,7.635423013546548
56,cheeks,7.190509413913731
57,ointments,7.190509413913731
58,tender,6.942962584484404
59,undefiled,6.825866300325822
60,temples,6.825866300325822
61,clusters,6.825866300325822
62,ravished,6.825866300325822
63,honeycomb,6.825866300325822
64,hinds,6.825866300325822
65,vineyards,6.780760920673576
66,milk,6.780760920673576
67,tower,6.780760920673576
68,return,6.713328379099218
69,pillars,6.626881037510926
70,watchmen,6.517564940671305
71,flowers,6.517564940671305
72,embrace,6.517564940671305
73,grape,6.517564940671305
74,thousand,6.484694723739424
75,mountains,6.375098826986966
76,sought,6.375098826986966
77,feedeth,6.25050215542226
78,foxes,6.25050215542226
79,apple,6.25050215542226
80,nose,6.25050215542226
81,ivory,6.25050215542226
82,countenance,6.207595210385449
83,washing,6.014936084109493
84,concubines,6.014936084109493
85,hair,5.957450383568296
86,silver,5.773970014789615
87,vine,5.617464327647286
88,companions,5.613594693185191
89,keepers,5.613594693185191
90,feed,5.512190368213476
91,valiant,5.439571939205932
92,jewels,5.439571939205932
93,wall,5.31211624471746
94,coals,5.279486523858859
95,seal,5.131270579551415
96,virgins,5.131270579551415
97,find,5.124555173773458
98,waters,5.034996284324414
99,beautiful,4.993284836577512
100,purple,4.993284836577512
101,palm,4.993284836577512
102,field,4.948033673704657
103,song,4.86420779430237
104,barren,4.86420779430237
105,kiss,4.86420779430237
106,cedar,4.7429585506695
107,grapes,4.7429585506695
108,fountain,4.628641722989602
109,terrible,4.628641722989602
110,goats,4.520507280449051
111,piece,4.520507280449051
112,tents,4.520507280449051
113,rabbim,4.511545438831021
114,saffron,4.511545438831021
115,inclose,4.511545438831021
116,amana,4.511545438831021
117,juice,4.511545438831021
118,fishpools,4.511545438831021
119,handles,4.511545438831021
120,powders,4.511545438831021
121,amminadib,4.511545438831021
122,studs,4.511545438831021
123,orchard,4.511545438831021
124,spiced,4.511545438831021
125,skipping,4.511545438831021
126,banqueting,4.511545438831021
127,bether,4.511545438831021
128,rafters,4.511545438831021
129,goblet,4.511545438831021
130,bushy,4.511545438831021
131,green,4.417920691673951
132,fruit,4.401069003322793
133,gilead,4.320340363335086
134,army,4.320340363335086
135,honey,4.138396806923633
136,company,4.138396806923633
137,fine,4.138396806923633
138,teeth,4.138396806923633
139,drown,4.106080330722856
140,liquor,4.106080330722856
141,footsteps,4.106080330722856
142,paved,4.106080330722856
143,perfumed,4.106080330722856
144,kisses,4.106080330722856
145,nuts,4.106080330722856
146,mandrakes,4.106080330722856
147,sweetly,4.106080330722856
148,turtle,4.106080330722856
149,shenir,4.106080330722856
150,galleries,4.106080330722856
151,hamon,4.106080330722856
152,lock,4.106080330722856
153,espousals,4.106080330722856
154,flourished,4.106080330722856
155,feedest,4.106080330722856
156,dropping,4.106080330722856
157,leopards,4.106080330722856
158,waketh,4.106080330722856
159,sucked,4.106080330722856
160,washed,4.053277578086041
161,belly,4.053277578086041
162,chariots,3.9716335890455308
163,held,3.893192162738968
164,calamus,3.8183982582710754
165,flagons,3.8183982582710754
166,fitly,3.8183982582710754
167,drops,3.8183982582710754
168,shorn,3.8183982582710754
169,knocketh,3.8183982582710754
170,sockets,3.8183982582710754
171,leaning,3.8183982582710754
172,leaping,3.8183982582710754
173,sapphires,3.8183982582710754
174,thighs,3.8183982582710754
175,vehement,3.8183982582710754
176,banner,3.8183982582710754
177,contemned,3.8183982582710754
178,loves,3.8183982582710754
179,ruddy,3.8183982582710754
180,lattice,3.8183982582710754
181,sharon,3.8183982582710754
182,causing,3.8183982582710754
183,armoury,3.8183982582710754
184,threescore,3.817711506773274
185,top,3.817711506773274
186,sick,3.817711506773274
187,whereof,3.6069904754576214
188,bucklers,3.5952547069568657
189,navel,3.5952547069568657
190,aware,3.5952547069568657
191,wert,3.5952547069568657
192,streams,3.5952547069568657
193,lovely,3.5952547069568657
194,wanteth,3.5952547069568657
195,bundle,3.5952547069568657
196,compared,3.5952547069568657
197,expert,3.5952547069568657
198,thread,3.5952547069568657
199,cinnamon,3.5952547069568657
200,marble,3.5952547069568657
201,cluster,3.5952547069568657
202,bare,3.54141082981164
203,wood,3.4779134331824793
204,break,3.4779134331824793
205,trees,3.416370115848972
206,flee,3.416370115848972
207,rose,3.416370115848972
208,beams,3.412933150162911
209,wellbeloved,3.412933150162911
210,veil,3.412933150162911
211,gedi,3.412933150162911
212,tirzah,3.412933150162911
213,spice,3.412933150162911
214,clefts,3.412933150162911
215,beryl,3.412933150162911
216,budded,3.412933150162911
217,aloes,3.412933150162911
218,delights,3.412933150162911
219,door,3.356664189549609
220,sheep,3.356664189549609
221,rings,3.2587824703356527
222,betwixt,3.2587824703356527
223,joints,3.2587824703356527
224,dropped,3.2587824703356527
225,raven,3.2587824703356527
226,flourish,3.2587824703356527
227,hermon,3.2587824703356527
228,crowned,3.2587824703356527
229,boards,3.2587824703356527
230,withdrawn,3.2587824703356527
231,towers,3.2587824703356527
232,chiefest,3.2587824703356527
233,hole,3.2587824703356527
234,plants,3.2587824703356527
235,inclosed,3.2587824703356527
236,bud,3.2587824703356527
237,overlaid,3.2587824703356527
238,stairs,3.2587824703356527
239,open,3.242347361869712
240,sun,3.187549413493483
241,wilderness,3.187549413493483
242,rise,3.187549413493483
243,workman,3.12525107771113
244,rows,3.12525107771113
245,kedar,3.12525107771113
246,kids,3.12525107771113
247,bath,3.12525107771113
248,instruct,3.0074680420547466
249,dens,3.0074680420547466
250,flow,3.0074680420547466
251,curtains,3.0074680420547466
252,failed,3.0074680420547466
253,merchant,3.0074680420547466
