,term,score
0,saviour,13.885925168968807
1,sober,13.651732600651645
2,shewing,11.608430105587683
3,exhort,11.227189386370382
4,titus,10.785764120870597
5,faith,9.544278766933186
6,cretians,9.023090877662042
7,nicopolis,9.023090877662042
8,doctrine,8.835841383347901
9,works,8.802138006645587
10,sound,8.694783582956198
11,temperate,8.212160661445711
12,lover,7.636796516542151
13,unruly,7.636796516542151
14,christ,7.635423013546548
15,jesus,7.635423013546548
16,lucre,7.190509413913731
17,bishop,7.190509413913731
18,aged,6.825866300325822
19,maintain,6.517564940671305
20,wanting,6.517564940671305
21,grace,6.375098826986966
22,disobedient,5.804215052793841
23,teaching,5.804215052793841
24,faithful,5.617464327647286
25,pure,5.512190368213476
26,husbands,5.439571939205932
27,blameless,5.439571939205932
28,hope,5.410485713186432
29,lusts,5.279486523858859
30,filthy,5.279486523858859
31,obedient,5.131270579551415
32,condemned,4.993284836577512
33,paul,4.7429585506695
34,eternal,4.628641722989602
35,artemas,4.511545438831021
36,uncorruptness,4.511545438831021
37,subverted,4.511545438831021
38,purloining,4.511545438831021
39,jewish,4.511545438831021
40,fidelity,4.511545438831021
41,bellies,4.511545438831021
42,heretick,4.511545438831021
43,gainsayers,4.511545438831021
44,zenas,4.511545438831021
45,brawlers,4.511545438831021
46,foolish,4.417920691673951
47,defiled,4.320340363335086
48,appeared,4.138396806923633
49,renewing,4.106080330722856
50,regeneration,4.106080330722856
51,worldly,4.106080330722856
52,talkers,4.106080330722856
53,gravity,4.106080330722856
54,striker,4.106080330722856
55,adorn,4.106080330722856
56,discreet,4.106080330722856
57,sharply,4.106080330722856
58,soberly,4.106080330722856
59,subvert,4.106080330722856
60,convince,4.106080330722856
61,crete,4.106080330722856
62,selfwilled,4.106080330722856
63,rebuke,4.053277578086041
64,lawyer,3.8183982582710754
65,ungodliness,3.8183982582710754
66,admonition,3.8183982582710754
67,riot,3.8183982582710754
68,constantly,3.8183982582710754
69,profess,3.8183982582710754
70,contentions,3.8183982582710754
71,apollos,3.8183982582710754
72,chaste,3.8183982582710754
73,deceivers,3.8183982582710754
74,hating,3.8183982582710754
75,hateful,3.8183982582710754
76,strivings,3.8183982582710754
77,reject,3.8183982582710754
78,acknowledging,3.8183982582710754
79,affirm,3.8183982582710754
80,behaviour,3.5952547069568657
81,answering,3.5952547069568657
82,magistrates,3.5952547069568657
83,denying,3.5952547069568657
84,appearing,3.5952547069568657
85,accusers,3.5952547069568657
86,reprobate,3.5952547069568657
87,godliness,3.5952547069568657
88,hospitality,3.5952547069568657
89,unbelieving,3.5952547069568657
90,fables,3.5952547069568657
91,ordain,3.5952547069568657
92,genealogies,3.5952547069568657
93,steward,3.412933150162911
94,specially,3.412933150162911
95,sincerity,3.412933150162911
