,term,score
0,hosts,112.02345879973045
1,jerusalem,65.34476297661641
2,angel,40.532775780860405
3,judah,36.28558027383416
4,answered,25.174981421622068
5,talked,23.143208614948012
6,cut,22.366808290299872
7,inhabited,20.314752684778444
8,zion,18.971834202678
9,lifted,17.389567165912396
10,flock,17.179701780479732
11,family,17.024727280058293
12,joshua,16.840784079555572
13,zechariah,16.293912351678262
14,month,16.213110312344163
15,horses,14.979904873726097
16,fro,14.979854509732537
17,horse,14.979854509732537
18,nations,14.911205526866581
19,prophets,14.844101021113971
20,smite,14.699174315235936
21,midst,14.670230011075978
22,inhabitants,14.427961901830486
23,shepherd,13.885925168968807
24,zerubbabel,13.651732600651645
25,ephah,13.198716309647146
26,neighbour,13.107416764510335
27,chariot,12.160519485755925
28,myrtle,11.455194774813226
29,battle,11.453134520319821
30,country,11.234928655294572
31,streets,11.044801729184876
32,david,11.024380736426952
33,hold,10.269161007753183
34,shepherds,10.26254115910283
35,side,10.249110347546916
36,darius,10.238799450488735
37,dwell,10.104447525881827
38,plague,9.986569673155024
39,north,9.929083972613826
40,south,9.732980406847421
41,horns,9.72841558860474
42,stood,9.56264824048045
43,heathen,9.544278766933186
44,rain,9.36244054607881
45,wives,9.017476188644054
46,cried,8.853527074529099
47,fast,8.853527074529099
48,temple,8.853527074529099
49,spoiled,8.835841383347901
50,silver,8.660955022184423
51,trees,8.540925289622429
52,year,8.540925289622429
53,jealous,8.420392039777786
54,consume,8.276793613847266
55,fourth,8.276793613847266
56,looked,8.246722789507762
57,grisled,8.212160661445711
58,tobijah,8.212160661445711
59,valley,8.106555156172082
60,build,8.10586840467428
61,mountains,7.968873533733708
62,pieces,7.786384325477936
63,rejoice,7.705654866306597
64,beauty,7.6969058693271215
65,crowns,7.636796516542151
66,bay,7.636796516542151
67,cheerful,7.636796516542151
68,ho,7.636796516542151
69,mitre,7.636796516542151
70,scattered,7.635423013546548
71,save,7.455602763433291
72,spake,7.455602763433291
73,feed,7.349587157617968
74,displeased,7.296311691453555
75,gold,7.217462518487019
76,left,7.217462518487019
77,berechiah,7.190509413913731
78,pipes,7.190509413913731
79,jedaiah,7.190509413913731
80,bowl,7.190509413913731
81,price,7.1144378260042505
82,satan,7.1144378260042505
83,tabernacles,7.1144378260042505
84,mountain,7.08282165962328
85,priest,6.9558268663649585
86,pride,6.942962584484404
87,staff,6.942962584484404
88,egypt,6.832740231697944
89,ashkelon,6.825866300325822
90,tyrus,6.825866300325822
91,riding,6.825866300325822
92,zephaniah,6.825866300325822
93,defend,6.825866300325822
94,returned,6.713328379099218
95,daughter,6.59737823160621
