,term,score
0,desolation,15.462722420858828
1,gather,9.402638757987482
2,cut,8.94672331611995
3,midst,8.802138006645587
4,punish,8.706322579190761
5,coast,7.919229785788288
6,remnant,7.786384325477936
7,zephaniah,6.825866300325822
8,ashkelon,6.825866300325822
9,towers,6.517564940671305
10,inhabitant,6.517564940671305
11,anger,6.375098826986966
12,houses,6.375098826986966
13,jerusalem,6.375098826986966
14,reproached,6.25050215542226
15,consume,6.207595210385449
16,worship,5.617464327647286
17,inhabitants,5.410485713186432
18,jealousy,5.131270579551415
19,magnified,5.131270579551415
20,doings,4.993284836577512
21,daughter,4.948033673704657
22,judah,4.948033673704657
23,polluted,4.7429585506695
24,zion,4.7429585506695
25,pride,4.628641722989602
26,rejoice,4.623392919783958
27,stretch,4.520507280449051
28,ammon,4.520507280449051
29,speedy,4.511545438831021
30,cottages,4.511545438831021
31,candles,4.511545438831021
32,lintels,4.511545438831021
33,wasteness,4.511545438831021
34,hizkiah,4.511545438831021
35,gnaw,4.511545438831021
36,suppliants,4.511545438831021
37,breeding,4.511545438831021
38,crashing,4.511545438831021
39,saltpits,4.511545438831021
40,maktesh,4.511545438831021
41,determination,4.511545438831021
42,chemarims,4.511545438831021
43,nations,4.473361658059975
44,distress,4.417920691673951
45,fierce,4.320340363335086
46,sing,4.2273003320653
47,violence,4.2273003320653
48,devoured,4.2273003320653
49,hosts,4.2273003320653
50,reproach,4.138396806923633
51,passeth,4.138396806923633
52,swear,4.138396806923633
53,stumblingblocks,4.106080330722856
54,halteth,4.106080330722856
55,riddance,4.106080330722856
56,famish,4.106080330722856
57,gloominess,4.106080330722856
58,bittern,4.106080330722856
59,malcham,4.106080330722856
60,oppressing,4.106080330722856
61,undo,4.106080330722856
62,revilings,4.106080330722856
63,woe,4.053277578086041
64,moab,4.053277578086041
65,flocks,4.053277578086041
66,wag,3.8183982582710754
67,thresholds,3.8183982582710754
68,treacherous,3.8183982582710754
69,lees,3.8183982582710754
70,carelessly,3.8183982582710754
71,howsoever,3.8183982582710754
72,booty,3.8183982582710754
73,cushi,3.8183982582710754
74,shame,3.817711506773274
75,praise,3.7449762184315243
76,evening,3.674793578808984
77,feed,3.674793578808984
78,princes,3.6069904754576214
79,captivity,3.6069904754576214
80,guests,3.5952547069568657
81,folds,3.5952547069568657
82,cormorant,3.5952547069568657
83,surely,3.416370115848972
84,gedaliah,3.412933150162911
85,cherethites,3.412933150162911
86,uncover,3.412933150162911
87,howling,3.412933150162911
88,amariah,3.412933150162911
89,threshold,3.412933150162911
90,nettles,3.412933150162911
91,alarm,3.412933150162911
92,priests,3.298689115803105
93,haughty,3.2587824703356527
94,gomorrah,3.2587824703356527
95,correction,3.2587824703356527
96,slack,3.2587824703356527
97,hasteth,3.2587824703356527
98,wolves,3.2587824703356527
99,wilt,3.242347361869712
100,nation,3.242347361869712
101,cities,3.187549413493483
102,beasts,3.187549413493483
103,cry,3.1342129193291606
104,iniquity,3.1342129193291606
105,sacrifice,3.1342129193291606
106,inhabit,3.12525107771113
107,josiah,3.12525107771113
108,rooted,3.12525107771113
109,nineveh,3.12525107771113
110,settled,3.12525107771113
111,housetops,3.12525107771113
112,instruction,3.12525107771113
113,meek,3.12525107771113
114,joy,3.082261946522639
115,darkness,3.03162633055406
116,isles,3.0074680420547466
117,hiss,3.0074680420547466
118,merchant,3.0074680420547466
119,ekron,3.0074680420547466
120,howl,3.0074680420547466
121,deceitful,3.0074680420547466
122,amon,3.0074680420547466
123,ethiopians,3.0074680420547466
124,bitterly,3.0074680420547466
125,save,2.9822411053733164
126,wrath,2.9340460022151955
127,faileth,2.9021075263969207
128,roaring,2.9021075263969207
129,chaff,2.9021075263969207
130,ashdod,2.9021075263969207
131,perpetual,2.9021075263969207
132,dwellings,2.9021075263969207
133,leap,2.9021075263969207
134,silver,2.8869850073948076
135,punished,2.8067973465925955
136,ethiopia,2.8067973465925955
137,noon,2.8067973465925955
138,corrupted,2.8067973465925955
139,unjust,2.8067973465925955
140,dispersed,2.8067973465925955
141,gaza,2.719785969602966
142,language,2.719785969602966
143,assemble,2.719785969602966
144,bid,2.719785969602966
145,deceit,2.6397432619294294
146,singing,2.6397432619294294
147,windows,2.6397432619294294
148,filthy,2.6397432619294294
149,meekness,2.6397432619294294
150,trusted,2.6397432619294294
151,decree,2.5656352897757073
152,canaan,2.5656352897757073
153,residue,2.5656352897757073
154,enquired,2.5656352897757073
155,shepherds,2.5656352897757073
156,fishes,2.5656352897757073
157,sorrowful,2.5656352897757073
158,consent,2.5656352897757073
159,fenced,2.496642418288756
160,upper,2.496642418288756
161,visit,2.496642418288756
162,sodom,2.496642418288756
163,assyria,2.496642418288756
164,fame,2.496642418288756
165,shout,2.496642418288756
166,apparel,2.432103897151185
167,dung,2.432103897151185
168,masters,2.432103897151185
169,sanctuary,2.432103897151185
170,lodge,2.37147927533475
171,solemn,2.37147927533475
172,plant,2.37147927533475
173,lies,2.37147927533475
174,fish,2.37147927533475
175,cedar,2.37147927533475
176,thick,2.37147927533475
177,transgressed,2.314320861494801
178,afflict,2.314320861494801
179,lions,2.314320861494801
180,terrible,2.314320861494801
181,drive,2.2602536402245255
182,philistines,2.2602536402245255
183,prey,2.2602536402245255
184,baal,2.2602536402245255
185,vineyards,2.2602536402245255
186,goods,2.2602536402245255
187,obeyed,2.2602536402245255
188,rejoicing,2.2089603458369753
189,driven,2.2089603458369753
190,fowls,2.2089603458369753
191,streets,2.2089603458369753
192,assembly,2.160170181667543
193,blind,2.160170181667543
194,clothed,2.160170181667543
195,rivers,2.160170181667543
196,forsaken,2.160170181667543
197,fill,2.11365016603265
198,afflicted,2.11365016603265
199,waste,2.11365016603265
200,clouds,2.11365016603265
201,pour,2.0691984034618165
202,judgments,2.0691984034618165
203,search,2.0691984034618165
204,kingdoms,2.0691984034618165
205,dry,2.0691984034618165
206,hills,2.0691984034618165
207,trumpet,2.0266387890430204
208,host,2.0266387890430204
209,judges,2.0266387890430204
210,dwelling,2.0266387890430204
211,desired,2.0266387890430204
212,possess,2.0266387890430204
213,morrow,2.0266387890430204
214,noise,1.9858167945227654
215,north,1.9858167945227654
216,border,1.9858167945227654
217,early,1.9858167945227654
218,drew,1.9858167945227654
219,burden,1.9858167945227654
220,desolate,1.946596081369484
221,indignation,1.946596081369484
222,beast,1.908855753386637
223,heathen,1.908855753386637
224,gods,1.908855753386637
225,poured,1.8724881092157621
226,trouble,1.8724881092157621
227,wait,1.837396789404492
228,strange,1.837396789404492
229,pure,1.837396789404492
230,offering,1.837396789404492
231,persons,1.8034952377288107
232,spoil,1.8034952377288107
233,utterly,1.8034952377288107
234,bones,1.8034952377288107
235,prepared,1.77070541490582
236,mountain,1.77070541490582
237,dust,1.77070541490582
238,dwelt,1.77070541490582
239,slain,1.77070541490582
240,enemy,1.77070541490582
241,ashamed,1.77070541490582
242,trust,1.7389567165912396
243,glad,1.7389567165912396
244,rose,1.708185057924486
245,greatly,1.708185057924486
246,knoweth,1.708185057924486
247,serve,1.708185057924486
248,poor,1.708185057924486
249,hid,1.6783320947748046
250,sinned,1.6783320947748046
251,prophets,1.6493445579015524
252,gate,1.6493445579015524
253,wicked,1.6493445579015524
